gene_id	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_mRNA_xtail	log2FC_RPF_xtail	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS09395	-0.986140547291255	0.0601368175221651	0.364752110518715	-1.47666171709986	-2.4678264664681	raw_counts / xtail internal size factors	1.996	0.728	117.022	36.774	421.736	151.412	7025.048	1662.671	421.736	151.412	7025.048	1662.671
MM_RS01090	1.23446895342693	0.0602826149734752	0.364991564733581	-1.28791813706369	-0.0517337979065602	raw_counts / xtail internal size factors	0.103	0.038	0.375	0.51	21.89	8.162	20.916	22.897	21.89	8.162	20.916	22.897
MM_RS14935	1.09656614405065	0.0603962411976206	0.365035732449703	-0.26798091233763	0.826285389976853	raw_counts / xtail internal size factors	0.112	0.084	0.243	0.714	23.594	17.96	14.277	31.468	23.594	17.96	14.277	31.468
MM_RS09635	1.41982740454818	0.0610049106479914	0.365497134824702	-0.479308143563382	0.933154048161463	raw_counts / xtail internal size factors	0.089	0.055	0.097	0.323	18.852	11.914	5.852	14.675	18.852	11.914	5.852	14.675
MM_RS06490	-1.26876873052665	0.0608669367597426	0.365497134824702	1.77231065376064	0.503445387765599	raw_counts / xtail internal size factors	1.353	4.099	18.793	36.38	284.545	881.953	1037.68	1576.729	284.545	881.953	1037.68	1576.729
MM_RS07305	1.00180987935175	0.0609416327102384	0.365497134824702	-0.154097139386091	0.846353650101949	raw_counts / xtail internal size factors	0.21	0.164	0.451	1.429	44.778	35.252	27.253	63.838	44.778	35.252	27.253	63.838
MM_RS06290	-1.0002350937044	0.0609487188691198	0.365497134824702	0.789683501800102	-0.210827933631551	raw_counts / xtail internal size factors	0.224	0.332	4.568	7.366	47.695	71.492	281.056	329.193	47.695	71.492	281.056	329.193
MM_RS09105	-0.833073170375061	0.0608003064200605	0.365497134824702	-1.69429048371443	-2.52726827906578	raw_counts / xtail internal size factors	7.316	2.122	68.317	19.211	1548.26	449.675	4004.788	872.599	1548.26	449.675	4004.788	872.599
MM_RS08530	-1.30775520320018	0.0613298619584057	0.366165941049055	-2.30506120181395	-3.61213083974186	raw_counts / xtail internal size factors	5.653	1.035	254.741	44.382	1210.446	219.828	16445.322	1937.295	1210.446	219.828	16445.322	1937.295
MM_RS07750	-0.938500075696934	0.0612600998201071	0.366165941049055	0.0694243263229635	-0.869585536051474	raw_counts / xtail internal size factors	3621.309	3326.557	35728.387	35356.404	776626.951	710958.36	2176535.838	1606780.635	776626.951	710958.36	2176535.838	1606780.635
MM_RS09065	1.13422951862218	0.0615928006832991	0.366266170782175	-0.108956628688657	1.02235212409436	raw_counts / xtail internal size factors	0.943	0.742	4.553	15.855	197.466	161.746	271.319	700.049	197.466	161.746	271.319	700.049
MM_RS18300	-0.989221768589664	0.0615442211396479	0.366266170782175	-2.3563567835154	-3.35910537989486	raw_counts / xtail internal size factors	7.809	1.425	668.163	118.151	1663.064	299.866	40738.949	5344.69	1663.064	299.866	40738.949	5344.69
MM_RS17685	-0.920354745845224	0.0617734089376287	0.366266170782175	0.87068626676671	-0.0535170991635298	raw_counts / xtail internal size factors	0.111	0.193	6.062	9.333	23.754	40.488	353.42	421.997	23.754	40.488	353.42	421.997
MM_RS14040	-0.863393698959466	0.0617642885669877	0.366266170782175	0.833881164981371	-0.029007274729755	raw_counts / xtail internal size factors	0.204	0.32	2.295	3.614	43.485	68.571	134.178	164.125	43.485	68.571	134.178	164.125
MM_RS03200	-1.12250064564765	0.0622283228019813	0.368327296860693	0.580550664064372	-0.546740998382275	raw_counts / xtail internal size factors	0.057	0.077	0.849	1.004	12.204	16.293	51.154	46.78	12.204	16.293	51.154	46.78
MM_RS08100	-1.17761206717509	0.0623716334854462	0.368540133830528	-0.7405584720641	-1.91756937375894	raw_counts / xtail internal size factors	0.53	0.308	6.035	3.192	112.488	64.687	382.256	146.306	112.488	64.687	382.256	146.306
MM_RS19465	-1.07387293184276	0.0627450539916291	0.369756501966809	-1.22529425963903	-2.30939994824217	raw_counts / xtail internal size factors	0.898	0.347	10.052	3.49	190.549	73.994	598.615	154.052	190.549	73.994	598.615	154.052
MM_RS04240	-0.917612949915803	0.0627929043538158	0.369756501966809	-0.387006580873052	-1.3043482877695	raw_counts / xtail internal size factors	4.625	3.119	89.434	59.71	992.002	665.513	5245.503	2585.276	992.002	665.513	5245.503	2585.276
MM_RS07410	-1.41185867802959	0.0633763256174354	0.372552955213451	-1.18797591509778	-2.61818663871543	raw_counts / xtail internal size factors	0.232	0.095	10.979	2.858	49.501	19.964	637.846	126.048	49.501	19.964	637.846	126.048
MM_RS17440	1.82134687080691	0.0640803063923885	0.372860494652661	-0.308807945585895	1.49401413857329	raw_counts / xtail internal size factors	0.032	0.026	0.085	0.395	6.802	5.395	4.948	16.757	6.802	5.395	4.948	16.757
MM_RS00400	1.20587015673099	0.0635849981924521	0.372860494652661	0.204801779283042	1.4066554266475	raw_counts / xtail internal size factors	0.104	0.107	0.29	1.16	21.943	22.907	16.45	50.74	21.943	22.907	16.45	50.74
MM_RS12540	-1.05420650507835	0.0638561874450706	0.372860494652661	-0.207379111520187	-1.26209745559972	raw_counts / xtail internal size factors	0.314	0.244	5.889	4.702	67.457	51.854	364.926	205.864	67.457	51.854	364.926	205.864
MM_RS09750	-0.94303665162183	0.0638747970298234	0.372860494652661	0.106605470905474	-0.838909805430798	raw_counts / xtail internal size factors	0.156	0.155	1.526	1.492	32.722	32.964	91.71	66.813	32.722	32.964	91.71	66.813
MM_RS00135	0.917801935774346	0.0640062427258274	0.372860494652661	0.987834202882265	1.90344754534332	raw_counts / xtail internal size factors	0.525	0.88	1.95	11.573	111.744	190.606	113.441	526.495	111.744	190.606	113.441	526.495
MM_RS04775	-0.908732986270417	0.0638065945679649	0.372860494652661	-0.670370433217324	-1.57865119955551	raw_counts / xtail internal size factors	0.627	0.348	9.799	5.23	132.572	74.825	568.395	227.83	132.572	74.825	568.395	227.83
MM_RS11075	-0.995742484984689	0.0644767096007416	0.37453222345067	-2.39622187756604	-3.40007760353731	raw_counts / xtail internal size factors	0.868	0.158	15.267	2.355	185.112	32.954	894.675	105.546	185.112	32.954	894.675	105.546
MM_RS11315	-2.08625921380819	0.0647861697775686	0.374666043016085	1.73139816173339	-0.362048675407015	raw_counts / xtail internal size factors	0.009	0.022	0.366	0.413	1.926	4.94	20.505	18.291	1.926	4.94	20.505	18.291
MM_RS03580	-1.02128173388009	0.0648271568749066	0.374666043016085	1.55091362724147	0.529729148709774	raw_counts / xtail internal size factors	0.327	0.838	3.199	8.776	70.551	178.668	198.169	391.828	70.551	178.668	198.169	391.828
MM_RS11425	-0.902840240017298	0.064672206572252	0.374666043016085	0.863091512399558	-0.0392294043589604	raw_counts / xtail internal size factors	0.342	0.578	4.636	7.018	72.987	122.257	268.521	324.488	72.987	122.257	268.521	324.488
MM_RS04100	-1.34036125400011	0.0650769404710242	0.37547754056643	-1.01535272722674	-2.35640068850575	raw_counts / xtail internal size factors	7.368	3.394	371.22	155.075	1586.043	714.25	24173.529	7152.544	1586.043	714.25	24173.529	7152.544
