gene_id	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS11035	-3.07868322878884	0.599165725482904	-5.13828327931733	2.77259706135457e-07	0.000384559212409879	299.949031001963	raw_counts / DESeq2 median-of-ratios	3.595	1.553	98.244	9.535	775.769	323.088	6118.443	442.103	775.769	323.088	6118.443	442.103
MM_RS04225	-2.60100142860894	0.531045864862618	-4.89788472278533	9.68738359952965e-07	0.000671820052627381	1425.08350540427	raw_counts / DESeq2 median-of-ratios	2.25	1.868	255.362	63.683	478.017	394.777	15381.377	2937.592	478.017	394.777	15381.377	2937.592
MM_RS11030	-2.66628634261956	0.566984328648366	-4.70257502350324	2.56900775870145e-06	0.00118773792043964	778.490790098619	raw_counts / DESeq2 median-of-ratios	0.698	0.188	18.872	1.709	150.425	39.807	1164.519	75.058	150.425	39.807	1164.519	75.058
MM_RS11005	-2.35250179091681	0.512313644667438	-4.59191711055032	4.3919281206783e-06	0.0015229010758452	1275.03003949542	raw_counts / DESeq2 median-of-ratios	1.21	0.355	43.412	4.238	258.252	74.331	2608.635	195.753	258.252	74.331	2608.635	195.753
MM_RS11045	-2.79246044167246	0.629230882287549	-4.43789477007321	9.08430089987038e-06	0.00251998506962404	344.379175177887	raw_counts / DESeq2 median-of-ratios	0.371	0.192	44.204	6.601	79.636	40.967	2657.482	304.67	79.636	40.967	2657.482	304.67
MM_RS07150	-2.15446932971858	0.519599753292675	-4.14640175647857	3.37740996841805e-05	0.00780744604365971	6516.19007814535	raw_counts / DESeq2 median-of-ratios	1.234	0.946	84.632	31.211	261.793	204.911	5065.869	1333.939	261.793	204.911	5065.869	1333.939
MM_RS11050	-2.6449774709157	0.663720344703931	-3.98507819147168	6.74579086987394e-05	0.010736255820088	366.926196833377	raw_counts / DESeq2 median-of-ratios	0.49	0.207	34.092	4.797	105.491	44.355	2012.949	212.06	105.491	44.355	2012.949	212.06
MM_RS04800	-2.09091449089575	0.525695560776996	-3.97742466724526	6.96656830431086e-05	0.010736255820088	908.412474909563	raw_counts / DESeq2 median-of-ratios	0.993	0.809	73.318	28.049	211.631	173.704	4441.771	1249.536	211.631	173.704	4441.771	1249.536
MM_RS11110	-2.06439402659327	0.515767209030846	-4.0025693577387	6.26582908629772e-05	0.010736255820088	1031.2039006312	raw_counts / DESeq2 median-of-ratios	5.654	1.048	54.028	4.533	1203.268	224.106	3216.103	207.44	1203.268	224.106	3216.103	207.44
MM_RS03510	-2.65265485459161	0.683882759928376	-3.87881521515387	0.00010496644889298	0.0108074559107977	773.179215112114	raw_counts / DESeq2 median-of-ratios	0.277	1.135	5.662	7.461	59.067	247.054	361.499	336.232	59.067	247.054	361.499	336.232
MM_RS11060	-2.53923565528564	0.647575430622856	-3.92114267343858	8.81300608348276e-05	0.0108074559107977	657.646611019325	raw_counts / DESeq2 median-of-ratios	0.357	0.144	27.483	3.523	76.916	30.113	1633.614	157.716	76.916	30.113	1633.614	157.716
MM_RS11760	-2.41154892833057	0.611016765006211	-3.94678029547365	7.9209179556702e-05	0.0108074559107977	733.933263906691	raw_counts / DESeq2 median-of-ratios	0.628	0.104	13.666	0.767	135.029	21.765	810.719	34.768	135.029	21.765	810.719	34.768
MM_RS11090	-2.04864865441379	0.531760100792397	-3.85258061174769	0.000116879479929319	0.0108074559107977	808.931592717641	raw_counts / DESeq2 median-of-ratios	1.923	0.488	53.534	5.785	411.865	102.322	3198.641	263.912	411.865	102.322	3198.641	263.912
MM_RS19145	2.0012286038386	0.512886473261547	3.90189390473176	9.54429915328983e-05	0.0108074559107977	624.011690734953	raw_counts / DESeq2 median-of-ratios	5.529	3.597	2.761	13.638	1169.668	775.225	161.614	599.206	1169.668	775.225	161.614	599.206
MM_RS16525	1.86094949229491	0.482661579874562	3.85559897429281	0.000115446609680252	0.0108074559107977	10739.9671316798	raw_counts / DESeq2 median-of-ratios	0.905	6.411	5.077	222.172	193.106	1351.962	296.1	10301.388	193.106	1351.962	296.1	10301.388
MM_RS05045	-2.10464990852753	0.566091557946409	-3.71786132293246	0.00020091650454211	0.0174169494874942	467.900910405072	raw_counts / DESeq2 median-of-ratios	0.412	0.222	14.756	3.82	87.878	47.455	885.459	164.826	87.878	47.455	885.459	164.826
MM_RS11070	-2.35289250807638	0.637640320758011	-3.68999956790581	0.000224254432872664	0.017768516637302	314.229379549219	raw_counts / DESeq2 median-of-ratios	7.143	1.641	395.171	25.779	1511.417	343.679	22457.192	1167.577	1511.417	343.679	22457.192	1167.577
MM_RS11085	-1.98988307469115	0.542335233900901	-3.66910160045909	0.000243404337497288	0.017768516637302	604.751601132877	raw_counts / DESeq2 median-of-ratios	1.926	0.453	41.32	4.241	410.629	95.556	2425.82	190.114	410.629	95.556	2425.82	190.114
MM_RS02080	-1.73672518617398	0.473059719587089	-3.67125991553431	0.000241357735597143	0.017768516637302	518358.090360234	raw_counts / DESeq2 median-of-ratios	306714.046	279382.071	38829.059	20596.59	64993517.878	61459742.734	2255634.466	886501.946	64993517.878	61459742.734	2255634.466	886501.946
MM_RS11015	-2.28724319572818	0.635332812125623	-3.60007094246524	0.000318130371737947	0.0210117536000254	1021.71308506204	raw_counts / DESeq2 median-of-ratios	1.098	0.288	35.237	3.221	233.58	60.188	2167.035	144.496	233.58	60.188	2167.035	144.496
MM_RS11105	-1.98189618603433	0.54925172976815	-3.60835674904643	0.000308142580176914	0.0210117536000254	440.220422811875	raw_counts / DESeq2 median-of-ratios	1.502	0.281	24.496	2.406	322.551	60.146	1473.774	107.327	322.551	60.146	1473.774	107.327
MM_RS11740	-1.85112781047276	0.517709507527289	-3.57561100106933	0.000349410880587424	0.0220287677897617	788.172933590427	raw_counts / DESeq2 median-of-ratios	0.943	0.428	35.847	8.328	201.766	90.194	2172.117	378.305	201.766	90.194	2172.117	378.305
MM_RS11055	-2.28828365830624	0.651855899801328	-3.51041335823401	0.000447410587142687	0.0269808036681264	524.744087300477	raw_counts / DESeq2 median-of-ratios	0.704	0.23	61.024	7.249	150.391	48.073	3655.532	320.909	150.391	48.073	3655.532	320.909
MM_RS03030	-2.48745023906174	0.71637358063534	-3.47228081311382	0.000516056226254227	0.0298237494089422	317.035949073622	raw_counts / DESeq2 median-of-ratios	0.142	0.084	12.096	1.193	29.349	17.317	649.67	59.322	29.349	17.317	649.67	59.322
MM_RS11020	-1.94433939735258	0.562820568134385	-3.45463458060462	0.000551039123023667	0.0305716505453531	612.546637911709	raw_counts / DESeq2 median-of-ratios	2.225	0.54	44.119	4.26	473.015	112.343	2609.815	196.899	473.015	112.343	2609.815	196.899
MM_RS11245	-1.73812807064464	0.505748901132882	-3.43674117086802	0.000588757935482122	0.0314079714043732	2142.26193936097	raw_counts / DESeq2 median-of-ratios	0.499	0.818	18.083	16.318	106.748	173.694	1061.222	731.864	106.748	173.694	1061.222	731.864
MM_RS06900	2.04470992546621	0.602897824268934	3.39147006865649	0.000695187559173802	0.0332125877614375	257.196559326378	raw_counts / DESeq2 median-of-ratios	1.029	0.411	1.424	4.409	217.07	89.035	83.173	198.797	217.07	89.035	83.173	198.797
MM_RS05330	-1.99457148558318	0.587266635782745	-3.39636438382829	0.000682873868352846	0.0332125877614375	2784.96116734113	raw_counts / DESeq2 median-of-ratios	0.246	3.157	11.569	56.506	52.467	659.496	674.606	2528.669	52.467	659.496	674.606	2528.669
MM_RS00395	-1.8756405277142	0.554517860474501	-3.38247090203589	0.000718368877320206	0.0332125877614375	760.74893647913	raw_counts / DESeq2 median-of-ratios	0.413	1.267	19.386	18.74	85.713	263.606	1053.066	916.63	85.713	263.606	1053.066	916.63
MM_RS11990	-1.83451518646883	0.538175222118183	-3.40876932098144	0.000652566353295728	0.0332125877614375	762.016923781004	raw_counts / DESeq2 median-of-ratios	0.204	0.242	6.34	4.908	44.087	51.646	388.847	223.072	44.087	51.646	388.847	223.072
MM_RS18410	-2.01529273724526	0.599403770340779	-3.36216226350979	0.000773346648308237	0.0332920720276696	1252.85976732938	raw_counts / DESeq2 median-of-ratios	505.973	931.35	1097.116	710.967	107056.244	195269.892	62373.149	31369.147	107056.244	195269.892	62373.149	31369.147
MM_RS07170	-2.00268223258338	0.596828279452936	-3.35554178903701	0.000792096883138498	0.0332920720276696	359.996413822708	raw_counts / DESeq2 median-of-ratios	0.077	0.082	4.338	2.1	16.471	17.341	260.635	93.238	16.471	17.341	260.635	93.238
MM_RS02070	-1.99660626795902	0.594909467672063	-3.35615144228908	0.000790352770501791	0.0332920720276696	317.93687376741	raw_counts / DESeq2 median-of-ratios	0.112	0.151	1.3	0.924	23.938	32.955	80.377	41.121	23.938	32.955	80.377	41.121
MM_RS10395	-2.29190718024894	0.6982325120112	-3.28244122240497	0.0010291243797716	0.0419822210218589	602.481618516997	raw_counts / DESeq2 median-of-ratios	0.254	0.312	21.51	4.302	52.661	64.507	1156.05	213.787	52.661	64.507	1156.05	213.787
MM_RS05915	-2.10858109314987	0.648373952008318	-3.25210642194771	0.00114553122116279	0.0453957658215081	326.170834249758	raw_counts / DESeq2 median-of-ratios	0.18	0.552	1.921	2.395	38.586	117.908	110.13	108.994	38.586	117.908	110.13	108.994
MM_RS11065	-2.00559477449748	0.623137633404222	-3.21854220798838	0.00128844006658534	0.0494592466899168	519.463412594996	raw_counts / DESeq2 median-of-ratios	0.726	0.213	32.304	4.149	155.454	44.526	1930.589	185.015	155.454	44.526	1930.589	185.015
MM_RS12990	-1.74668166738231	0.546014633431298	-3.19896493690234	0.00137921942087769	0.0494592466899168	5451.26155284311	raw_counts / DESeq2 median-of-ratios	1.266	0.96	63.642	26.846	264.777	211.943	3612.539	1164.643	264.777	211.943	3612.539	1164.643
MM_RS11765	-1.72472861254996	0.540792414917625	-3.18926184053945	0.00142636616265081	0.0494592466899168	868.749426115477	raw_counts / DESeq2 median-of-ratios	0.408	0.032	6.201	0.268	87.107	6.815	374.052	12.322	87.107	6.815	374.052	12.322
MM_RS11095	-1.71327439575117	0.534585923633245	-3.20486253006275	0.00135127001660366	0.0494592466899168	806.085519654627	raw_counts / DESeq2 median-of-ratios	1.934	0.386	39.152	4.35	411.859	81.573	2364.406	201.765	411.859	81.573	2364.406	201.765
MM_RS11730	-1.71015567380641	0.536053946240985	-3.1902678560594	0.00142140985063761	0.0494592466899168	4994.57174640151	raw_counts / DESeq2 median-of-ratios	1.649	0.747	88.171	21.9	351.761	157.187	5383.795	985.543	351.761	157.187	5383.795	985.543
MM_RS03825	-2.30435381591899	0.728078398949905	-3.16498033624198	0.00155093432230684	0.0524669732936483	1596.89306631577	raw_counts / DESeq2 median-of-ratios	0.058	14.661	2.069	196.368	12.11	3091.752	126.115	8941.086	12.11	3091.752	126.115	8941.086
MM_RS03460	-1.79739188340346	0.569907484638289	-3.15383098459259	0.00161142381840292	0.0532153532410679	687.85933489286	raw_counts / DESeq2 median-of-ratios	0.217	0.186	8.951	4.438	46.056	40.061	545.644	197.808	46.056	40.061	545.644	197.808
MM_RS11770	-1.75753146899861	0.558706397802527	-3.14571566731871	0.00165680990980828	0.0534417522070719	765.40695071083	raw_counts / DESeq2 median-of-ratios	0.351	0.031	9.771	0.499	74.482	6.737	581.888	22.195	74.482	6.737	581.888	22.195
MM_RS10710	-1.50643650137992	0.487051666382749	-3.09297063403554	0.00198163743204865	0.0624666163238972	952.901061751573	raw_counts / DESeq2 median-of-ratios	3.673	1.771	41.538	11.759	781.351	372.9	2434.353	539.862	781.351	372.9	2434.353	539.862
MM_RS04965	2.03280565367059	0.660452414241859	3.07789874006907	0.00208465738055928	0.0642537730407937	616.024133500382	raw_counts / DESeq2 median-of-ratios	1.328	1.136	2.106	16.046	284.557	246.497	130.082	750.124	284.557	246.497	130.082	750.124
MM_RS04995	-2.40157494765275	0.784665833316589	-3.06063402493502	0.00220868884366623	0.0643072259099619	724.467847036754	raw_counts / DESeq2 median-of-ratios	0.036	6.313	1.187	83.913	7.551	1351.114	73.522	3863.418	7.551	1351.114	73.522	3863.418
MM_RS11170	-1.79347104795337	0.586446750125965	-3.05819931232997	0.00222671420155212	0.0643072259099619	1000.1617613264	raw_counts / DESeq2 median-of-ratios	1.404	1.056	85.16	32.789	301.74	221.081	5051.376	1480.086	301.74	221.081	5051.376	1480.086
MM_RS11100	-1.65959715913867	0.543741349399593	-3.05218126407201	0.00227184864425965	0.0643072259099619	579.574832690107	raw_counts / DESeq2 median-of-ratios	1.374	0.26	19.903	2.291	292.867	55.541	1197.452	104.977	292.867	55.541	1197.452	104.977
MM_RS11735	-1.47745242200362	0.482186807263684	-3.06406645670766	0.00218350399621774	0.0643072259099619	2825.27038992805	raw_counts / DESeq2 median-of-ratios	1.078	0.33	26.212	5.176	229.817	70.084	1543.069	231.71	229.817	70.084	1543.069	231.71
MM_RS00370	-1.5007605003769	0.496028854253263	-3.02555080719283	0.00248180704081937	0.0674954189336562	2329.35527888714	raw_counts / DESeq2 median-of-ratios	1.039	0.99	21.709	14.165	217.832	216.696	1236.537	605.381	217.832	216.696	1236.537	605.381
MM_RS01650	-1.47599133768553	0.487266045696417	-3.02912823645653	0.00245260552995974	0.0674954189336562	841.897676573726	raw_counts / DESeq2 median-of-ratios	0.602	0.947	6.556	7.07	128.464	203.039	386.74	315.89	128.464	203.039	386.74	315.89
MM_RS12030	-1.63863699650732	0.550349057950016	-2.97745035234738	0.00290656715252911	0.0775270892414976	272.109666764714	raw_counts / DESeq2 median-of-ratios	0.213	0.193	5.3	3.323	45.584	41.554	319.502	145.1	45.584	41.554	319.502	145.1
MM_RS16535	-1.65165336674329	0.556186170522832	-2.96960524061698	0.00298182655804292	0.0780338384151987	343.105775945924	raw_counts / DESeq2 median-of-ratios	0.167	0.133	3.195	1.485	35.463	28.361	189.428	67.215	35.463	28.361	189.428	67.215
MM_RS09155	-1.57469278456993	0.53637589213305	-2.93580082115122	0.00332687862952138	0.0854514936878919	750.686586727241	raw_counts / DESeq2 median-of-ratios	0.514	0.285	9.142	3.464	109.504	61.161	552.825	151.098	109.504	61.161	552.825	151.098
MM_RS09425	-1.77776233384529	0.609046502596301	-2.91892708728624	0.00351238367235961	0.0856953341425052	1766.34666869316	raw_counts / DESeq2 median-of-ratios	0.848	0.36	26.288	6.297	181.208	76.761	1667.322	286.267	181.208	76.761	1667.322	286.267
MM_RS10950	1.55018922876001	0.531232583242256	2.91809892250732	0.0035217260606509	0.0856953341425052	317.758576275599	raw_counts / DESeq2 median-of-ratios	0.813	0.25	2.649	4.686	174.661	52.743	161.018	215.365	174.661	52.743	161.018	215.365
MM_RS02375	-1.52305977792688	0.520308196052137	-2.92722618917628	0.00342000054446551	0.0856953341425052	719.886592531155	raw_counts / DESeq2 median-of-ratios	0.532	0.29	11.266	3.468	113.29	61.141	653.653	156.824	113.29	61.141	653.653	156.824
MM_RS06415	-2.08435022398713	0.724335401873512	-2.87760368828571	0.00400708198545681	0.095824529548769	6215.90246802953	raw_counts / DESeq2 median-of-ratios	0.537	0.849	67.765	39.162	114.935	176.07	4261.465	1728.418	114.935	176.07	4261.465	1728.418
MM_RS09350	-1.64572127114152	0.574798457700719	-2.86312749989737	0.00419481727400002	0.0986137552379327	664.319785436699	raw_counts / DESeq2 median-of-ratios	0.321	0.491	7.363	6.886	68.817	103.47	450.947	303.469	68.817	103.47	450.947	303.469
MM_RS14705	1.42627778631727	0.501724517723735	2.8427508242733	0.00447260226370111	0.103391655662557	1205.87616310065	raw_counts / DESeq2 median-of-ratios	1.743	2.679	20.51	149.845	369.612	570.288	1193.492	6612.587	369.612	570.288	1193.492	6612.587
MM_RS11775	-1.66527374612406	0.593920222237157	-2.80386773134508	0.00504936148620441	0.111166101291516	578.735812183478	raw_counts / DESeq2 median-of-ratios	0.173	0.02	10.091	0.656	36.838	4.347	586.294	29.859	36.838	4.347	586.294	29.859
MM_RS09370	-1.56221717826726	0.557062978781435	-2.80438161890524	0.00504131966469816	0.111166101291516	300.234802658003	raw_counts / DESeq2 median-of-ratios	105.11	197.852	274.906	353.5	22630.82	41707.026	17121.056	15891.188	22630.82	41707.026	17121.056	15891.188
MM_RS12115	-1.55479077655157	0.552729449454818	-2.81293276138105	0.00490919152527241	0.111166101291516	1058.02146563891	raw_counts / DESeq2 median-of-ratios	3.173	1.929	99.919	40.203	677.505	409.801	6195.484	1803.288	677.505	409.801	6195.484	1803.288
MM_RS09180	-1.31969599218609	0.472136016617585	-2.79516060147345	0.0051873938193856	0.112420550429497	3220.17467433078	raw_counts / DESeq2 median-of-ratios	0.783	0.558	20.361	10.358	166.453	118.294	1202.843	468.083	166.453	118.294	1202.843	468.083
MM_RS07280	-1.59730325597411	0.573939803455183	-2.78305014978603	0.00538504817172356	0.114908643295086	365.102432605815	raw_counts / DESeq2 median-of-ratios	0.2	0.289	3.715	3.598	42.563	61.899	226.069	157.644	42.563	61.899	226.069	157.644
MM_RS12295	-1.55809521203556	0.561292985124121	-2.77590358926545	0.00550485295346516	0.1156853188857	288.259489587355	raw_counts / DESeq2 median-of-ratios	0.193	0.229	5.197	4.321	40.999	49.876	309.1	186.625	40.999	49.876	309.1	186.625
MM_RS03740	-1.77220765287474	0.645712574423523	-2.74457664767784	0.00605890037145926	0.118361898805831	490.339690813097	raw_counts / DESeq2 median-of-ratios	0.318	0.305	8.946	4.786	67.577	64.721	559.815	214.226	67.577	64.721	559.815	214.226
MM_RS11025	-1.75290245662508	0.636739115752579	-2.75293666316271	0.00590633216969058	0.118361898805831	564.181559803927	raw_counts / DESeq2 median-of-ratios	1.015	0.183	41.575	4.025	218.025	38.425	2457.363	182.195	218.025	38.425	2457.363	182.195
MM_RS13760	-1.72232246382295	0.627214473015436	-2.74598648137471	0.00603292494940405	0.118361898805831	1135.86893429846	raw_counts / DESeq2 median-of-ratios	1.102	1.043	28.638	12.844	234.455	217.011	1747.41	581.576	234.455	217.011	1747.41	581.576
MM_RS11785	-1.68103475782801	0.610271780580499	-2.75456740966948	0.00587697821128059	0.118361898805831	180673.440726932	raw_counts / DESeq2 median-of-ratios	84758.07	98254.504	81463.413	49435.252	17999577.862	22017127.805	4666925.936	2143711.319	17999577.862	22017127.805	4666925.936	2143711.319
MM_RS11165	-1.44437543229926	0.524571031551127	-2.75344108886135	0.00589723826135826	0.118361898805831	1460.32019747182	raw_counts / DESeq2 median-of-ratios	1.181	0.847	49.407	24.426	250.614	180.284	2963.419	1108.502	250.614	180.284	2963.419	1108.502
MM_RS05035	-1.58727996711984	0.582984149211936	-2.72268117283376	0.0064754517006721	0.124742382067114	757.348233295476	raw_counts / DESeq2 median-of-ratios	0.908	0.553	9.764	4.039	191.464	119.708	580.866	176.609	191.464	119.708	580.866	176.609
MM_RS00410	1.46331548460337	0.538419944407753	2.71779583910656	0.00657183752358874	0.124864912948186	296.858909753374	raw_counts / DESeq2 median-of-ratios	0.17	0.363	0.535	6.198	36.338	77.204	32.361	278.475	36.338	77.204	32.361	278.475
MM_RS06305	-1.45609661200329	0.536709733180877	-2.71300578689631	0.00666759421818159	0.12497234027862	364.862124516365	raw_counts / DESeq2 median-of-ratios	0.247	0.202	7.97	4.012	52.358	42.542	466.927	187.837	52.358	42.542	466.927	187.837
MM_RS04230	-1.36050144650985	0.504949959979497	-2.69432924911033	0.00705304544948599	0.130434320512494	765.645366618281	raw_counts / DESeq2 median-of-ratios	1.596	0.974	18.458	7.963	339.415	206.347	1095.507	368.81	339.415	206.347	1095.507	368.81
MM_RS12610	-1.33496251858014	0.498019331072941	-2.6805435758971	0.00735026938349361	0.132400306946827	1002.80657435996	raw_counts / DESeq2 median-of-ratios	0.752	0.653	21.791	12.174	160.102	137.788	1259.728	560.483	160.102	137.788	1259.728	560.483
MM_RS01475	-1.31871316062179	0.491889297107139	-2.68091452360786	0.00734212673353277	0.132400306946827	805.96426952845	raw_counts / DESeq2 median-of-ratios	5.605	11.088	53.966	83.736	1186.152	2405.973	3132.313	3595.657	1186.152	2405.973	3132.313	3595.657
MM_RS16575	-2.00937081736502	0.754647532664621	-2.66266134902745	0.00775253923955869	0.136365748265926	3746.04386492314	raw_counts / DESeq2 median-of-ratios	0.63	1.335	40.693	39.47	132.053	279.864	2389.588	1688.722	132.053	279.864	2389.588	1688.722
MM_RS02630	-1.89346392425771	0.713543795365551	-2.65360575840714	0.0079636810450901	0.136365748265926	585.719789416581	raw_counts / DESeq2 median-of-ratios	0.389	0.469	5.605	3.587	82.264	100.505	351.566	161.281	82.264	100.505	351.566	161.281
MM_RS06420	-1.71144647952269	0.643430885049032	-2.65987617208065	0.00781693846407219	0.136365748265926	4514.8464469208	raw_counts / DESeq2 median-of-ratios	1.704	2.039	118.165	84.537	361.81	433.618	7363.35	3700.336	361.81	433.618	7363.35	3700.336
MM_RS05720	-1.70978173298185	0.643595676664451	-2.65660848103129	0.00789310514632545	0.136365748265926	4878.2710642998	raw_counts / DESeq2 median-of-ratios	0.886	0.603	63.409	26.68	186.543	128.473	3817.224	1158.48	186.543	128.473	3817.224	1158.48
MM_RS06945	-1.44268529844094	0.547198135459366	-2.6364952746592	0.008376736688569	0.14168943642738	391.980983224239	raw_counts / DESeq2 median-of-ratios	0.273	0.209	9.326	4.58	57.474	44.633	536.206	205.044	57.474	44.633	536.206	205.044
MM_RS14180	-1.85942870733766	0.707846131220509	-2.62688263073717	0.00861710507172192	0.1433213002531	250.015692808786	raw_counts / DESeq2 median-of-ratios	0.387	1.45	1.249	3.071	83.627	320.405	72.828	130.57	83.627	320.405	72.828	130.57
MM_RS05995	-1.2703171178618	0.4840387911512	-2.62441180559222	0.0086798768718532	0.1433213002531	997.375663294854	raw_counts / DESeq2 median-of-ratios	0.605	0.367	10.256	5.539	130.304	78.268	635.169	248.298	130.304	78.268	635.169	248.298
MM_RS04110	1.39354632109754	0.539108996712682	2.58490644673887	0.00974054230023715	0.151799237869988	1110.97695509191	raw_counts / DESeq2 median-of-ratios	10.27	5.241	23.269	57.684	2188.837	1106.606	1430.108	2651.53	2188.837	1106.606	1430.108	2651.53
MM_RS03110	-1.29860478508191	0.502008363154138	-2.58681902612682	0.00968664531503754	0.151799237869988	1001.99424960106	raw_counts / DESeq2 median-of-ratios	0.525	0.308	14.611	6.92	112.243	65.487	894.706	312.663	112.243	65.487	894.706	312.663
MM_RS00705	-1.29386526496733	0.499339562553919	-2.59115311903133	0.00956549206336827	0.151799237869988	124763.027982226	raw_counts / DESeq2 median-of-ratios	70130.708	69857.17	59075.004	38243.703	14837761.958	15109406.931	3327820.963	1677896.789	14837761.958	15109406.931	3327820.963	1677896.789
MM_RS04530	-1.28871837758835	0.497567867528228	-2.59003537344628	0.00959660702346536	0.151799237869988	700.798432670468	raw_counts / DESeq2 median-of-ratios	0.228	0.221	4.408	3.378	48.568	47.261	263.914	151.534	48.568	47.261	263.914	151.534
MM_RS01325	-1.2845907258081	0.495209075103054	-2.59403712571458	0.00948562434771519	0.151799237869988	2634.16497501655	raw_counts / DESeq2 median-of-ratios	0.17	2.686	3.848	48.103	36.24	571.387	231.248	2134.894	36.24	571.387	231.248	2134.894
MM_RS07195	-1.40044988675487	0.543316093654415	-2.57759691478171	0.00994899781442946	0.153100488071645	507.43123082923	raw_counts / DESeq2 median-of-ratios	0.153	0.115	4.284	2.475	32.706	24.465	265.876	112.752	32.706	24.465	265.876	112.752
MM_RS06325	-1.31003227383848	0.509641064261798	-2.5704998394037	0.010155187384709	0.153100488071645	841.841050208859	raw_counts / DESeq2 median-of-ratios	0.763	0.617	13.46	8.597	162.97	131.448	809.348	379.121	162.97	131.448	809.348	379.121
MM_RS07595	-1.28673165045401	0.500129945624495	-2.57279465409197	0.0100881042630929	0.153100488071645	529.700077968004	raw_counts / DESeq2 median-of-ratios	0.378	0.306	4.046	2.794	81.284	65.317	248.721	126.079	81.284	65.317	248.721	126.079
MM_RS15050	-1.43245753970611	0.558818575268806	-2.56336779609922	0.0103662170951841	0.154601538828175	783.312391217871	raw_counts / DESeq2 median-of-ratios	0.234	0.952	4.995	14.536	49.779	202.711	304.455	646.475	49.779	202.711	304.455	646.475
MM_RS10575	-1.46473555631546	0.574875490133501	-2.54791790823316	0.0108367968661885	0.154916487933385	1362.23257586912	raw_counts / DESeq2 median-of-ratios	2.138	1.404	104.101	40.012	459.891	290.629	6503.367	1858.814	459.891	290.629	6503.367	1858.814
MM_RS08010	-1.41381557201809	0.555652372462448	-2.54442461165526	0.0109457936679681	0.154916487933385	416.740888986975	raw_counts / DESeq2 median-of-ratios	0.339	0.102	7.468	1.842	73.074	21.6	467.674	82.365	73.074	21.6	467.674	82.365
MM_RS00720	-1.27091710692369	0.498837101094647	-2.54775978798447	0.0108417095631302	0.154916487933385	123188.171454569	raw_counts / DESeq2 median-of-ratios	69676.475	68450.765	58822.315	38207.616	14741388.522	14808635.269	3314024.853	1676457.811	14741388.522	14808635.269	3314024.853	1676457.811
MM_RS11485	1.2708754677828	0.498302561210858	2.55040926278729	0.0107596528190971	0.154916487933385	532.493528921924	raw_counts / DESeq2 median-of-ratios	0.649	0.948	1.492	9.203	137.318	203.06	86.163	410.266	137.318	203.06	86.163	410.266
MM_RS09135	1.23981443832795	0.486920146631674	2.54623770838916	0.0108891009594026	0.154916487933385	1221.88325633699	raw_counts / DESeq2 median-of-ratios	4.431	1.198	6.662	7.456	938.234	256.904	382.75	326.543	938.234	256.904	382.75	326.543
MM_RS05575	-1.63168632941702	0.653034378269523	-2.49862240597629	0.0124677076573014	0.169319238876748	5517.60227762959	raw_counts / DESeq2 median-of-ratios	1.501	0.445	122.507	22.114	320.686	94.551	7872.086	981.094	320.686	94.551	7872.086	981.094
MM_RS05770	-1.57460020359603	0.630697493672975	-2.49660133327321	0.0125389837313513	0.169319238876748	2507.89150020411	raw_counts / DESeq2 median-of-ratios	1.789	2.406	41.586	34.865	382.75	510.245	2675.789	1571.458	382.75	510.245	2675.789	1571.458
MM_RS11080	-1.39655467025033	0.558098588303038	-2.50234402938862	0.0123373973258362	0.169319238876748	608.583827897543	raw_counts / DESeq2 median-of-ratios	1.404	0.285	31.609	4.132	299.76	60.024	1851.078	187.235	299.76	60.024	1851.078	187.235
MM_RS16550	-1.37427485075779	0.549295980397324	-2.50188404758348	0.0123534376898707	0.169319238876748	376.564705091159	raw_counts / DESeq2 median-of-ratios	0.19	0.069	5.309	1.424	40.592	14.567	318.244	63.579	40.592	14.567	318.244	63.579
MM_RS11155	-1.37378344884305	0.550478397474537	-2.49561736690421	0.0125738151436951	0.169319238876748	3356.04259670444	raw_counts / DESeq2 median-of-ratios	962.574	1789.908	4946.714	6703.664	204679.872	379248.149	302976.106	310072.256	204679.872	379248.149	302976.106	310072.256
MM_RS17315	-2.5872916398975	1.03821931172999	-2.49204730702445	0.0127009119695483	0.169386200978495	1096.02402049532	raw_counts / DESeq2 median-of-ratios	0.007	1.634	0.992	79.457	1.587	341.886	60.806	3759.787	1.587	341.886	60.806	3759.787
MM_RS09120	-1.34977268441476	0.543244423552199	-2.48465078682039	0.012967857576545	0.171299223415885	826.433147953985	raw_counts / DESeq2 median-of-ratios	391.232	507.128	756.325	783.832	83992.328	106713.401	45635.301	37632.62	83992.328	106713.401	45635.301	37632.62
