gene_id	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS08215	-0.741861323689717	0.619084836093263	-1.19831932626752	0.230792725594507	0.637702729815695	1555.04968158197	raw_counts / DESeq2 median-of-ratios	2.402	3.399	50.558	78.033	510.594	717.63	3152.305	3536.33	510.594	717.63	3152.305	3536.33
MM_RS05830	0.621976250671384	0.517361061997941	1.2022092429404	0.229282469122729	0.637702729815695	916.890574948421	raw_counts / DESeq2 median-of-ratios	0.605	0.611	1.526	4.445	129.292	129.86	90.156	195.69	129.292	129.86	90.156	195.69
MM_RS08710	-0.607702962564208	0.507142934220389	-1.19828734969641	0.23080516969537	0.637702729815695	570.996978198851	raw_counts / DESeq2 median-of-ratios	0.442	0.603	5.335	8.822	93.967	128.288	316.099	393.696	93.967	128.288	316.099	393.696
MM_RS10440	-2.587512302483	2.17773064943441	-1.18816911685337	0.23476678827964	0.641317128522697	50121.82024718	raw_counts / DESeq2 median-of-ratios	62.837	55.598	208.927	110.098	12920.777	11685.373	11884.629	4707.894	12920.777	11685.373	11884.629	4707.894
MM_RS06215	-0.799750703624037	0.673898249395758	-1.18675290274329	0.235325101050854	0.641317128522697	956.712756647142	raw_counts / DESeq2 median-of-ratios	6.32	1.949	399.009	134.007	1333.413	412.994	24376.269	6198.152	1333.413	412.994	24376.269	6198.152
MM_RS17160	-0.734025262105881	0.61681302342421	-1.19002880002593	0.234035072649262	0.641317128522697	310.024314025123	raw_counts / DESeq2 median-of-ratios	0.132	0.111	1.521	1.622	28.404	23.698	90.313	69.44	28.404	23.698	90.313	69.44
MM_RS18175	0.677744635392734	0.56856046219947	1.19203616932997	0.233247063368259	0.641317128522697	217.075844395194	raw_counts / DESeq2 median-of-ratios	9.421	6.194	6.299	13.094	2018.317	1315.418	385.257	594.632	2018.317	1315.418	385.257	594.632
MM_RS14095	0.668274855361258	0.563141962706349	1.18668985729577	0.235349977230031	0.641317128522697	775.863215409637	raw_counts / DESeq2 median-of-ratios	1.753	4.308	24.175	168.585	371.222	910.871	1433.526	7476.04	371.222	910.871	1433.526	7476.04
MM_RS07685	-0.640505508003804	0.537469342104444	-1.19170612689447	0.233376494827796	0.641317128522697	703.93550196382	raw_counts / DESeq2 median-of-ratios	0.47	0.569	7.468	9.45	98.729	122.33	421.493	433.186	98.729	122.33	421.493	433.186
MM_RS01855	-0.568288973677083	0.478027039868056	-1.18882181609212	0.234509791293667	0.641317128522697	2263.33733541316	raw_counts / DESeq2 median-of-ratios	2.483	1.42	13.823	9.614	523.961	307.667	794.871	424.031	523.961	307.667	794.871	424.031
