gene_id	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS17230	-0.0690435588591739	0.474946654620009	0.884417812567923	0.941670506969669	102.215893722945	raw_counts / DESeq2 median-of-ratios	0.116	0.19	6.868	8.585	6.868	8.585
MM_RS08375	0.204467202419547	1.41023600734358	0.884720399929667	0.941702391789544	3.89464396563636	raw_counts / DESeq2 median-of-ratios	0.38	0.585	20.9	27.457	20.9	27.457
MM_RS09025	-0.0676604846610504	0.467929620030609	0.885030305572756	0.941742044192329	125.338429914276	raw_counts / DESeq2 median-of-ratios	0.991	1.525	57.331	68.56	57.331	68.56
MM_RS17940	-0.656194681277935	4.57588744297669	0.885972139149929	0.94188048587963	18.4749918320887	raw_counts / DESeq2 median-of-ratios	0.053	0.083	3.745	4.313	3.745	4.313
MM_RS03730	0.14515074259472	1.02675842746788	0.887579265572109	0.94188048587963	11.8836568102817	raw_counts / DESeq2 median-of-ratios	0.088	0.131	4.758	5.948	4.758	5.948
MM_RS14965	-0.0913705143216455	0.64340128452585	0.887070759027056	0.94188048587963	75.8607316792122	raw_counts / DESeq2 median-of-ratios	0.368	0.512	20.591	22.315	20.591	22.315
MM_RS14740	-0.0902333393244505	0.62963576364591	0.886045059933979	0.94188048587963	81.6804606514054	raw_counts / DESeq2 median-of-ratios	0.24	0.326	13.446	15.156	13.446	15.156
MM_RS12710	0.0843013693349091	0.596514837988964	0.887614644336479	0.94188048587963	56.62628381178	raw_counts / DESeq2 median-of-ratios	0.501	0.822	28.375	36.068	28.375	36.068
MM_RS11875	-0.0801800744615406	0.564462152409643	0.887042994626493	0.94188048587963	56.8066871801139	raw_counts / DESeq2 median-of-ratios	0.41	0.644	23.786	27.98	23.786	27.98
MM_RS01625	-0.0777361520659849	0.545871736032806	0.886758250299097	0.94188048587963	52.055490563651	raw_counts / DESeq2 median-of-ratios	0.211	0.335	12.427	15.386	12.427	15.386
MM_RS00880	0.0673864704721837	0.468256116992572	0.885571989846027	0.94188048587963	124.843802015815	raw_counts / DESeq2 median-of-ratios	0.391	0.676	22.742	29.976	22.742	29.976
MM_RS07225	-0.0665420212556881	0.466202162043728	0.886501751184258	0.94188048587963	783.725965528519	raw_counts / DESeq2 median-of-ratios	2.437	4.27	147.336	189.165	147.336	189.165
MM_RS03940	0.143263578339596	1.02025650327522	0.888328807047334	0.942059471765886	996.345647557994	raw_counts / DESeq2 median-of-ratios	11.929	16.348	639.687	762.567	639.687	762.567
