gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS12785	-2.15882463403615	0.459767401916401	2.65992732684934e-06	6.76583642393273e-05	176.064979557959	raw_counts / DESeq2 median-of-ratios	7.152	1.422	1516.872	307.638	1516.872	307.638
MM_RS11040	-2.21450882411634	0.473126279906385	2.86054364650672e-06	7.19953669347112e-05	130.208012717471	raw_counts / DESeq2 median-of-ratios	2.126	0.409	453.555	88.067	453.555	88.067
MM_RS07030	-1.68355412249067	0.360271566155022	2.96811325263197e-06	7.39245706983651e-05	737.169069658729	raw_counts / DESeq2 median-of-ratios	35.294	10.109	7512.803	2161.146	7512.803	2161.146
MM_RS06700	-2.440259947422	0.523256829512018	3.10726823419042e-06	7.65925602881371e-05	191.889050812565	raw_counts / DESeq2 median-of-ratios	0.566	0.092	119.232	19.961	119.232	19.961
MM_RS12195	2.26993005709659	0.487199731562512	3.17538578622168e-06	7.74729328046533e-05	364.409444711393	raw_counts / DESeq2 median-of-ratios	1.754	7.649	377.441	1633.901	377.441	1633.901
MM_RS18725	2.92765643215173	0.628709836110055	3.21458753374044e-06	7.76371595270039e-05	349.293430688242	raw_counts / DESeq2 median-of-ratios	0.124	0.949	26.701	197.75	26.701	197.75
MM_RS00010	-1.70293065205235	0.367578521029557	3.60691939515828e-06	8.62414427382344e-05	563.582810276101	raw_counts / DESeq2 median-of-ratios	1.071	0.31	227.882	65.895	227.882	65.895
MM_RS09135	-1.76218805311104	0.381256145548233	3.79951571508251e-06	8.99469512352702e-05	1048.02016957126	raw_counts / DESeq2 median-of-ratios	4.431	1.198	938.234	256.904	938.234	256.904
MM_RS07040	-1.88285813111574	0.407633220670234	3.85592559058697e-06	9.03874322264064e-05	456.271487934111	raw_counts / DESeq2 median-of-ratios	22.232	5.809	4703.001	1232.118	4703.001	1232.118
MM_RS09440	-2.40498061569936	0.523363475374838	4.32252100511297e-06	0.000100341240031312	122.863587588427	raw_counts / DESeq2 median-of-ratios	0.323	0.061	68.51	12.689	68.51	12.689
MM_RS11085	-2.03894437330046	0.446924362783665	5.06279233085485e-06	0.000116395542914173	187.35891226704	raw_counts / DESeq2 median-of-ratios	1.926	0.453	410.629	95.556	410.629	95.556
MM_RS07125	-1.98859683366245	0.437036754873212	5.35995005286208e-06	0.000121003804364989	149.266387582951	raw_counts / DESeq2 median-of-ratios	0.218	0.052	46.359	11.024	46.359	11.024
MM_RS03650	1.95110279897029	0.428813283792512	5.36445138548259e-06	0.000121003804364989	2537.57942451281	raw_counts / DESeq2 median-of-ratios	21.221	78.071	4469.999	16648.214	4469.999	16648.214
MM_RS09125	-2.0059023237781	0.441182005445315	5.45052609327334e-06	0.00012179633541137	147.530451647957	raw_counts / DESeq2 median-of-ratios	11.339	2.642	2405.353	563.545	2405.353	563.545
MM_RS03635	1.9358011506544	0.427995943543507	6.09857393586656e-06	0.000135015650746824	1929.80660891115	raw_counts / DESeq2 median-of-ratios	1.417	5.393	302.453	1132.614	302.453	1132.614
MM_RS01025	-1.80936389016896	0.400572496683379	6.27382262696294e-06	0.000137621191752921	268.656174683899	raw_counts / DESeq2 median-of-ratios	1.621	0.44	344.156	93.397	344.156	93.397
MM_RS05350	-2.05814012736426	0.45592336516935	6.35490679978466e-06	0.000138132565075319	220.735105548356	raw_counts / DESeq2 median-of-ratios	0.665	0.139	141.533	30.134	141.533	30.134
MM_RS13735	-2.44008531782681	0.541147539090706	6.51049481780478e-06	0.000140239577561903	107.062127961391	raw_counts / DESeq2 median-of-ratios	0.395	0.072	83.315	15.162	83.315	15.162
MM_RS03900	2.31694385589209	0.514955644142823	6.8175142704903e-06	0.000145541755542342	73.2639499852691	raw_counts / DESeq2 median-of-ratios	0.16	0.732	34.138	156.702	34.138	156.702
MM_RS01555	-1.86393695439524	0.415062876976006	7.0978164069974e-06	0.000150184770169299	271.084794281105	raw_counts / DESeq2 median-of-ratios	0.277	0.072	58.559	15.27	58.559	15.27
MM_RS18300	-2.40818913445	0.53674036231738	7.23372483281369e-06	0.000151717860309277	79.9984087593572	raw_counts / DESeq2 median-of-ratios	7.809	1.425	1663.064	299.866	1663.064	299.866
MM_RS17110	2.0300325059041	0.454138575117663	7.81929663447236e-06	0.000162573376113247	126.322983989086	raw_counts / DESeq2 median-of-ratios	0.125	0.487	26.526	103.228	26.526	103.228
MM_RS14360	2.30264086823379	0.516614224983055	8.30461613375616e-06	0.000171175320481129	87.8049254814428	raw_counts / DESeq2 median-of-ratios	0.053	0.234	11.394	50.342	11.394	50.342
MM_RS07900	2.00266286440995	0.449783366112599	8.48741068488768e-06	0.000173447854252705	153.644059721188	raw_counts / DESeq2 median-of-ratios	0.194	0.756	41.298	159.715	41.298	159.715
MM_RS11760	-2.57116523865838	0.578169534875621	8.70460831054745e-06	0.000176378970089144	211.601054323349	raw_counts / DESeq2 median-of-ratios	0.628	0.104	135.029	21.765	135.029	21.765
MM_RS11105	-2.26829593757434	0.511635301437493	9.27484526912292e-06	0.000186354244020781	153.29721117681	raw_counts / DESeq2 median-of-ratios	1.502	0.281	322.551	60.146	322.551	60.146
MM_RS02025	-1.79728377270637	0.40858461542589	1.08848912467173e-05	0.000216881458090841	417.06802422844	raw_counts / DESeq2 median-of-ratios	0.498	0.127	105.729	27.463	105.729	27.463
MM_RS09105	-1.74029392777033	0.39643612551912	1.13430452057314e-05	0.000224142323032263	725.280609997615	raw_counts / DESeq2 median-of-ratios	7.316	2.122	1548.26	449.675	1548.26	449.675
