gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS13280	1.02598818282565	0.686469285079307	0.135022217829097	0.323809551483823	34.1928132430787	raw_counts / DESeq2 median-of-ratios	0.047	0.092	10.075	19.381	10.075	19.381
MM_RS17165	0.916751855857939	0.614496277272989	0.135731822825147	0.32518515869231	60.1066022375795	raw_counts / DESeq2 median-of-ratios	0.11	0.183	23.757	39.34	23.757	39.34
MM_RS16335	0.940602278300592	0.630819186666047	0.135940323815706	0.32535867291627	52.5252983116592	raw_counts / DESeq2 median-of-ratios	0.167	0.284	35.021	61.48	35.021	61.48
MM_RS09990	0.992856393926409	0.666555914677089	0.136347321756764	0.325362471185264	40.1287803813368	raw_counts / DESeq2 median-of-ratios	0.206	0.342	43.795	74.977	43.795	74.977
MM_RS02800	-0.859610365648686	0.577055080520005	0.13631616704381	0.325362471185264	214.161002784391	raw_counts / DESeq2 median-of-ratios	0.231	0.125	48.278	26.482	48.278	26.482
MM_RS10530	-0.716231797155699	0.480846960668423	0.136350144762708	0.325362471185264	192.282208364212	raw_counts / DESeq2 median-of-ratios	0.922	0.535	194.174	114.042	194.174	114.042
MM_RS10425	0.94083972257515	0.631991598026068	0.136568956762131	0.32555969652867	99.0413076890162	raw_counts / DESeq2 median-of-ratios	0.303	0.621	63.772	129.176	63.772	129.176
MM_RS06920	0.616714659801675	0.414794378430388	0.137068674651542	0.326425499095455	196.602740096826	raw_counts / DESeq2 median-of-ratios	0.453	0.654	95.939	139.304	95.939	139.304
MM_RS00635	0.652996160206902	0.439477635936947	0.137319815862565	0.326698188783475	130.960362398886	raw_counts / DESeq2 median-of-ratios	0.617	0.916	130.803	194.973	130.803	194.973
MM_RS08085	-0.755173072335997	0.508467076682984	0.137492013438891	0.326782707885079	283.387403192926	raw_counts / DESeq2 median-of-ratios	0.396	0.243	83.682	50.824	83.682	50.824
MM_RS14035	0.753494350644153	0.507588391247499	0.13768709061506	0.326921383972799	118.770830794914	raw_counts / DESeq2 median-of-ratios	1.113	1.687	234.736	364.008	234.736	364.008
MM_RS18900	1.13317285198931	0.764900316521821	0.138482772941023	0.327833970398007	293.614292242956	raw_counts / DESeq2 median-of-ratios	12.724	29.404	2634.892	6181.827	2634.892	6181.827
MM_RS01030	0.755994472563643	0.510008915531556	0.138256182411929	0.327833970398007	63.8462467250095	raw_counts / DESeq2 median-of-ratios	0.139	0.219	29.664	46.659	29.664	46.659
MM_RS12410	-0.59539411294776	0.401815911477895	0.138404584522035	0.327833970398007	199.453020151958	raw_counts / DESeq2 median-of-ratios	0.292	0.179	62.131	38.291	62.131	38.291
MM_RS16055	-0.600676684928917	0.405635698775114	0.138652423427143	0.327910924247575	209.941053957923	raw_counts / DESeq2 median-of-ratios	0.425	0.265	90.19	56.321	90.19	56.321
MM_RS11160	-0.671668668456918	0.454883120665644	0.139789818618959	0.330274166322066	438.26172380485	raw_counts / DESeq2 median-of-ratios	2.888	1.826	615.261	382.614	615.261	382.614
MM_RS18760	0.699806476247692	0.474690737290262	0.14041788863097	0.331430574251382	136.206857882337	raw_counts / DESeq2 median-of-ratios	8.968	12.724	1903.239	2757.577	1903.239	2757.577
MM_RS09070	-0.745810029375351	0.506809552013978	0.141134740803424	0.332794048580855	96.4240760013476	raw_counts / DESeq2 median-of-ratios	0.138	0.081	29.249	17.14	29.249	17.14
MM_RS09535	1.04458717445919	0.711085009786672	0.141831532360044	0.333730238480191	33.1846260504399	raw_counts / DESeq2 median-of-ratios	0.778	1.343	164.742	294.707	164.742	294.707
MM_RS15590	-0.867783427562232	0.591319070792401	0.142229658306698	0.333730238480191	46.1937709411374	raw_counts / DESeq2 median-of-ratios	0.14	0.074	29.622	15.781	29.622	15.781
MM_RS02315	-0.825251268725042	0.562248012182131	0.142166465528384	0.333730238480191	72.4275474798572	raw_counts / DESeq2 median-of-ratios	0.145	0.072	31.21	15.566	31.21	15.566
MM_RS02470	-0.811547237863894	0.552581518498947	0.141928535995745	0.333730238480191	106.056904333507	raw_counts / DESeq2 median-of-ratios	0.278	0.159	59.417	33.254	59.417	33.254
MM_RS07985	-0.69490486622344	0.473389253444603	0.142121757968006	0.333730238480191	392.733865151708	raw_counts / DESeq2 median-of-ratios	1.487	0.804	319.335	173.01	319.335	173.01
MM_RS03235	0.850565113316345	0.580351649963061	0.142756476285235	0.334637975292154	108.439495629935	raw_counts / DESeq2 median-of-ratios	0.07	0.109	14.692	23.735	14.692	23.735
MM_RS06165	0.685837609797607	0.468317368480939	0.143065065078755	0.335032880120768	173.792887919898	raw_counts / DESeq2 median-of-ratios	0.138	0.192	29.546	41.629	29.546	41.629
MM_RS05795	-0.827724552446781	0.565446729058219	0.14323718094872	0.33510772959725	78.5533489825434	raw_counts / DESeq2 median-of-ratios	0.32	0.153	68.537	33.344	68.537	33.344
MM_RS02450	0.662375355871396	0.45325879231406	0.143916014022098	0.33636675418068	197.572861386084	raw_counts / DESeq2 median-of-ratios	0.336	0.526	71.575	110.632	71.575	110.632
MM_RS04720	0.732401640328852	0.50183448624354	0.14444167683113	0.337265673147687	68.666833469359	raw_counts / DESeq2 median-of-ratios	0.108	0.168	23.027	35.768	23.027	35.768
MM_RS13175	-0.750995154009389	0.515423566632737	0.145104053497082	0.338481748206364	117.621479273333	raw_counts / DESeq2 median-of-ratios	0.379	0.219	81.183	46.05	81.183	46.05
MM_RS07725	-0.783246927994809	0.538459732562614	0.145778281420461	0.339723071029554	65.8833713630571	raw_counts / DESeq2 median-of-ratios	1.076	0.567	227.691	122.152	227.691	122.152
MM_RS11825	-0.767553355855788	0.528016491703582	0.146042220409503	0.340006766308786	125.76653702454	raw_counts / DESeq2 median-of-ratios	0.555	0.314	116.676	66.72	116.676	66.72
MM_RS12255	0.736565554665187	0.507661192596372	0.146807746145315	0.34145653797028	101.410843964087	raw_counts / DESeq2 median-of-ratios	0.16	0.258	33.773	54.782	33.773	54.782
MM_RS13075	0.962345062057339	0.66396914513047	0.14723087606636	0.342025791805903	36.9555714084169	raw_counts / DESeq2 median-of-ratios	0.152	0.256	32.643	55.501	32.643	55.501
MM_RS12530	-0.75672764571928	0.522723820615202	0.147711477015277	0.342025791805903	124.657895651226	raw_counts / DESeq2 median-of-ratios	0.162	0.085	34.081	18.374	34.081	18.374
MM_RS06010	0.723252653532004	0.499485202669538	0.147618125599161	0.342025791805903	96.5653332128409	raw_counts / DESeq2 median-of-ratios	0.243	0.393	51.406	83.024	51.406	83.024
MM_RS05990	-0.715505745485784	0.494079802187643	0.147572795670283	0.342025791805903	292.874783688266	raw_counts / DESeq2 median-of-ratios	0.855	0.462	183.809	99.085	183.809	99.085
MM_RS07300	-0.68152826747658	0.470843817513905	0.147767730211417	0.342025791805903	135.364630600694	raw_counts / DESeq2 median-of-ratios	0.339	0.188	72.458	40.366	72.458	40.366
MM_RS13700	-0.665848815647017	0.460556834851767	0.148248083072236	0.342805770431059	275.216071419776	raw_counts / DESeq2 median-of-ratios	0.242	0.132	51.244	28.62	51.244	28.62
MM_RS03445	0.646506941273491	0.448161195561691	0.149139724011251	0.344534376918744	109.09893909459	raw_counts / DESeq2 median-of-ratios	0.256	0.368	54.391	78.693	54.391	78.693
MM_RS12895	-0.810330429767204	0.562134346300678	0.149436562244225	0.344886892206507	103.754001168233	raw_counts / DESeq2 median-of-ratios	0.273	0.133	58.569	28.791	58.569	28.791
MM_RS01695	0.851035751157862	0.590826087277805	0.149749547325105	0.345275957236573	48.2996045312785	raw_counts / DESeq2 median-of-ratios	0.093	0.153	19.588	32.942	19.588	32.942
MM_RS08220	-0.714613741046391	0.49672879755934	0.150252647665895	0.346102197080111	219.103824020498	raw_counts / DESeq2 median-of-ratios	0.728	0.413	153.027	88.493	153.027	88.493
MM_RS04840	-0.768259325769366	0.535816335501748	0.151626221064059	0.348930023642122	102.050108214941	raw_counts / DESeq2 median-of-ratios	1.074	0.547	226.962	119.047	226.962	119.047
MM_RS02010	-0.801628034536107	0.559650366159727	0.152037121513419	0.349539189940946	54.1078834318392	raw_counts / DESeq2 median-of-ratios	0.149	0.082	31.585	17.439	31.585	17.439
MM_RS18445	0.754392243901152	0.527296463265232	0.15252208922882	0.350317305807982	69.1150033417307	raw_counts / DESeq2 median-of-ratios	0.408	0.652	87.263	138.145	87.263	138.145
MM_RS13500	0.776808355355808	0.543873257287373	0.153208605594005	0.35133796550008	68.4122620562391	raw_counts / DESeq2 median-of-ratios	0.535	0.912	113.545	191.532	113.545	191.532
MM_RS15790	-0.762630657403302	0.534014142679457	0.153260350487906	0.35133796550008	81.4983935102485	raw_counts / DESeq2 median-of-ratios	0.618	0.338	130.383	72.453	130.383	72.453
MM_RS01135	0.84100676964024	0.589764144438468	0.153866824964451	0.352390400852493	45.2684889247193	raw_counts / DESeq2 median-of-ratios	0.122	0.207	25.82	44.08	25.82	44.08
MM_RS00455	0.884275396194001	0.622219737303038	0.155269505596091	0.355089978690993	62.6949887285551	raw_counts / DESeq2 median-of-ratios	1.129	2.093	242.023	437.39	242.023	437.39
MM_RS15730	-0.653132197799683	0.459657302394051	0.155342583735165	0.355089978690993	104.728435077287	raw_counts / DESeq2 median-of-ratios	0.438	0.255	93.042	54.709	93.042	54.709
MM_RS05105	-0.724149103383623	0.510227862629142	0.155821454473209	0.355844410358589	89.9927451415468	raw_counts / DESeq2 median-of-ratios	0.266	0.142	56.408	30.815	56.408	30.815
MM_RS12465	0.618204587249993	0.435810048439478	0.15603946078488	0.356002243069321	199.450088250119	raw_counts / DESeq2 median-of-ratios	0.269	0.402	56.906	85.055	56.906	85.055
MM_RS17255	-0.757478205439099	0.534493040628587	0.156427377475964	0.356547053903747	82.70358072076	raw_counts / DESeq2 median-of-ratios	0.229	0.125	49.101	26.677	49.101	26.677
MM_RS01580	-0.689535643789543	0.486742471268944	0.15659013700542	0.356578111980914	87.5393067351365	raw_counts / DESeq2 median-of-ratios	0.527	0.294	112.459	63.146	112.459	63.146
MM_RS09390	-0.828872975350947	0.586072000665762	0.157278171305477	0.357804098564601	77.3685133114437	raw_counts / DESeq2 median-of-ratios	4.146	2.229	870.388	475.304	870.388	475.304
MM_RS02740	-0.632662685049079	0.447804416507502	0.157711513518033	0.358448886712564	475.05323311771	raw_counts / DESeq2 median-of-ratios	4.339	2.783	926.405	584.245	926.405	584.245
MM_RS03210	0.703344659744389	0.498281241869885	0.158085003046393	0.358956545378846	86.335676360185	raw_counts / DESeq2 median-of-ratios	0.09	0.129	19.091	27.773	19.091	27.773
MM_RS07250	-0.607003964913755	0.430345835306484	0.158391298191344	0.359310810223439	219.692893111791	raw_counts / DESeq2 median-of-ratios	1.859	1.157	397.405	245.197	397.405	245.197
MM_RS18460	-0.669083015527395	0.474567916613734	0.158575616212601	0.359387960534909	118.314387158434	raw_counts / DESeq2 median-of-ratios	0.107	0.06	22.753	12.943	22.753	12.943
MM_RS05510	-0.787037766902367	0.559007514727276	0.159154809540361	0.360018116945131	62.5077375426349	raw_counts / DESeq2 median-of-ratios	0.129	0.075	27.443	15.661	27.443	15.661
MM_RS16025	0.783250395741164	0.556222396109903	0.159083555878567	0.360018116945131	47.7577744769455	raw_counts / DESeq2 median-of-ratios	0.061	0.097	13.019	20.764	13.019	20.764
MM_RS15520	-0.937601130977687	0.667851909927607	0.160346919676506	0.362371913938115	35.4201812333661	raw_counts / DESeq2 median-of-ratios	0.128	0.063	27.036	13.523	27.036	13.523
MM_RS16005	0.90476902275101	0.645661124916055	0.161122488478991	0.363780802599874	36.5652413732117	raw_counts / DESeq2 median-of-ratios	0.042	0.077	8.81	16.262	8.81	16.262
MM_RS11255	0.695637462631837	0.496619030021659	0.161289835233761	0.363815090607474	466.442583504507	raw_counts / DESeq2 median-of-ratios	1.955	2.664	419.714	578.644	419.714	578.644
MM_RS14480	0.701021352582418	0.501287792006063	0.161980707431199	0.364800731384681	93.1777018333242	raw_counts / DESeq2 median-of-ratios	0.184	0.281	38.846	59.953	38.846	59.953
MM_RS09350	0.656119297396533	0.469236416495625	0.162031943425567	0.364800731384681	233.119625915039	raw_counts / DESeq2 median-of-ratios	0.321	0.491	68.817	103.47	68.817	103.47
MM_RS06715	0.575504570975745	0.41215277488173	0.162612743402982	0.36576394118206	232.763806098896	raw_counts / DESeq2 median-of-ratios	0.835	1.111	177.854	239.154	177.854	239.154
MM_RS00380	-0.66390573634273	0.476039690816917	0.163123322505123	0.366567541456532	163.979998001783	raw_counts / DESeq2 median-of-ratios	0.31	0.194	66.026	40.647	66.026	40.647
MM_RS06095	-0.938332393719075	0.674531720652668	0.164199007827308	0.367062533205562	74.8306495373821	raw_counts / DESeq2 median-of-ratios	0.13	0.058	27.334	12.759	27.334	12.759
MM_RS07995	0.90954972116421	0.654320995360952	0.164508673067495	0.367062533205562	191.500161709917	raw_counts / DESeq2 median-of-ratios	0.367	0.523	78.547	116.84	78.547	116.84
MM_RS14500	-0.828316067101158	0.596261743061855	0.164777420744813	0.367062533205562	69.1630202574779	raw_counts / DESeq2 median-of-ratios	0.209	0.121	44.149	25.233	44.149	25.233
MM_RS12720	0.751879526991681	0.541144333099433	0.164703517756599	0.367062533205562	51.6090292158634	raw_counts / DESeq2 median-of-ratios	0.136	0.213	28.929	45.509	28.929	45.509
MM_RS10955	-0.700468580526634	0.503763680233278	0.164386024666076	0.367062533205562	107.234591834374	raw_counts / DESeq2 median-of-ratios	0.356	0.2	76.252	42.614	76.252	42.614
MM_RS15140	0.649356493708123	0.466452333600012	0.163886795613209	0.367062533205562	105.510091566093	raw_counts / DESeq2 median-of-ratios	0.143	0.215	30.491	45.556	30.491	45.556
MM_RS01855	-0.626093900304364	0.450649764743057	0.164737374169912	0.367062533205562	1506.87026501872	raw_counts / DESeq2 median-of-ratios	2.483	1.42	523.961	307.667	523.961	307.667
MM_RS19150	0.562587557789299	0.404868999342767	0.164664187098543	0.367062533205562	768.049946814277	raw_counts / DESeq2 median-of-ratios	3.781	4.875	803.795	1055.009	803.795	1055.009
MM_RS10165	0.548667614412647	0.394853823049543	0.164666733968847	0.367062533205562	277.199235987599	raw_counts / DESeq2 median-of-ratios	0.2	0.276	42.745	58.635	42.745	58.635
MM_RS15320	0.483590662265171	0.348195365618273	0.164878779030855	0.367062533205562	1344.02987197056	raw_counts / DESeq2 median-of-ratios	690.923	906.236	146976.567	192952.656	146976.567	192952.656
MM_RS08710	0.538264061640371	0.387936720157437	0.165287888227998	0.367631014654086	260.428556211744	raw_counts / DESeq2 median-of-ratios	0.442	0.603	93.967	128.288	93.967	128.288
MM_RS16195	0.948606738817644	0.685595990370416	0.166473762063921	0.369924502876241	33.0283227967919	raw_counts / DESeq2 median-of-ratios	0.722	1.325	155.009	280.152	155.009	280.152
MM_RS17065	-0.832293032913946	0.601776950276896	0.166646772889635	0.369965119757768	237.274623942017	raw_counts / DESeq2 median-of-ratios	0.518	0.246	108.604	54.011	108.604	54.011
MM_RS00755	-0.78493413604898	0.568304985207666	0.167222185674688	0.370131920914852	73.2501011208224	raw_counts / DESeq2 median-of-ratios	0.414	0.24	87.244	50.442	87.244	50.442
MM_RS00695	0.692391219284304	0.501442846060585	0.167341115227501	0.370131920914852	68.8558349397364	raw_counts / DESeq2 median-of-ratios	0.206	0.309	43.802	65.977	43.802	65.977
MM_RS04890	0.567750448668951	0.411070916112479	0.167232954682716	0.370131920914852	1659.18413721013	raw_counts / DESeq2 median-of-ratios	769.539	1124.888	164171.546	236706.567	164171.546	236706.567
MM_RS07130	0.542202405857109	0.392324073688195	0.166963455379832	0.370131920914852	419.068891443472	raw_counts / DESeq2 median-of-ratios	0.301	0.423	63.773	89.633	63.773	89.633
MM_RS10815	0.915592238581835	0.664552692050436	0.168278272649251	0.371107211086796	161.634528455455	raw_counts / DESeq2 median-of-ratios	0.344	0.623	74.562	130.968	74.562	130.968
MM_RS06340	0.740676597147598	0.538037488740252	0.168627792478491	0.371107211086796	108.833679754077	raw_counts / DESeq2 median-of-ratios	0.143	0.204	30.308	44.595	30.308	44.595
MM_RS12545	-0.713322279465864	0.518029041937461	0.168514462835453	0.371107211086796	156.863339765758	raw_counts / DESeq2 median-of-ratios	0.141	0.084	30.186	17.706	30.186	17.706
MM_RS16140	-0.65236780048157	0.473983961229797	0.16871331595623	0.371107211086796	511.379998611425	raw_counts / DESeq2 median-of-ratios	0.58	0.337	124.64	71.783	124.64	71.783
MM_RS09285	0.622576878906945	0.451692262128796	0.168104237499824	0.371107211086796	193.878826244833	raw_counts / DESeq2 median-of-ratios	0.293	0.447	62.445	94.032	62.445	94.032
MM_RS08880	-0.576387861728406	0.418355516423879	0.168281559399391	0.371107211086796	231.744683923714	raw_counts / DESeq2 median-of-ratios	0.534	0.342	113.88	72.329	113.88	72.329
MM_RS13640	0.792749612005437	0.57722408590224	0.169633384405057	0.372634962762515	124.115579004711	raw_counts / DESeq2 median-of-ratios	0.293	0.474	61.406	101.698	61.406	101.698
MM_RS02070	0.672139976869219	0.489651939848455	0.16984895805943	0.372634962762515	173.311934215971	raw_counts / DESeq2 median-of-ratios	0.112	0.151	23.938	32.955	23.938	32.955
MM_RS13040	0.664135109135489	0.483850397424826	0.169875411715241	0.372634962762515	821.074517088939	raw_counts / DESeq2 median-of-ratios	400.87	631.864	85933.042	132433.116	85933.042	132433.116
MM_RS02650	1.14594862221938	0.83590417213895	0.170403299485694	0.372766961637963	58.2904207887443	raw_counts / DESeq2 median-of-ratios	0.337	0.625	73.31	135.137	73.31	135.137
MM_RS15460	0.853464361711518	0.622523912558318	0.170382929398178	0.372766961637963	34.2241445703557	raw_counts / DESeq2 median-of-ratios	0.04	0.069	8.605	14.693	8.605	14.693
MM_RS19170	-0.691421135114397	0.504308640911748	0.170366309436986	0.372766961637963	105.794936794658	raw_counts / DESeq2 median-of-ratios	3.476	1.99	745.257	423.47	745.257	423.47
MM_RS08630	-0.936587056081167	0.684751072874628	0.171381757521317	0.374222632176685	83.4805904882706	raw_counts / DESeq2 median-of-ratios	0.153	0.063	32.435	14.028	32.435	14.028
MM_RS17685	0.821964778706177	0.600766037570974	0.171251207784662	0.374222632176685	54.4935537295399	raw_counts / DESeq2 median-of-ratios	0.111	0.193	23.754	40.488	23.754	40.488
MM_RS12085	0.867137134298531	0.635903237084418	0.172683845634757	0.376035587352189	31.6755426493269	raw_counts / DESeq2 median-of-ratios	0.034	0.058	7.198	12.282	7.198	12.282
MM_RS05210	-0.85070106136524	0.623508916945683	0.17244902571621	0.376035587352189	76.3815258706208	raw_counts / DESeq2 median-of-ratios	0.147	0.072	30.79	15.725	30.79	15.725
MM_RS08025	-0.748769309740715	0.549036979884051	0.172634719573658	0.376035587352189	52.6643721383273	raw_counts / DESeq2 median-of-ratios	0.203	0.111	42.945	23.727	42.945	23.727
MM_RS03290	0.62993792136746	0.462621179327234	0.173301684399136	0.377037604548074	231.698823641341	raw_counts / DESeq2 median-of-ratios	4.136	5.953	887.245	1264.933	887.245	1264.933
MM_RS05750	0.598214817987645	0.440709159407303	0.174656882885312	0.379640551798892	260.264243831488	raw_counts / DESeq2 median-of-ratios	0.376	0.504	80.535	108.469	80.535	108.469
MM_RS19610	-0.739622186083403	0.546026336227142	0.175559681216582	0.380910342821096	72.0430733516221	raw_counts / DESeq2 median-of-ratios	0.257	0.145	55.182	30.687	55.182	30.687
MM_RS03195	-0.607324148083194	0.44821292402896	0.175420659110062	0.380910342821096	111.736065373922	raw_counts / DESeq2 median-of-ratios	0.25	0.153	53.174	32.591	53.174	32.591
MM_RS04370	0.526269859539676	0.388696871815064	0.175757476860108	0.380993768968739	347.63438673279	raw_counts / DESeq2 median-of-ratios	0.2	0.261	42.741	56.019	42.741	56.019
MM_RS17910	0.898734522433321	0.665386645833934	0.176793103162406	0.38185393826677	73.315836982315	raw_counts / DESeq2 median-of-ratios	2.414	4.092	522.332	871.16	522.332	871.16
MM_RS11300	0.768358392361919	0.568270512240731	0.176343421466837	0.38185393826677	185.661506252619	raw_counts / DESeq2 median-of-ratios	0.257	0.378	54.054	82.576	54.054	82.576
MM_RS13315	-0.589764469767522	0.436471265457303	0.176628075908131	0.38185393826677	438.42406825217	raw_counts / DESeq2 median-of-ratios	1.767	1.081	378.991	230.247	378.991	230.247
MM_RS07075	0.4825170061347	0.357169630666013	0.176712621683771	0.38185393826677	777.617493542535	raw_counts / DESeq2 median-of-ratios	0.351	0.462	74.776	98.192	74.776	98.192
MM_RS08215	0.534350864360455	0.395771819943742	0.176968244147554	0.381887248877979	483.324872877147	raw_counts / DESeq2 median-of-ratios	2.402	3.399	510.594	717.63	510.594	717.63
MM_RS01940	0.607113476308549	0.449950861898569	0.177244351666059	0.382138182897699	107.315174381843	raw_counts / DESeq2 median-of-ratios	0.122	0.171	25.962	36.525	25.962	36.525
MM_RS02340	-0.678991875472009	0.503598069880307	0.177567914661271	0.382490886446035	716.51531109996	raw_counts / DESeq2 median-of-ratios	6.342	3.369	1364.195	728.979	1364.195	728.979
MM_RS17225	0.996386778092378	0.743255391416092	0.180059710422178	0.386812908912334	34.1247779633508	raw_counts / DESeq2 median-of-ratios	0.115	0.213	24.879	45.14	24.879	45.14
MM_RS17840	-0.612115847381722	0.456461258380048	0.179919528004148	0.386812908912334	850.10536634874	raw_counts / DESeq2 median-of-ratios	82.815	48.279	17459.217	10442.301	17459.217	10442.301
MM_RS08545	-0.607943726802003	0.453255354289211	0.179828568910864	0.386812908912334	326.612359879099	raw_counts / DESeq2 median-of-ratios	1.154	0.759	245.729	159.243	245.729	159.243
MM_RS01965	0.5168954940977	0.385840913035475	0.18035602848279	0.387101673341429	311.659320589079	raw_counts / DESeq2 median-of-ratios	2.442	3.298	518.049	702.002	518.049	702.002
MM_RS07080	0.816462972271898	0.610172453065088	0.180868534704044	0.387853512535757	49.0086456598251	raw_counts / DESeq2 median-of-ratios	0.075	0.132	16.138	27.62	16.138	27.62
MM_RS01930	0.767092110706449	0.57520845192352	0.182338335383313	0.390387268851534	1285.855399494	raw_counts / DESeq2 median-of-ratios	1.914	3.09	413.711	651.468	413.711	651.468
MM_RS10480	0.728684586891735	0.546456228362883	0.182376653829847	0.390387268851534	125.384059962672	raw_counts / DESeq2 median-of-ratios	0.098	0.162	21.108	33.946	21.108	33.946
MM_RS15275	0.718437092116533	0.53969085655896	0.183122831160499	0.391633890254699	737.647292029724	raw_counts / DESeq2 median-of-ratios	328.992	518.136	70940.249	109151.976	70940.249	109151.976
MM_RS08620	0.774017213076821	0.582086176022278	0.183607381351501	0.39230857897496	53.9570564606383	raw_counts / DESeq2 median-of-ratios	0.173	0.284	37.098	60.059	37.098	60.059
MM_RS01460	-0.510053205540971	0.383715869023986	0.183766461084046	0.39230857897496	360.830457235934	raw_counts / DESeq2 median-of-ratios	0.313	0.206	66.768	43.773	66.768	43.773
MM_RS09880	-0.758797655484086	0.572055578919813	0.184693850180987	0.39393665993108	55.8194511030643	raw_counts / DESeq2 median-of-ratios	0.427	0.245	90.084	51.888	90.084	51.888
MM_RS09805	-0.637959933937041	0.48125064194812	0.184962528280039	0.394158115078051	95.5662816712993	raw_counts / DESeq2 median-of-ratios	0.15	0.092	31.743	19.467	31.743	19.467
MM_RS10845	0.70274498321394	0.530453905592279	0.185237714300663	0.394393031961608	85.0596372498786	raw_counts / DESeq2 median-of-ratios	0.172	0.269	36.239	57.167	36.239	57.167
MM_RS01065	-0.702062091553432	0.530312623363355	0.185548027804386	0.394702254875701	185.833741764397	raw_counts / DESeq2 median-of-ratios	0.288	0.153	62.003	32.964	62.003	32.964
MM_RS00775	-0.720343474514406	0.544574585028256	0.185913983706302	0.395129186703794	140.091544124361	raw_counts / DESeq2 median-of-ratios	0.427	0.243	91.882	51.513	91.882	51.513
MM_RS07975	-0.649379600422898	0.491850757399131	0.186742308849604	0.39629606036719	329.755308139498	raw_counts / DESeq2 median-of-ratios	4.221	2.451	907.876	522.478	907.876	522.478
MM_RS08810	0.556394755754473	0.421472430721318	0.186794504405614	0.39629606036719	246.698981239363	raw_counts / DESeq2 median-of-ratios	3.328	4.785	705.679	1010.799	705.679	1010.799
MM_RS15785	0.74968840654034	0.569437964670328	0.187992538960967	0.398484184978433	47.2707979661137	raw_counts / DESeq2 median-of-ratios	0.111	0.172	23.437	36.902	23.437	36.902
MM_RS09095	-0.772388025281439	0.587490892620135	0.188602878476186	0.399109513822002	69.2514355484658	raw_counts / DESeq2 median-of-ratios	0.422	0.21	89.412	45.883	89.412	45.883
MM_RS16495	-0.689221463254819	0.524255011603861	0.18862139298154	0.399109513822002	61.1596422785024	raw_counts / DESeq2 median-of-ratios	0.194	0.111	41.392	23.724	41.392	23.724
MM_RS06015	0.529253623296391	0.40272968198326	0.188790374232966	0.399113868073406	296.239054392024	raw_counts / DESeq2 median-of-ratios	0.339	0.438	71.901	94.245	71.901	94.245
MM_RS18040	-1.00533394081916	0.765397637480622	0.18902149700945	0.399249469390101	34.5474362809513	raw_counts / DESeq2 median-of-ratios	0.623	0.271	130.457	59.337	130.457	59.337
MM_RS18720	0.759223606357082	0.578339728428688	0.189262466133987	0.399405610349835	43.9221799647347	raw_counts / DESeq2 median-of-ratios	0.322	0.49	68.575	105.461	68.575	105.461
MM_RS15355	0.523571405686828	0.399254608318908	0.189732036515668	0.400043473817426	488.525987237338	raw_counts / DESeq2 median-of-ratios	0.295	0.378	62.967	81.153	62.967	81.153
MM_RS13505	-0.755819971648389	0.57713427518054	0.190328300191082	0.400947106393725	46.0366239195757	raw_counts / DESeq2 median-of-ratios	0.663	0.376	141.149	79.491	141.149	79.491
MM_RS10250	-0.717139784984432	0.548382378569174	0.190962616680487	0.401929239861834	230.795621004545	raw_counts / DESeq2 median-of-ratios	0.326	0.163	69.069	35.962	69.069	35.962
MM_RS13490	0.68126891164492	0.522220188581616	0.19204184041635	0.403490369451223	90.9566772336301	raw_counts / DESeq2 median-of-ratios	0.142	0.229	30.29	47.993	30.29	47.993
MM_RS10795	0.636456326154686	0.487830693542181	0.192006459477755	0.403490369451223	104.327475556114	raw_counts / DESeq2 median-of-ratios	0.186	0.264	39.883	56.407	39.883	56.407
MM_RS05130	-0.679916200770551	0.522091581783824	0.192816251228114	0.404406716391598	432.509615312277	raw_counts / DESeq2 median-of-ratios	1.249	0.713	269.18	151.63	269.18	151.63
MM_RS11540	0.659336982565618	0.506193743653573	0.192732269266086	0.404406716391598	80.5851555020168	raw_counts / DESeq2 median-of-ratios	0.103	0.155	22.023	32.753	22.023	32.753
MM_RS02335	1.17475200455817	0.904241548335216	0.193889953514233	0.406302260168739	40.605225484879	raw_counts / DESeq2 median-of-ratios	0.065	0.144	14.179	30.034	14.179	30.034
MM_RS12005	0.711609944113084	0.547985904803624	0.194084090141877	0.406352941794421	109.63531523864	raw_counts / DESeq2 median-of-ratios	0.149	0.214	31.382	46.457	31.382	46.457
MM_RS04690	0.544944215677537	0.420215865304327	0.194693228058974	0.407271660795281	313.991977187987	raw_counts / DESeq2 median-of-ratios	0.17	0.227	35.965	48.741	35.965	48.741
MM_RS03760	0.653776991136361	0.504704968184973	0.19519445524098	0.40760693666479	68.2823086275184	raw_counts / DESeq2 median-of-ratios	0.092	0.132	19.464	28.302	19.464	28.302
MM_RS06075	-0.616361558648958	0.475651227865641	0.195035198808955	0.40760693666479	167.272061885113	raw_counts / DESeq2 median-of-ratios	0.406	0.248	87.118	52.579	87.118	52.579
MM_RS03500	0.536071693281798	0.41528769676358	0.196757725529764	0.410512846196916	1043.60671898848	raw_counts / DESeq2 median-of-ratios	1.133	1.474	239.397	317.954	239.397	317.954
