gene_id	gene_name	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS04130	MM_RS04130	881	1863	909	431	129	518	180	140
MM_RS04135	MM_RS04135	160	348	110	60	51	206	35	69
MM_RS04140	MM_RS04140	3510	5046.163	4083	3491.995	3090	5393.202	2039.247	5666.272
MM_RS04145	MM_RS04145	128.254	1098.692	198.142	968.099	128.287	416.222	109.42	516.014
MM_RS04150	MM_RS04150	479.78	572.688	106	63	127	252	48	58
MM_RS04155	MM_RS04155	40.943	72	77	51	53	47	43	36
MM_RS04160	MM_RS04160	121.007	155.658	94	52	53	83	43	66
MM_RS04170	MM_RS04170	149	324	186	56	9	12	0	7
MM_RS04175	MM_RS04175	418	675	411	133	27	35.995	21	32
MM_RS04180	MM_RS04180	1864	3140.369	7894.183	2945.849	2878	9627	2576	8226.006
MM_RS04185	MM_RS04185	280	579.062	1147	1032	162	271	287	272
MM_RS04190	MM_RS04190	1526	2690	497	151	104	238	39	73
MM_RS04195	MM_RS04195	265.74	542.985	894	290	106	98	182	158
MM_RS04200	MM_RS04200	983.952	1952.466	3862.944	1628	243	386	588	760
MM_RS04205	MM_RS04205	401.824	1277.975	5339	2679	78	206	531	535
MM_RS04210	MM_RS04210	189	366	1548	488	69	117	425	322
MM_RS04215	MM_RS04215	235	573	2601	797	89	181	643	748
MM_RS04220	MM_RS04220	79	301	1305	856	21	18	54	24
MM_RS04225	MM_RS04225	685	1993	9577	7221	67	188	148	198
MM_RS04230	MM_RS04230	352	1086	3199	1937	158	406	432	614
MM_RS04235	MM_RS04235	429	1015	2923	2378	41	122	139	186
MM_RS04240	MM_RS04240	2230	2693	9021	4542	320	664	499	1198
MM_RS04245	MM_RS04245	495.387	947.568	2351.559	1944.018	88.992	223.007	263	476
MM_RS04250	MM_RS04250	161	292	145	80	252	590	58	279
MM_RS04255	MM_RS04255	39	87	154	43	12	28	42	37
MM_RS04260	MM_RS04260	78.018	272	145	55	39	93	83	159
MM_RS04265	MM_RS04265	1586	4159.081	1507	1472	126.032	228	139	102
MM_RS04275	MM_RS04275	317.007	197.472	694.46	268.77	177.231	243.019	610.719	146.042
MM_RS04280	MM_RS04280	206	620	1609.978	2177	69	103	182	274
MM_RS04285	MM_RS04285	424	1188	1892	753	143	327	343	412
MM_RS04290	MM_RS04290	388	513.004	1033	795	107	189	198	281
MM_RS04295	MM_RS04295	446	950	592	436	271	643	370	585
MM_RS04300	MM_RS04300	30	73.964	130	40	11	10	9	15
MM_RS04305	MM_RS04305	28	59.987	51	23	11	15	6	14
MM_RS04310	MM_RS04310	2020.96	2875.812	327	1046	1576	3137	267	2590
MM_RS04315	MM_RS04315	1829.406	3187.897	800	1654	403	648.829	155	530.666
MM_RS04320	MM_RS04320	2853	5342.999	1708	3159	716	1131	274	972
MM_RS04325	MM_RS04325	967	937.923	632	871	141	382	76	265
MM_RS04330	MM_RS04330	36	119	149	45	13	27	33	29
MM_RS04335	MM_RS04335	417	556	410	155	148	359	238	156
MM_RS04340	MM_RS04340	408	910	415	228	151	593	264	286
MM_RS04345	MM_RS04345	299	353.013	335	164	111	163	144	183
MM_RS04350	MM_RS04350	71	178	109	70	12	30	18	18
MM_RS04355	MM_RS04355	127.701	402	313	146	17	39	50	45
MM_RS04360	MM_RS04360	14	41	22	10	2	2	7	13
MM_RS04365	MM_RS04365	28.928	28	22	10	2	8	9	17
MM_RS04370	MM_RS04370	607	928.014	338	326	271	490	253	417
MM_RS04375	MM_RS04375	203.213	566.535	409.003	388	34	76	77	70
MM_RS04380	MM_RS04380	323	447	476.001	151	556	710	292	390
MM_RS04385	MM_RS04385	335.329	511.183	460	268	41	78	57	58
MM_RS04390	MM_RS04390	33	63.994	52.072	17	10	17	12	26
MM_RS04395	MM_RS04395	151.982	309.095	527.001	159	47	67.992	102	112
MM_RS04400	MM_RS04400	76	160	160	81	48	159	70	88
MM_RS04405	MM_RS04405	1172.125	2958.961	2603.064	2393.322	114.732	350.481	185.495	477
MM_RS04410	MM_RS04410	373	537.001	454	268	210	275	133	229
MM_RS04415	MM_RS04415	186	350.896	459.699	82	66.998	75.002	39	47
MM_RS04420	MM_RS04420	266	321.007	609	93	33	38	41	17
MM_RS04425	MM_RS04425	168.171	301.279	468.004	63	47.002	72.998	46	24
MM_RS04430	MM_RS04430	84	171.001	96	53	12	39	8	11
MM_RS04435	MM_RS04435	35.689	77.736	42	11	11	30	20	31
MM_RS04440	MM_RS04440	403	1006	286	254	13	42	13	12
MM_RS04445	MM_RS04445	99	213	165	36	37	34	4	12
MM_RS04450	MM_RS04450	162	262	226	71	29	27	22	25
MM_RS04455	MM_RS04455	68	159.007	83	90	19	36	49	43
MM_RS04460	MM_RS04460	224	262	452	346	315	495	513	850
MM_RS04465	MM_RS04465	563.922	775.157	928	768	221.002	379	359	418
MM_RS04470	MM_RS04470	99	294.969	1193	752	14	48	73	93
MM_RS04475	MM_RS04475	496	591	1283	558	106	556	254.997	490
MM_RS04480	MM_RS04480	687	1317	709	293	35	276	105	88
MM_RS04485	MM_RS04485	1461	3152	2920	1672	133	433	194	363
MM_RS04490	MM_RS04490	489.955	2370	437	273	90	284	134	170
MM_RS04495	MM_RS04495	359	1137	2341.543	1403	144	428	645	575
MM_RS04500	MM_RS04500	314	466.627	283	171	87	233	157	173
MM_RS04505	MM_RS04505	448	672	686	399.011	79	227.336	105	231.218
MM_RS04510	MM_RS04510	264	384	347	301	121	231	68	179
MM_RS04515	MM_RS04515	239	416.113	588	448	87	153	145	220
MM_RS04520	MM_RS04520	323	672	1954	936	93	242	213	318
MM_RS04525	MM_RS04525	584.512	902.733	1316	1781	86	213	287	308
MM_RS04530	MM_RS04530	733.646	1452.605	2835.998	1953.955	167	329	224	361
MM_RS04535	MM_RS04535	116	205	383	183	69	101	195	341
MM_RS04540	MM_RS04540	46	67	571	355	22	53	78	145
MM_RS04545	MM_RS04545	245	427	1992	1715	66	67	239	263
MM_RS04550	MM_RS04550	204	287.845	1555	1096	24	59	163	140
MM_RS04555	MM_RS04555	75	98	440	209	79	101	255	333
MM_RS04560	MM_RS04560	10.01	27.021	25.022	20.017	3.001	5.001	16.005	19.008
MM_RS04565	MM_RS04565	140.322	253.633	237	91	37	57	105	102
MM_RS04575	MM_RS04575	508	775	622	414	221	480	309	298
MM_RS04580	MM_RS04580	41	60	76	40	8	8	15	35
MM_RS04585	MM_RS04585	12	39	17	2	5	5	4	4
MM_RS04590	MM_RS04590	73	167.908	138	95	19	34	25	26
MM_RS04600	MM_RS04600	0	0	217.819	0	0	31.87	66.513	87.658
MM_RS04605	MM_RS04605	2061.672	3702.884	2625.736	1331.029	1958	2454.943	1121	2512
MM_RS04610	MM_RS04610	128.93	285.607	499.992	118	31	53	45	52
MM_RS04615	MM_RS04615	36	209	26	64	11	24	12	11
MM_RS04620	MM_RS04620	221.635	541.003	159.701	86.403	67.684	215	44	59
MM_RS04625	MM_RS04625	196.143	372.25	417	302	40	94.01	100	115
MM_RS04630	MM_RS04630	73	123	371	209	32	33	93	100
MM_RS04635	MM_RS04635	334.988	646.551	1380.998	789	100	166	406	499
MM_RS04640	MM_RS04640	11	12	32	16	2	16	21	19
MM_RS04645	MM_RS04645	11	23	22	9	2	8	6	12
MM_RS04650	MM_RS04650	636	1430	1040	1618	341	684	392	518
MM_RS04655	MM_RS04655	3155.975	5917.059	3826	3012	876	1301	836	1212
MM_RS04660	MM_RS04660	2072	3652	2433	4381	832	1495	813	896
MM_RS04665	MM_RS04665	95	166	66	40	20	97	32	64
MM_RS04670	MM_RS04670	29.012	52.552	31	12	15	40	27	29
MM_RS04675	MM_RS04675	5218.972	8580.917	2941	2231	809	2074	241	359
MM_RS04680	MM_RS04680	1829	2921.005	2366	1413	402	647	698	967
MM_RS04685	MM_RS04685	3	4.271	0	3	1	4	5	3
MM_RS04690	MM_RS04690	709.953	1081.764	625.818	360	251.001	434	289	287
MM_RS04695	MM_RS04695	158	289	557	557	33	47	94	60
MM_RS04700	MM_RS04700	23	59	102	33	4	23	24	30
MM_RS04710	MM_RS04710	265.534	475.923	596.369	197	27	59	76	66
MM_RS04715	MM_RS04715	284.977	740	1498	1672	196	226.005	344	333
MM_RS04720	MM_RS04720	191	484	191	107	51	114	47	74
MM_RS04725	MM_RS04725	629.997	2361.475	679	446	72	192	84	159
MM_RS04730	MM_RS04730	206	343	244	70	56	87	60	128
MM_RS04735	MM_RS04735	481.053	780.997	576	396	66	148	51	107
MM_RS04740	MM_RS04740	562	808.999	543	319	124	219	157	143
MM_RS04745	MM_RS04745	1628.001	3071.945	2911	3489	445	711	350	569
MM_RS04750	MM_RS04750	2497.191	5067.863	2812.14	2417	208	563.045	175	605
MM_RS04755	MM_RS04755	550.994	998.03	1146.943	1618	49	108	86	189
MM_RS04760	MM_RS04760	283	465	540	722	39	71	77	97
MM_RS04765	MM_RS04765	771.007	1179.109	1706.039	1703	238	315	351	437
MM_RS04770	MM_RS04770	167	238	558	500	49	79	113	155
MM_RS04775	MM_RS04775	532.992	703.11	2939	1233	115	193	312	311
MM_RS04780	MM_RS04780	217	441.664	593.325	314	80	115	187	171
MM_RS04785	MM_RS04785	133.047	246.123	558	340	20	83	132	113
MM_RS04790	MM_RS04790	63	99	59	34	23	52	8	36
MM_RS04795	MM_RS04795	123	251.274	461.541	204	87	159	112	187
MM_RS04800	MM_RS04800	760	1365.758	5243	4300	79	137	118	186
MM_RS04805	MM_RS04805	71	88	831	414.671	28	28	159	200
MM_RS04815	MM_RS04815	1866	4323	4209.996	8005.987	164	246	140	461
MM_RS04820	MM_RS04820	117.845	67.987	230.593	0	117.73	184.177	93.189	189.556
MM_RS04825	MM_RS04825	13	16	26.001	24	0	9	0	4
MM_RS04830	MM_RS04830	58	77	222	77	9	21	10	10
MM_RS04835	MM_RS04835	47	63.118	66	16.001	17	20	23	33
MM_RS04840	MM_RS04840	250.6	269	2506	433	60	69.988	145	144
MM_RS04845	MM_RS04845	43	26	179	44	21	28	35	51
MM_RS04850	MM_RS04850	103.054	125	247	206	49	37	54	84
MM_RS04855	MM_RS04855	454.829	580.289	477	309	140	294	169	222
MM_RS04860	MM_RS04860	9.006	25.013	18	15	2	7	8	8
MM_RS04865	MM_RS04865	31	60.522	24.911	6	4	8	1	8
MM_RS04870	MM_RS04870	63	125.03	115	63	13	23	12	21
MM_RS04875	MM_RS04875	13	29	38	11	2	18	15	12
MM_RS04880	MM_RS04880	19.631	37.055	23	6	4	12	1	8
MM_RS04885	MM_RS04885	126	184	174	146	10	29	17	27
MM_RS04890	MM_RS04890	1711	4055	4425	4125	953	3107	1170	1985
MM_RS04895	MM_RS04895	95514	14658	19270	4460	68038	78943.998	162870.998	52201
MM_RS04900	MM_RS04900	389	743.885	181	221	150	386	70	156
MM_RS04905	MM_RS04905	260	427	1981	632	54	105	175	79
MM_RS04910	MM_RS04910	223	876	3553	842	37	59	185	111
MM_RS04915	MM_RS04915	531	2234	5406	1065	334	1040	2163	2110
MM_RS04920	MM_RS04920	835	1645.228	3412	2348.002	236	528	655	1010
MM_RS04925	MM_RS04925	83	111.963	92	69	15	17.158	17	15
MM_RS04930	MM_RS04930	199	264.989	113	95	33	74	25	70
MM_RS04935	MM_RS04935	368	452	190	145	75	169	85	145
MM_RS04940	MM_RS04940	1202.194	2059.641	4736	2303	266	402	474	467
MM_RS04945	MM_RS04945	483	884.506	1205.832	328	56	126	89	96
MM_RS04950	MM_RS04950	199	553.117	355	109	32	109	69	110
MM_RS04955	MM_RS04955	108	177	149	54	55	93	66	88
MM_RS04960	MM_RS04960	127	293	144.168	85	21	101	73	73
MM_RS04965	MM_RS04965	711.949	2515.999	310	336	310	395	303	663
MM_RS04975	MM_RS04975	40	69	53	11	38	69	13	31
MM_RS04980	MM_RS04980	39.936	106.311	46	25	103	115	23	72
MM_RS04990	MM_RS04990	8462.996	21701.231	66.765	204	2864	4909.023	21	79
MM_RS04995	MM_RS04995	1512	4282.162	61	69	486	925	4	5
MM_RS05000	MM_RS05000	3716	5004	74	66	793	1297	12	18
MM_RS05005	MM_RS05005	160	315	78	27	38	27	23	51
MM_RS05010	MM_RS05010	254	299	241.797	107	25	47	35	42
MM_RS05015	MM_RS05015	329	646	884	1223	20	30	50	43
MM_RS05020	MM_RS05020	203	381	116	31	25	53	13	17
MM_RS05025	MM_RS05025	19535.327	40564.003	3178	1556	1496	4215	270.892	153
MM_RS05030	MM_RS05030	82.656	215.005	47.297	29	43	87	39	43.001
MM_RS05035	MM_RS05035	464	644	2958	1856	234	326	562	466
MM_RS05040	MM_RS05040	546.017	872	4120	2971	87	225	341	494
MM_RS05045	MM_RS05045	309	355	2801	1998	50	99	118	199
MM_RS05050	MM_RS05050	410.393	739.922	2993	1950.387	43	85	254	187.021
MM_RS05055	MM_RS05055	206.315	290	251	82	90	109	112	111
MM_RS05060	MM_RS05060	317.001	496.914	209	170	89	137.102	78	84
MM_RS05070	MM_RS05070	32.801	85.998	53	25	9	18	7	16
MM_RS05075	MM_RS05075	391	624	337	275	81	230	61	97
MM_RS05080	MM_RS05080	256	655.367	312	138	19	104	40	85
MM_RS05085	MM_RS05085	34.012	50.038	62	19	6	24	38	24
MM_RS05090	MM_RS05090	496	939	1076	799	68	182	102	231
MM_RS05100	MM_RS05100	110.328	228.31	303	313	64	77	172	201
MM_RS05105	MM_RS05105	413	555.712	1137	746	51	69	119	136
MM_RS05110	MM_RS05110	35	93.001	187	81	14	29	22	18
MM_RS05115	MM_RS05115	0	38.046	0	0	0	3.707	0	0
MM_RS05120	MM_RS05120	265	923	207	89	84.968	141	125	91
MM_RS05125	MM_RS05125	457.015	789.978	751	684	152	239	253	279
MM_RS05130	MM_RS05130	277	559	525	505	196	446	301	1022
MM_RS05135	MM_RS05135	191	310	260	227	144	175	133	212
MM_RS05140	MM_RS05140	442	848	559	1037	74	115	81	115
MM_RS05145	MM_RS05145	47	133	99	216	12	18	31	45
MM_RS05150	MM_RS05150	169	758	318.575	194	80	238	61	157
MM_RS05155	MM_RS05155	1114.425	2650	1137	1016	449	654	212	308
MM_RS05160	MM_RS05160	667	980	1204	737	239	403	196	272
MM_RS05165	MM_RS05165	223	262	508	369	202	206	151	229
MM_RS05170	MM_RS05170	14	19.785	9	5	0	0	2	7
MM_RS05175	MM_RS05175	358.066	518.031	803.088	2048	63	99	197	223
MM_RS05180	MM_RS05180	383	470	963	1435	98	110	242	173
MM_RS05185	MM_RS05185	85	131	164	160	37	88	157	131
MM_RS05190	MM_RS05190	129	203	294	514	192	309	262	433
MM_RS05195	MM_RS05195	740	1054.005	946	1506	46	113	104	154
MM_RS05200	MM_RS05200	440	560	782	999	12	34	62	50
MM_RS05205	MM_RS05205	195	307	192	298	23	79	126	112
MM_RS05210	MM_RS05210	145.03	198.144	524	138	42	53	131	82
MM_RS05215	MM_RS05215	290	450.324	2133	1397	44	71	132	128
MM_RS05220	MM_RS05220	59	113.748	118	89	12	16	2	14
MM_RS05225	MM_RS05225	377	869	996	364	40	175	69	159
MM_RS05230	MM_RS05230	3779.999	5214	2494	1931	1056	2456	557	1271
MM_RS05235	MM_RS05235	145.927	319.972	249	140	193	127	229	138
MM_RS05240	MM_RS05240	19	36.242	27	10	2	10	8	21
MM_RS05245	MM_RS05245	2831.306	6444.875	5056	5934.837	242	693.156	654	516
MM_RS05250	MM_RS05250	220	647	786	628	53	155	289	398
MM_RS05255	MM_RS05255	584.189	1211.55	1745	918	294	574	1128	1156
MM_RS05260	MM_RS05260	1481	9853	11568.008	17091.986	299	953	1711	2037
MM_RS05265	MM_RS05265	895.999	2261	8371.996	3551	400	1251	2337	2939
MM_RS05270	MM_RS05270	1036.428	1783.814	9476.189	5037.812	238	569	1682.436	1908.993
MM_RS05275	MM_RS05275	632.746	1373.615	13798.044	11486.188	240	352	9184.902	3194.007
MM_RS05280	MM_RS05280	259	323.73	473.774	268	43	59	44	89
MM_RS05285	MM_RS05285	21	29	27	9	1	3	8	0
MM_RS05290	MM_RS05290	208	412	126	275	63	123	40	52
MM_RS05295	MM_RS05295	79	126.275	33	20	5	10	18	1
MM_RS05300	MM_RS05300	55.602	113.489	82	38	15	38	19	34
MM_RS05305	MM_RS05305	8	24	10	2	3	1	5	11
MM_RS05310	MM_RS05310	103	172	88	46	13	29	16	8
MM_RS05325	MM_RS05325	118.882	276.508	157	27	11	41	23	12
MM_RS05330	MM_RS05330	7142	13655.003	4895	2242	772	3342	138	223.868
MM_RS05335	MM_RS05335	387	597.716	990	556	232	348	472	762
MM_RS05340	MM_RS05340	1156.899	1465.429	1174.977	523	270.45	483.038	372	661.565
MM_RS05345	MM_RS05345	1642.101	2567.571	1796.023	841	334.55	569.962	312	508.435
MM_RS05350	MM_RS05350	109.001	196	569	523	66	84	337.623	489
MM_RS05355	MM_RS05355	287	401	852	791	85	133	295	401
MM_RS05360	MM_RS05360	2443.8	3233.566	4757.987	3635	730	1569	1187	2316
MM_RS05365	MM_RS05365	2735.971	5441.94	1677	1511	481	1253	339	742
MM_RS05370	MM_RS05370	489	1065	293	312	85	209	103	215
MM_RS05375	MM_RS05375	206.149	466.973	2968	576	59	89	692	286
MM_RS05380	MM_RS05380	46.937	168	887	130	25	59	91	110
MM_RS05385	MM_RS05385	255.927	566	584	263	15	67	49	52
MM_RS05390	MM_RS05390	370.067	2714.181	1184.004	1853.77	514.999	1032.58	416	1130.627
MM_RS05395	MM_RS05395	244	755.531	770	570	41	124	137	224
MM_RS05400	MM_RS05400	77	101.821	409	179	59	75	182	280
MM_RS05405	MM_RS05405	75.332	130.276	347	121	15	46	107	129
MM_RS05410	MM_RS05410	166.68	497.44	455.257	175.027	28.008	47	115.947	122
MM_RS05415	MM_RS05415	524.003	1172	76	92	100	219	79	44
MM_RS05420	MM_RS05420	618.667	1329.159	275	203	158	324	145	105
MM_RS05440	MM_RS05440	1902.837	9094.855	5873.443	7239.308	1004.045	1576	1653	1507.583
MM_RS05445	MM_RS05445	854	1598.988	4249	2970	150	245	653	275
MM_RS05450	MM_RS05450	476.109	885.806	596	393	100	188	83	79
MM_RS05455	MM_RS05455	425.562	1095.005	3027	1305.996	54	109	289	347
MM_RS05460	MM_RS05460	2205.441	5511.34	2283	6087	470	1168	309	684
MM_RS05465	MM_RS05465	215	712	1094	346	63	142	174	250
MM_RS05470	MM_RS05470	85.238	128	31	9	9	35	4	22
MM_RS05475	MM_RS05475	1611.231	4074.137	2333.534	4771.122	91.016	195.326	105	185.139
MM_RS05480	MM_RS05480	89	171.514	83	26	3	16	4	2
MM_RS05490	MM_RS05490	139	365	612	260	115	311	192	201
MM_RS05495	MM_RS05495	302.067	564.001	297	119	118.013	188.995	132	138
MM_RS05500	MM_RS05500	37	36.006	70	100	7	20.725	50	48
MM_RS05505	MM_RS05505	62.957	148.98	158	108	14	26.987	37	33
MM_RS05510	MM_RS05510	147	221.067	209	221	21	73	84	98
MM_RS05515	MM_RS05515	49.286	123.013	51.994	23	14	56	37	53
MM_RS05520	MM_RS05520	152	322.803	187	58	30	30	59	45
MM_RS05525	MM_RS05525	409	802.001	836.986	587	149	424	187.829	306
MM_RS05530	MM_RS05530	100	141.998	259	314	27	94	42	124
MM_RS05535	MM_RS05535	104	135.527	161	261.731	14	34.005	12	52
MM_RS05540	MM_RS05540	299	373.373	597	793	63	128	212	319
MM_RS05545	MM_RS05545	143	206.113	610	600	66	154	186	270.131
MM_RS05550	MM_RS05550	35	70.993	135	112	34	59	43	127
MM_RS05555	MM_RS05555	28	70	40.003	5	1	5	6	1
MM_RS05560	MM_RS05560	200	553	234	77	120	238	146	143
MM_RS05565	MM_RS05565	269.034	669	927	636	53	138	93	209
MM_RS05570	MM_RS05570	97.959	157.913	120	42	61	120	84	111
MM_RS05575	MM_RS05575	2254.79	3829.008	20019	39658	131	307.832	594	1105
MM_RS05580	MM_RS05580	414.941	653.66	3331.285	5156.918	60	89	380	711.997
MM_RS05585	MM_RS05585	803.247	2772.939	2179	1420	89	279	142	171
MM_RS05590	MM_RS05590	4	23	27	9	9	17	40	42
MM_RS05595	MM_RS05595	3265.919	5301.995	3223.346	5093.813	2509.981	6384.91	3925.256	7263.984
MM_RS05600	MM_RS05600	7268.055	8812.188	6466.872	17703.993	1720.55	5344.698	3369.674	5450.812
MM_RS05605	MM_RS05605	984	1097	683.934	1917	516	947	878	2240
MM_RS05610	MM_RS05610	152.942	219.882	230.171	205	59	83	229	236
MM_RS05615	MM_RS05615	929.735	1806.45	1721	2102.798	192.019	335.077	211.409	407.435
MM_RS05620	MM_RS05620	856.231	1406.84	1582.7	1225.023	212.981	403.923	291.591	628.565
MM_RS05625	MM_RS05625	202	336.097	542	302	40	86	148	235
MM_RS05630	MM_RS05630	405.981	976.949	1611	484	50	165	176	573
MM_RS05635	MM_RS05635	319	902.439	287	308	189	294	164	269
MM_RS05640	MM_RS05640	923	4120	2817	5471	680	1014	713	1142
MM_RS05645	MM_RS05645	1682.965	2658	1078	1037	313	428	191	212
MM_RS05650	MM_RS05650	378	692	300	169	171	272	92	140
MM_RS05655	MM_RS05655	309.533	596.114	297	130	140	271.783	63	155
MM_RS05660	MM_RS05660	644.429	1373.437	1064	885	187	418	338	283
MM_RS05665	MM_RS05665	1680	3112.146	1364.999	653	145.999	449	121	165
MM_RS05670	MM_RS05670	321.967	554.926	552	408	31	117	118	111
MM_RS05675	MM_RS05675	760	1501.48	1315	1705	164	300	163	307
MM_RS05690	MM_RS05690	36	130.665	94	26	13	53	27	41
MM_RS05695	MM_RS05695	4	12	10	5	0	8	4	5
MM_RS05700	MM_RS05700	10	17.306	19	4	3	7	2	15
MM_RS05710	MM_RS05710	124	504	74	27	19	51	11	11
MM_RS05715	MM_RS05715	187	415	202	107	40	48	37	30
MM_RS05720	MM_RS05720	5206.389	6548.995	29408.135	21991.817	320	688.98	916	722
MM_RS05725	MM_RS05725	278	415	392	403	117	214	160	212
MM_RS05730	MM_RS05730	745	1467	1140	674	225	408	300	423
MM_RS05735	MM_RS05735	189.178	642.218	756.111	724	18.446	52	28	56
MM_RS05740	MM_RS05740	174.06	374.314	930	394	48	128	144	241
MM_RS05745	MM_RS05745	327	396	432	222	131	268	211	288
MM_RS05750	MM_RS05750	304	656.006	826.954	559	216	356	160	336
MM_RS05755	MM_RS05755	241.068	450.428	769	240	97	166	154	224
MM_RS05760	MM_RS05760	162.026	394	5353	3148.021	61	104	594	917
MM_RS05765	MM_RS05765	256	569	2360	516	61	146	863	1011
MM_RS05770	MM_RS05770	2520	5314.001	5243.953	10620	530	1330	526	1065
MM_RS05775	MM_RS05775	1004	817	744	142	344	280	276	288
MM_RS05780	MM_RS05780	134	206	77	136	23	60	2	28
MM_RS05785	MM_RS05785	127	311.021	342.99	127	40	73	52	77
MM_RS05790	MM_RS05790	513	873.303	1632	828	82	136	201	257
MM_RS05795	MM_RS05795	81	157	152	153	45	53	77	163
MM_RS05800	MM_RS05800	982	1742.641	1363	796	115	231	154	179
MM_RS05805	MM_RS05805	187.997	552	389	170	104	207	176	187
MM_RS05810	MM_RS05810	524.131	1208	1393	625	126	261	219	367
MM_RS05815	MM_RS05815	76	97	56	46	15	34	43	49
MM_RS05820	MM_RS05820	104.562	139.204	385.444	109.911	42.422	72	77	94.025
MM_RS05825	MM_RS05825	403.611	450.669	261.597	117.211	64	89.542	59.158	95.19
MM_RS05830	MM_RS05830	1060.722	1618.529	1034.938	583.789	402	947	543.972	987.96
MM_RS05835	MM_RS05835	24623	32543.995	3463	6547	143178	151341.042	4518	139782
MM_RS05840	MM_RS05840	438	760.006	813	275	193	355	271	467
MM_RS05845	MM_RS05845	101	196.384	283	155	103	106	75	211
MM_RS05850	MM_RS05850	162	358.69	1058	229	31	66	38	64
MM_RS05855	MM_RS05855	318	891	1303	320	87	173	138	154
MM_RS05860	MM_RS05860	68	127	103	56	34	53	63	67
MM_RS05865	MM_RS05865	18	39	119	39	5	23	42	23
MM_RS05870	MM_RS05870	20.033	63.009	98	29	12	25	43	33
MM_RS05875	MM_RS05875	87	212.013	253	89	37	81	72	131
MM_RS05885	MM_RS05885	55	164	69	21	13	37	37	24
MM_RS05890	MM_RS05890	266.931	681.331	2413	1357	28	77	92	157
MM_RS05895	MM_RS05895	437	745	532	341	114	188	92	89
MM_RS05900	MM_RS05900	236.884	786.048	790.002	339	31	107.013	93	120
MM_RS05905	MM_RS05905	109	135.986	427	128	24	40	93	127
MM_RS05910	MM_RS05910	68.856	108.833	112.952	34.886	38.9	93.944	39.853	67.264
MM_RS05915	MM_RS05915	246	593	800	273	213	433	71	174
MM_RS05920	MM_RS05920	110.15	544.054	821.851	195	29	118	97	157
MM_RS05925	MM_RS05925	1095	1376	1918.006	812	299	637	340	650
MM_RS05930	MM_RS05930	1108.443	974.489	733.312	590.3	153.03	318.098	146.445	155.082
MM_RS05935	MM_RS05935	395	848	1509	382	111	181	324	268
MM_RS05940	MM_RS05940	186	204.03	1687	471	48	46	205	239
MM_RS05945	MM_RS05945	74	159.742	1369	639	20	36	196	185
MM_RS05950	MM_RS05950	293.397	440.074	636.717	127.288	46.1	98.4	55.147	71.775
MM_RS05955	MM_RS05955	274.843	346.207	720.844	524.786	39	75.457	312.595	402.55
MM_RS05960	MM_RS05960	395	364	2113	753	113	87	294	418
MM_RS05965	MM_RS05965	1947.829	2448.511	2358.688	1674.7	335.97	821.902	511.555	335.918
MM_RS05970	MM_RS05970	197.007	504.006	1176	429	84	172	294	393
MM_RS05975	MM_RS05975	85	238	823	341	62	120	405	372
MM_RS05980	MM_RS05980	330	649.001	810	618	90	410	164	533
MM_RS05985	MM_RS05985	475.733	1123.424	2329	1133	90	230	123	412.986
MM_RS05990	MM_RS05990	451	724.938	1906	1987	147	264	232	661
MM_RS05995	MM_RS05995	778.759	1523	3407	3843	169	362	254	772.992
MM_RS06000	MM_RS06000	223	296	1413	631	58	120	152	264
MM_RS06005	MM_RS06005	785	1095.998	1236	430	313	554	266	329
MM_RS06010	MM_RS06010	213	484	273.998	191	63	177	83	82
MM_RS06015	MM_RS06015	1177	2199.408	1535	1111	244	391	243	316
MM_RS06020	MM_RS06020	1705	3230	680	279	485	1091	157	201
MM_RS06025	MM_RS06025	93	330	99	20	15	15	25	16
MM_RS06030	MM_RS06030	127	212	153	73	21	26	31	21
MM_RS06035	MM_RS06035	836	1868.66	1257	769	176	394	271	384
MM_RS06040	MM_RS06040	88	243	38	31	36	166	31	137
MM_RS06045	MM_RS06045	99	194.153	58	30	27	34	21	22
MM_RS06050	MM_RS06050	38	78.199	139.459	202	23	36	165	118
MM_RS06055	MM_RS06055	315	497.977	716	330	88	174	220	225
MM_RS06060	MM_RS06060	165.26	435	598	394	44	86.022	177	187
MM_RS06065	MM_RS06065	97	129	379	377	24	75	37	167
MM_RS06070	MM_RS06070	108.854	186	289.896	398.953	20	46	14	100
MM_RS06075	MM_RS06075	431.068	522	432	251	75	183	147	343
MM_RS06080	MM_RS06080	61	86	170	64	3	13	35	34
MM_RS06085	MM_RS06085	343	729.002	490	378	27	65	16	19
MM_RS06095	MM_RS06095	88	68	373	127	44	41	133	79
MM_RS06100	MM_RS06100	35	71.215	300	139	29	36	118	204
MM_RS06105	MM_RS06105	38	42.098	593.374	112	114	168	198	466
MM_RS06115	MM_RS06115	76	148.479	596	187	14	39	77	145
MM_RS06120	MM_RS06120	419.872	920.826	1783.656	1677.746	105.886	209.168	440	570
MM_RS06125	MM_RS06125	48	50	317.995	174	23	19	142	178
MM_RS06130	MM_RS06130	72	145.747	433	338	16	15	118	126
MM_RS06135	MM_RS06135	623	1347.801	1177	1090	58	116	119	137
