gene_id	gene_name	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS01990	MM_RS01990	90	177	82	34	52	79	14	29
MM_RS01995	MM_RS01995	54	87.235	19	18	23	58	18	32
MM_RS02000	MM_RS02000	132	273	158	111	43	88	62	97
MM_RS02005	MM_RS02005	298.889	681.052	668.976	226	89	156	139	179
MM_RS02010	MM_RS02010	278.346	411.939	745.888	568	22	55	76.934	79
MM_RS02015	MM_RS02015	122	231.997	269	230	14	55	29	61
MM_RS02020	MM_RS02020	129	208.167	746	518	26.999	75	121	171
MM_RS02025	MM_RS02025	366.009	571.063	1943	1015.284	135.112	198.888	657	832.925
MM_RS02030	MM_RS02030	200.005	251.272	84	81	121	206	102	83
MM_RS02035	MM_RS02035	173	408	437	254	85	209	166	154
MM_RS02040	MM_RS02040	1857.458	3483.999	2827.013	1604	145	457	309	159
MM_RS02045	MM_RS02045	88.887	241.879	122.001	49.989	29	58	63	62
MM_RS02050	MM_RS02050	122.043	314.588	330	190	28	39	23	33
MM_RS02055	MM_RS02055	440	1064.208	782	687	80	156	76	88
MM_RS02060	MM_RS02060	460.809	1177.621	1010	998	51	143	105	136
MM_RS02065	MM_RS02065	206	484.31	156	82	74	181	61	95
MM_RS02070	MM_RS02070	229.703	410	743	816	167	200	112	204
MM_RS02075	MM_RS02075	8495.904	37515.693	8803.857	21199.546	3934.558	15959.111	4927.18	11853.802
MM_RS02080	MM_RS02080	8541.467	9459.032	44255.452	19040.158	496441.354	435364.506	549418.662	624044.058
MM_RS02085	MM_RS02085	0	0	0	0	0	0	0	0
MM_RS02090	MM_RS02090	214.214	837.993	1154	697	381	403	327	605
MM_RS02095	MM_RS02095	484	1094.797	546	286	73	167	109	167
MM_RS02100	MM_RS02100	16783.999	15232.993	2315	806	4702	5403	414	311
MM_RS02105	MM_RS02105	4085.905	5082.001	675	437	1102	1849	140	128
MM_RS02110	MM_RS02110	4505.468	4966.633	785.526	334.683	546.048	1154.051	44.886	69.548
MM_RS02115	MM_RS02115	69.439	129.036	161.379	99	21	28	37	43
MM_RS02120	MM_RS02120	183.067	233	181.998	126	45	87	36	73
MM_RS02125	MM_RS02125	0	8.834	1.004	1.004	1.001	2.007	0	0
MM_RS02130	MM_RS02130	25.278	70.453	178.189	86	5	9.25	25	18.357
MM_RS02135	MM_RS02135	56.942	67.276	398.875	75.812	11.66	14.901	14.702	39.478
MM_RS02140	MM_RS02140	507	891.262	1347.5	457	89	167	140	212
MM_RS02145	MM_RS02145	256.126	399.493	979.534	409.691	165.664	253.509	212.065	643.211
MM_RS02155	MM_RS02155	173.059	369.805	351.062	150.854	39.929	99	93	131.617
MM_RS02160	MM_RS02160	5.59	20.675	0	3.19	0	2.451	1.038	2.847
MM_RS02165	MM_RS02165	29.023	117.496	56	35	2	12	18	16
MM_RS02170	MM_RS02170	64.722	104.562	139.811	49	17	26.75	24	32.643
MM_RS02175	MM_RS02175	165.435	286.569	181.914	132.444	27.473	103.512	57.298	87.374
MM_RS02180	MM_RS02180	25.327	35.207	20.449	16.38	26.02	39.021	31.519	59.924
MM_RS02185	MM_RS02185	34	46	98	45	5	15	9	21
MM_RS02190	MM_RS02190	183.709	324.948	497.475	158	69	140	111	174
MM_RS02195	MM_RS02195	531.92	537.534	416.967	140.354	34	87.509	33	77.897
MM_RS02200	MM_RS02200	36.615	78.512	25.022	28.743	69.931	160.47	136.557	112.681
MM_RS02205	MM_RS02205	297	736	412	1513	36	105	84	126
MM_RS02210	MM_RS02210	139	342.548	718.001	389	34	79	81	158
MM_RS02215	MM_RS02215	259	773	723	746	10	45	23	43
MM_RS02220	MM_RS02220	80.979	230.232	112.145	27	25	33.005	16	44
MM_RS02225	MM_RS02225	34	64.057	53	13.037	9	21	16	35
MM_RS02230	MM_RS02230	36	96.219	62	21	5	24.914	18	33
MM_RS02235	MM_RS02235	77.823	199.124	82.211	26	15	20	8	27
MM_RS02240	MM_RS02240	1	10	13.995	1	2	2	1	0
MM_RS02245	MM_RS02245	8	17	8	1	5	11	1	5
MM_RS02250	MM_RS02250	13	62.203	21	3	1	0	2	6
MM_RS02255	MM_RS02255	6	19	11	3	3	1	0	6
MM_RS02260	MM_RS02260	87.254	155	117	162	49	73.958	44	86
MM_RS02265	MM_RS02265	253.194	425.584	201	187	102.02	170	128	165
MM_RS02270	MM_RS02270	51	57	63	44	26	95	45	94
MM_RS02275	MM_RS02275	29	34	40	14	8	16	10	18
MM_RS02280	MM_RS02280	124.18	315.114	308.061	93	185.32	344	226	504
MM_RS02285	MM_RS02285	194	387	1039.022	526	82	154	212	186
MM_RS02290	MM_RS02290	324.761	569	1214	580	89	200	290	393
MM_RS02295	MM_RS02295	168	456	1402	986	59	118	306	240
MM_RS02300	MM_RS02300	254	419.986	781	148	23	49	45	68
MM_RS02305	MM_RS02305	28	268	199	105	7	36	16	37
MM_RS02310	MM_RS02310	207	249.949	685	515	14	45	56	84
MM_RS02315	MM_RS02315	91.009	224.809	531	270	37	58	65	159
MM_RS02320	MM_RS02320	37.019	74.252	520	457	15	24	174	286
MM_RS02325	MM_RS02325	196	211	118.999	64	25	40	22	24
MM_RS02330	MM_RS02330	27	45	76	26	11	14	5	7
MM_RS02335	MM_RS02335	44.24	62.594	71.005	20	23	97	6	59
MM_RS02340	MM_RS02340	275.158	487.739	1296.22	597.765	407.746	566.436	553.345	1615.117
MM_RS02345	MM_RS02345	2957	3296	2003	654	424	995	313	398
MM_RS02350	MM_RS02350	179	642.498	791	289	113	417	207	370
MM_RS02355	MM_RS02355	1657	2950	1333	1034	191	263	286	153
MM_RS02360	MM_RS02360	467	616.518	727	815	181	507	321	351
MM_RS02365	MM_RS02365	507	779.028	644.35	536	174	323	286	318
MM_RS02370	MM_RS02370	196	356.998	2416	711	141	300	740	750
MM_RS02375	MM_RS02375	392	865.007	4674.999	1971.001	88	272.064	304	442
MM_RS02380	MM_RS02380	211	782	808	349	41	149	90	105
MM_RS02385	MM_RS02385	2091	3080.849	977.75	355	2149	2152	428	1592
MM_RS02390	MM_RS02390	280.008	380.561	1004.901	273	101	121	192	182
MM_RS02395	MM_RS02395	106	241	432	271	19	82	21	60
MM_RS02400	MM_RS02400	2884.626	4898.239	4599	6679	593	942	854	1076
MM_RS02405	MM_RS02405	889	1503	1416	1195	136	259	189	194
MM_RS02410	MM_RS02410	308.528	667.351	698.467	262	29	56.977	63	87
MM_RS02415	MM_RS02415	75	122.391	181	68	20	29	32	33
MM_RS02420	MM_RS02420	70.001	111	89	34	14	44	11	20
MM_RS02425	MM_RS02425	34.618	54.508	62	26	17	14	30	38
MM_RS02430	MM_RS02430	3882	16180.23	12284	20893	948	2319	2382	2649
MM_RS02435	MM_RS02435	23	59	41	13	54	70	21	117
MM_RS02440	MM_RS02440	103	172.342	166	78	22	51	36	36
MM_RS02445	MM_RS02445	173	346	235	108	177	296	111	156
MM_RS02450	MM_RS02450	2605	6939.474	4201.828	3096	115	382	141	218
MM_RS02455	MM_RS02455	186.138	481.867	254.866	90.192	42	105	33	89
MM_RS02460	MM_RS02460	216	402	199	163	60	139	25	64
MM_RS02465	MM_RS02465	308	610	469	214	89	267	161	185
MM_RS02470	MM_RS02470	51	73.258	308	67	31	132	109	215
MM_RS02475	MM_RS02475	220.008	236.995	990	329	47	144	265	284
MM_RS02480	MM_RS02480	107	635	464	295	59	103	262	210
MM_RS02485	MM_RS02485	217	386	217	637	10	36	45	34
MM_RS02490	MM_RS02490	317	433	296	921	5	74	75	68
MM_RS02500	MM_RS02500	18	118	124	16	4	27	7	21
MM_RS02505	MM_RS02505	376.948	1041	835	1780.888	119	377	264	511
MM_RS02510	MM_RS02510	12.191	24	170	37	1	2	10	13
MM_RS02515	MM_RS02515	122	361.93	510	140	25	100	26	55
MM_RS02520	MM_RS02520	52.173	124	81	24	16	15	10	17
MM_RS02525	MM_RS02525	165	251.919	281	249	58	132	239	217
MM_RS02530	MM_RS02530	209.066	424.995	450	292	154	321.423	247	321
MM_RS02535	MM_RS02535	337.128	578.833	524	449.965	143	292	311	226
MM_RS02540	MM_RS02540	570.859	1399.977	1753	1301	159	334	353	270
MM_RS02545	MM_RS02545	343	829	583	339	89	223	184	192
MM_RS02550	MM_RS02550	544	1203.992	979	521	57	178	179	207
MM_RS02555	MM_RS02555	165	252	135	121	132	249	121	180
MM_RS02560	MM_RS02560	513.939	1055.595	790	648	76	148	76	113
MM_RS02565	MM_RS02565	52	289.014	74	44	16	24	4	16
MM_RS02570	MM_RS02570	466.461	1250.564	424.754	193	81.985	156	37.999	100
MM_RS02575	MM_RS02575	57403.01	89540.449	56373.948	10091	5262	11780	12234	4877
MM_RS02580	MM_RS02580	244	476	1244	246	33	86	179	146
MM_RS02585	MM_RS02585	434	870.999	1789	1069	90	215	260	341
MM_RS02590	MM_RS02590	206.283	391.261	231	170	89	91.026	51	102
MM_RS02595	MM_RS02595	174	250.823	116.203	60	37	50	47	71
MM_RS02600	MM_RS02600	170	349	173	182	21	14	20	21
MM_RS02605	MM_RS02605	119	243.613	162	101	6	42	19	16
MM_RS02610	MM_RS02610	351.999	538.792	330	203	46	94	47	62
MM_RS02615	MM_RS02615	70	163.824	130.913	62	19	55	24	38
MM_RS02620	MM_RS02620	69	166.364	60	19	7	32	17	13
MM_RS02625	MM_RS02625	243	505.96	140	76	21	61	31	30
MM_RS02630	MM_RS02630	417	849.192	1421	1932	200	370.014	263	267
MM_RS02635	MM_RS02635	198	373.523	618	700	13	23	24	46
MM_RS02640	MM_RS02640	222.001	622.994	1005	1025	23	59	51	72
MM_RS02645	MM_RS02645	139	480	603	298	45	156	121	211
MM_RS02650	MM_RS02650	69	138	338	58	59	84	9	85
MM_RS02655	MM_RS02655	14	49	16	15	48	29	22	67
MM_RS02660	MM_RS02660	56	157	82	50	3	15	2	6
MM_RS02665	MM_RS02665	26	87	37	20	6	12	4	6
MM_RS02670	MM_RS02670	13	36.008	49.035	10	10	26	8	16
MM_RS02675	MM_RS02675	152.999	322.867	161.988	68	66	112.015	42	83
MM_RS02680	MM_RS02680	57.009	133.873	71.639	57	14	26	13	24
MM_RS02685	MM_RS02685	85	231.825	48	19	9	23	18	29
MM_RS02690	MM_RS02690	4	9	1	1	4	2	1	3
MM_RS02695	MM_RS02695	381	617	253.018	219	75	246	38	96
MM_RS02700	MM_RS02700	0	393.372	0	0	101.303	150.631	143.78	0
MM_RS02705	MM_RS02705	75	223.373	447.048	297	42	41	87	153
MM_RS02710	MM_RS02710	26.74	68.141	209	128	4	28	85	47
MM_RS02715	MM_RS02715	107	120.993	613	544	24	71	122	203
MM_RS02720	MM_RS02720	211	406	1097	1400	51	146	288	443
MM_RS02725	MM_RS02725	314	462.999	1932	1410	34	75	186	199
MM_RS02730	MM_RS02730	175	229.501	1156	1780	30	65	138	161
MM_RS02735	MM_RS02735	836.467	1332.774	2141.116	2053	1941	3780	9184.999	8902
MM_RS02740	MM_RS02740	998	2598	2824	14276	169	603.768	494	875
MM_RS02745	MM_RS02745	572.015	680.028	733.069	247.999	116	157	130	220
MM_RS02750	MM_RS02750	24	49	94	30	8	18	21	47
MM_RS02755	MM_RS02755	30.999	85.545	45	21	14	27	51	28
MM_RS02760	MM_RS02760	0	104.193	0	66.259	122.265	123.324	43.688	49.069
MM_RS02765	MM_RS02765	65.053	67	43	22	236	249	100	88
MM_RS02770	MM_RS02770	100	170.003	89	60	13	33	2	19
MM_RS02775	MM_RS02775	26	63.539	13	11	8	16	6	5
MM_RS02780	MM_RS02780	52	90	70	33	20	18	4	20
MM_RS02785	MM_RS02785	74.864	166.112	97	69	36	67	30	60
MM_RS02790	MM_RS02790	2	0	2	1	0	1	2	6
MM_RS02795	MM_RS02795	98.024	164	442	181	25	46	134	126
MM_RS02800	MM_RS02800	411	664	1576.999	457	88	207	393	198
MM_RS02810	MM_RS02810	51	77	50.207	13	4	10	5	11
MM_RS02815	MM_RS02815	45	145.492	319	149	4	10	28	20
MM_RS02820	MM_RS02820	419	622	476.967	191	47	104	65	75
MM_RS02825	MM_RS02825	67	152.62	103	35	19	35	40	36
MM_RS02830	MM_RS02830	24	40	78	26	3	8	9	21
MM_RS02835	MM_RS02835	64	103	261	113	34	89	29	85
MM_RS02840	MM_RS02840	4051	7909	4190	3852	682	1478	623	601
MM_RS02845	MM_RS02845	8	6	4	0	1	5	0	1
MM_RS02850	MM_RS02850	13	10	23	9	32	12	2	20
MM_RS02855	MM_RS02855	64.78	253.842	51.001	16	3	9	12	11
MM_RS02875	MM_RS02875	7	11	11	4	6	8	3	13
MM_RS02880	MM_RS02880	510	919.019	721	333	123	276	171	171
MM_RS02885	MM_RS02885	135	218	79	40	37	72	21	27
MM_RS02890	MM_RS02890	99.428	109	81	25	74	78	24	32
MM_RS02900	MM_RS02900	175	291	111	60.013	26	51	7	18
MM_RS02905	MM_RS02905	41	61	61	23	9	12	15	15
MM_RS02910	MM_RS02910	29	93.986	24	19	5	8	0	5
MM_RS02915	MM_RS02915	49.808	87.927	80.539	33.854	45	70	34	56.916
MM_RS02920	MM_RS02920	314	663	502	156	24	54	15	35
MM_RS02925	MM_RS02925	18	32	54	17	9	18	47	23
MM_RS02930	MM_RS02930	5	4	27	7	0	3	0	1
MM_RS02935	MM_RS02935	184	920	452	684	11	26	11	24
MM_RS02940	MM_RS02940	13	33	58	37	2	15	13	16
MM_RS02945	MM_RS02945	53	97.737	190	56	13	33	67	79
MM_RS02950	MM_RS02950	21.999	38	116	30	10	18	27	30
MM_RS02955	MM_RS02955	59.789	164.044	478	115	9	21	34	27
MM_RS02960	MM_RS02960	27	54.998	396	42	7	7.047	22	20
MM_RS02965	MM_RS02965	73	133.999	356	130	10	15	17	15
MM_RS02970	MM_RS02970	192	395.853	238	424	39	52	32	43
MM_RS02975	MM_RS02975	208	493	73	92	30	73	22	25
MM_RS02980	MM_RS02980	0	6	8	3	3	5	5	11
MM_RS02990	MM_RS02990	57	240.883	513	67	30	76	56	68
MM_RS02995	MM_RS02995	23	113	211	11	5	18	4	3
MM_RS03000	MM_RS03000	73.061	100.24	91	35	10	24	11	11
MM_RS03005	MM_RS03005	7	11	14	3	4	4	18	5
MM_RS03010	MM_RS03010	100	240.281	308	161	5	22	25	12
MM_RS03015	MM_RS03015	11.07	8.128	117.773	12.106	0	3	7.036	5
MM_RS03020	MM_RS03020	3	26	191.002	5	1	6	22	2
MM_RS03030	MM_RS03030	32.147	367.691	4967.903	139.632	10.58	66.222	115.045	19.224
MM_RS03035	MM_RS03035	19	30.945	40	8	88	116	43	86
MM_RS03040	MM_RS03040	16	89.681	1062	33	4	11	27	11
MM_RS03045	MM_RS03045	18	36.08	260	33	0	5.898	9	4
MM_RS03050	MM_RS03050	46.05	104	141	33	12	29	9.095	31
MM_RS03055	MM_RS03055	209.996	207	49	30	23	28	16	16
MM_RS03060	MM_RS03060	257.119	799	629	418	61	180	259	108
MM_RS03065	MM_RS03065	239	523.959	324.091	208	99	353	126	174
MM_RS03070	MM_RS03070	80	181.619	87	50	69	132	56	77
MM_RS03075	MM_RS03075	2700.943	4505	4586.064	3161	434	770	642	682
MM_RS03080	MM_RS03080	1380	2246.761	3928	1288	571	810	810	795
MM_RS03085	MM_RS03085	630.595	1304	1773	1475	120	259	292	344
MM_RS03090	MM_RS03090	657	1126	766	814	197	505	253	411
MM_RS03095	MM_RS03095	98	250	425	174	40	87	113	113
MM_RS03100	MM_RS03100	2469.847	5581.896	4243.002	3324	7857	20057	10734	24080
MM_RS03105	MM_RS03105	242	978.725	2843	1711	34	92	102	171
MM_RS03110	MM_RS03110	778.382	1696.454	4429	4243	117	258	243	495
MM_RS03115	MM_RS03115	96	240	523	268	64	362	356	781
MM_RS03120	MM_RS03120	291	538.781	1503	803	26	87	76	245
MM_RS03125	MM_RS03125	47	121.07	262.004	211	10	38	17	61
MM_RS03130	MM_RS03130	84.001	291.004	453	334	44	167	201	390
MM_RS03135	MM_RS03135	143	611	2493	1549	13	78	112	139
MM_RS03140	MM_RS03140	124.998	372	1584	786	16	70	58	139
MM_RS03145	MM_RS03145	45.643	133.916	106.62	50	17	37	28	38
MM_RS03150	MM_RS03150	268.931	1078.608	1054	270	33	104	59	71
MM_RS03155	MM_RS03155	138.137	471.067	893	173	24	63	57	64
MM_RS03160	MM_RS03160	149	357	143	71	25	49	13	39
MM_RS03165	MM_RS03165	21.911	46.114	34	24	3	14	12	17
MM_RS03170	MM_RS03170	276.973	473.84	165	67	67	100	98	46
MM_RS03175	MM_RS03175	41	71	36	16	6	12	25	15
MM_RS03180	MM_RS03180	425.01	742.034	1905	289	65	145	113	184
MM_RS03185	MM_RS03185	19	45	109	37	7	22	41	42
MM_RS03190	MM_RS03190	297.276	666.416	438.494	185.865	257.151	459.783	219.648	363.579
MM_RS03195	MM_RS03195	82	194	204	161	53	117	124	192
MM_RS03200	MM_RS03200	76	254	243	183	22	58	16	53
