gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	mode	mode_basis	n_TE_methods_sig
MM_RS07395	-0.51215723302799	0.610317193298996	0.40137635205864	0.616767903452576	60.8917439769464	raw_counts / DESeq2 median-of-ratios	0.351	0.242	73.803	51.217	73.803	51.217	-0.129940729344142	0.634684875816671	0.837780993916526	0.913702416478585	500.273467220907	raw_counts / DESeq2 median-of-ratios	6.742	8.627	373.178	389.424	373.178	389.424	0.53612849202884	0.615079553371102	0.871640894402114	0.383404313867278	NA	0.375569849799267	0.55532312763321	0.852861515018711	-0.0896206029845128	0.92240803126294	0.976317408341991	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS15565	-0.780470145782504	0.904247113635	0.388073695372992	NA	16.8588178507164	raw_counts / DESeq2 median-of-ratios	0.137	0.077	28.697	16.451	28.697	16.451	-0.0995817312073913	0.485743142213451	0.837565068671876	0.913702416478585	110.149610212992	raw_counts / DESeq2 median-of-ratios	1.587	2.553	93.658	112.238	93.658	112.238	0.526222220566042	0.937104805826176	0.561540413937064	0.574429187796141	NA	0.68680011652912	0.361761770054785	0.753597182401746	-0.0615921634174235	0.947416037945259	0.98218324114456	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS05785	0.132574879554407	0.524358974577445	0.800397815481832	0.901012795111611	58.082899792983	raw_counts / DESeq2 median-of-ratios	0.213	0.213	45.27	45.594	45.27	45.594	-0.0927824849352299	0.463276615683499	0.841265917462559	0.916924101898289	205.915382362812	raw_counts / DESeq2 median-of-ratios	1.846	2.739	106.33	124.813	106.33	124.813	-0.2116870389548	0.659971395469691	-0.320751839258346	0.748398459102731	NA	-0.222947684393661	0.659512568004311	0.900883812660731	-0.056962037260679	0.925834391629761	0.977579860241155	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS01200	-0.701515469224311	1.85581875444122	0.705424197290991	NA	2.61224695155983	raw_counts / DESeq2 median-of-ratios	0.013	0.008	2.827	1.614	2.827	1.614	-0.222540086674115	1.12860174791825	0.843685021144969	0.918980783044694	9.88097502290581	raw_counts / DESeq2 median-of-ratios	0.07	0.121	4.548	5.877	4.548	5.877	0.571166267020103	2.04927911363001	0.278715702132133	0.780463011288845	NA	0.535302392877206	0.729893112649181	0.933577889614246	-0.212371261281448	0.907810495584467	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS08455	-0.569559106795022	0.561727574218633	0.310610491014669	0.530478345725768	79.5359590981174	raw_counts / DESeq2 median-of-ratios	0.158	0.096	33.298	20.693	33.298	20.693	-0.0968647073194915	0.490976108242624	0.843600555116508	0.918980783044694	239.839909304628	raw_counts / DESeq2 median-of-ratios	0.953	1.435	54.888	62.549	54.888	62.549	0.42194424180722	0.60693220380977	0.69520819485049	0.486924837443692	NA	0.469524586641088	0.373457581420708	0.761584246758815	-0.058111665859206	0.936857121040317	0.980398487904617	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS11430	0.371784475986437	0.56754234454081	0.512417567514952	0.708194036386287	91.1842365981888	raw_counts / DESeq2 median-of-ratios	0.432	0.506	90.81	109.205	90.81	109.205	-0.0815409988162608	0.416427054176983	0.844758098277371	0.919859543332295	357.631822175004	raw_counts / DESeq2 median-of-ratios	4.445	6.962	259.799	314.07	259.799	314.07	-0.515322772867527	0.645587465151201	-0.798223014981921	0.424741083871115	NA	-0.455449826759512	0.360486534501006	0.751404243752915	-0.0460878870529239	0.949932203640328	0.98218324114456	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS18465	0.333976382038741	1.06489249014498	0.753806244239846	NA	14.5039529970029	raw_counts / DESeq2 median-of-ratios	0.017	0.022	3.672	4.5	3.672	4.5	-0.114932067447053	0.59077655450714	0.845749902465575	0.9206492792676	86.2727645580328	raw_counts / DESeq2 median-of-ratios	0.231	0.364	13.798	17.302	13.798	17.302	-0.60088964714687	1.01212944655471	-0.593688533805928	0.552720453512586	NA	-0.452975434741451	0.541565086424531	0.848559078820362	-0.0914488803827787	0.937606141552592	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS04645	-0.631390405088284	1.27600358356161	0.620728119309274	NA	6.13026432798771	raw_counts / DESeq2 median-of-ratios	0.023	0.015	4.917	3.047	4.917	3.047	0.148067322870187	0.767163933290102	0.846954186674737	0.921669741894941	15.0631684342925	raw_counts / DESeq2 median-of-ratios	0.095	0.172	5.527	7.749	5.527	7.749	0.811938108027602	1.49019427090824	0.544853864947919	0.585854028611612	NA	0.797109090378715	0.455814450280196	0.811032715933136	0.185269828853495	0.875208298496403	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS03880	0.327455588555316	0.850417842510023	0.70019845628212	NA	14.6398059429184	raw_counts / DESeq2 median-of-ratios	0.026	0.03	5.512	6.474	5.512	6.474	-0.0942640806038338	0.490550614421815	0.847617077659315	0.922100594089851	82.1995219265615	raw_counts / DESeq2 median-of-ratios	0.367	0.569	21.48	25.92	21.48	25.92	-0.425202228922303	0.891078346731532	-0.47717715336922	0.633235978441795	NA	-0.417072917777885	0.517608118356383	0.839767802607497	-0.0596456721539237	0.940749641550067	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS04885	0.0627188475585212	0.776876984114347	0.935655072319625	NA	19.070535059996	raw_counts / DESeq2 median-of-ratios	0.062	0.062	13.22	13.176	13.22	13.176	-0.0990692112750869	0.519285086270237	0.848697954769488	0.922404888538015	159.91970754665	raw_counts / DESeq2 median-of-ratios	1.061	1.84	64.367	80.749	64.367	80.749	-0.168405567186845	0.812358382774248	-0.207304523173295	0.835772041895775	NA	-0.160481129865906	0.793343003563161	0.957983303282565	-0.0649166167094842	0.933374331934341	0.979299289196665	Unchanged	TE from deseq2, alpha = 0.05	0
