gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS05745	4.0091	2.1657	2.0665	0.9706	0.3114	0.5798	0.4611	0.5211
MM_RS05750	2.9284	2.8189	3.1082	1.9202	0.4035	0.6052	0.2747	0.4777
MM_RS05755	2.3644	1.9707	2.9429	0.8394	0.1845	0.2873	0.2692	0.3243
MM_RS05760	2.2221	2.4104	28.645	15.3957	0.1622	0.2517	1.452	1.8562
MM_RS05765	4.4548	4.4168	16.0237	3.2019	0.2058	0.4483	2.6766	2.5966
MM_RS05770	35.9313	33.7994	29.174	53.9974	1.4654	3.3465	1.3367	2.2413
MM_RS05775	37.3519	13.5586	10.7998	1.8838	2.4817	1.8382	1.8301	1.5814
MM_RS05780	2.5363	1.7393	0.5687	0.9179	0.0844	0.2004	0.0067	0.0782
MM_RS05785	2.6182	2.8602	2.759	0.9336	0.1599	0.2656	0.1911	0.2343
MM_RS05790	40.4978	30.7535	50.2689	23.3088	1.2553	1.8946	2.8281	2.9945
MM_RS05795	1.3726	1.1868	1.005	0.9246	0.1479	0.1585	0.2326	0.4077
MM_RS05800	17.1806	13.6003	9.3044	4.9661	0.3902	0.7132	0.4802	0.4622
MM_RS05805	4.6806	6.1307	3.7789	1.5093	0.5021	0.9095	0.781	0.6872
MM_RS05810	3.0622	3.1483	3.1754	1.3021	0.1427	0.2691	0.228	0.3165
MM_RS05815	0.9761	0.5558	0.2806	0.2107	0.0374	0.0771	0.0984	0.0929
MM_RS05820	0.5865	0.3483	0.8436	0.2199	0.0461	0.0713	0.077	0.0778
MM_RS05825	2.6825	1.3361	0.6784	0.2778	0.0825	0.105	0.0701	0.0934
MM_RS05830	5.29	3.6007	2.0139	1.0382	0.3888	0.8334	0.4835	0.7272
MM_RS05835	165.3454	97.4848	9.0734	15.6772	186.4412	179.3386	5.4073	138.5395
MM_RS05840	5.4109	4.1882	3.9188	1.2114	0.4623	0.7739	0.5967	0.8515
MM_RS05845	0.5494	0.4765	0.6007	0.3007	0.1087	0.1018	0.0727	0.1694
MM_RS05850	1.2026	1.1878	3.0645	0.6062	0.0446	0.0865	0.0503	0.0701
MM_RS05855	3.5988	4.4981	5.7536	1.2914	0.1909	0.3455	0.2784	0.2572
MM_RS05860	0.62	0.5165	0.3664	0.1821	0.0601	0.0853	0.1024	0.0902
MM_RS05865	0.2249	0.2174	0.5802	0.1738	0.0121	0.0507	0.0935	0.0424
MM_RS05870	0.2161	0.3032	0.4125	0.1116	0.0251	0.0476	0.0827	0.0525
MM_RS05875	0.9025	0.9811	1.0241	0.3292	0.0744	0.1483	0.1331	0.2006
MM_RS05885	4.0458	5.3815	1.9804	0.5509	0.1854	0.4803	0.4851	0.2606
MM_RS05890	2.2856	2.6024	8.0617	4.1434	0.0465	0.1163	0.1404	0.1984
MM_RS05895	5.6352	4.2854	2.6767	1.568	0.2851	0.4278	0.2114	0.1694
MM_RS05900	2.8716	4.2506	3.7366	1.4654	0.0729	0.2289	0.2009	0.2147
MM_RS05905	0.7982	0.4442	1.22	0.3342	0.0341	0.0517	0.1214	0.1373
MM_RS05910	0.2106	0.1485	0.1348	0.0381	0.0231	0.0507	0.0217	0.0304
MM_RS05915	2.3079	2.4817	2.9284	0.9133	0.3875	0.7169	0.1187	0.2409
MM_RS05920	1.0128	2.2316	2.9486	0.6394	0.0517	0.1915	0.159	0.2131
MM_RS05925	12.2212	6.8507	8.3525	3.2317	0.6471	1.2546	0.6763	1.0707
MM_RS05930	14.3506	5.6279	3.7043	2.7253	0.3842	0.7267	0.3379	0.2963
MM_RS05935	4.8797	4.6731	7.2736	1.6828	0.2659	0.3946	0.7134	0.4887
MM_RS05940	1.8243	0.8927	6.456	1.6473	0.0913	0.0796	0.3584	0.346
MM_RS05945	0.7128	0.6864	5.1455	2.195	0.0374	0.0612	0.3365	0.263
MM_RS05950	0.9238	0.6181	0.7822	0.1429	0.0281	0.0547	0.0309	0.0334
MM_RS05955	1.8304	1.0285	1.8731	1.2463	0.0504	0.0887	0.371	0.3957
MM_RS05960	2.1669	0.8908	4.5228	1.473	0.1202	0.0842	0.2875	0.3384
MM_RS05965	25.3192	14.1976	11.9628	7.7627	0.8469	1.8853	1.1852	0.6445
MM_RS05970	2.6026	2.9702	6.0618	2.021	0.2152	0.401	0.6923	0.7663
MM_RS05975	1.1657	1.4561	4.404	1.6677	0.1649	0.2904	0.99	0.753
MM_RS05980	6.174	5.4164	5.9129	4.123	0.3265	1.3536	0.5469	1.4718
MM_RS05985	4.9511	5.2155	9.4574	4.2048	0.1816	0.4224	0.2282	0.6344
MM_RS05990	5.5503	3.9798	9.1523	8.72	0.3508	0.5733	0.5089	1.2006
MM_RS05995	5.9169	5.1618	10.1001	10.412	0.249	0.4854	0.344	0.8668
MM_RS06000	2.414	1.4293	5.9681	2.4357	0.1218	0.2292	0.2933	0.4218
MM_RS06005	5.6088	3.4932	3.4457	1.0956	0.4337	0.6985	0.3387	0.347
MM_RS06010	3.8515	3.904	1.9331	1.2316	0.2209	0.5648	0.2675	0.2188
MM_RS06015	8.8594	7.385	4.5082	2.9821	0.3562	0.5194	0.326	0.3511
MM_RS06020	29.9919	25.3453	4.6672	1.7501	1.6544	3.3867	0.4922	0.5219
MM_RS06025	3.0715	4.8618	1.2758	0.2355	0.0961	0.0874	0.1472	0.078
MM_RS06030	4.5171	3.3636	2.1233	0.9259	0.1448	0.1632	0.1965	0.1102
MM_RS06035	9.4942	9.4667	5.57	3.1143	0.3876	0.7896	0.5485	0.6437
MM_RS06040	5.3741	6.6198	0.9055	0.6751	0.4263	1.7889	0.3374	1.2348
MM_RS06045	4.5776	4.0046	1.0464	0.4946	0.2421	0.2774	0.1731	0.1501
MM_RS06050	0.502	0.4608	0.7189	0.9516	0.0589	0.0839	0.3885	0.2301
MM_RS06055	7.6086	5.3656	6.7479	2.8424	0.4122	0.7417	0.9471	0.8021
MM_RS06060	1.9884	2.3348	2.8074	1.6905	0.1027	0.1827	0.3796	0.3321
MM_RS06065	1.4271	0.8466	2.1756	1.9778	0.0685	0.1947	0.097	0.3626
MM_RS06070	8.0074	6.1034	8.3206	10.4651	0.2853	0.5971	0.1836	1.0857
MM_RS06075	4.5596	2.463	1.7829	0.9467	0.1538	0.3416	0.2771	0.5355
MM_RS06080	0.667	0.4195	0.7253	0.2496	0.0064	0.0251	0.0682	0.0549
MM_RS06085	3.0086	2.8524	1.677	1.1823	0.0459	0.1006	0.025	0.0246
MM_RS06095	0.6488	0.2236	1.073	0.3339	0.0629	0.0533	0.1748	0.086
MM_RS06100	0.2279	0.2069	0.7623	0.3228	0.0366	0.0414	0.137	0.1961
MM_RS06105	0.4019	0.1986	2.4489	0.4224	0.2338	0.3136	0.3733	0.7275
MM_RS06115	0.6684	0.5825	2.0453	0.5865	0.0239	0.0605	0.1207	0.1882
MM_RS06120	2.0314	1.9873	3.367	2.8945	0.0993	0.1786	0.3794	0.407
MM_RS06125	0.4304	0.2	1.1124	0.5563	0.04	0.0301	0.2269	0.2355
MM_RS06130	0.6333	0.5718	1.4859	1.0601	0.0273	0.0233	0.185	0.1636
MM_RS06135	7.3325	7.0763	5.4051	4.5748	0.1324	0.2409	0.2496	0.238
MM_RS06140	2.4779	1.9991	1.5313	1.1922	0.1425	0.3055	0.2853	0.2467
MM_RS06145	5.7759	4.261	3.2342	1.5061	0.3419	0.6037	0.2509	0.3495
MM_RS06155	50.0832	21.8093	41.1101	7.2288	0.6937	1.7887	0.926	1.6469
MM_RS06160	4.7375	3.0599	0.9268	0.7446	0.167	0.251	0.0535	0.1156
MM_RS06165	2.8158	2.1235	1.101	0.8261	0.173	0.2113	0.1106	0.1661
MM_RS06170	1.6773	2.0843	2.1035	0.5554	0.1162	0.2537	0.0427	0.1591
MM_RS06175	0.0217	0.3475	0	0	0	0	0.0224	0
MM_RS06180	3.7419	3.5919	6.7395	1.6609	0.101	0.2647	0.166	0.0652
MM_RS06185	0.6679	0.5246	0.4672	0.2393	0.0255	0.0906	0.0258	0.0932
MM_RS06190	0.6684	0.2386	0.287	0.186	0.0156	0.033	0.0119	0.0415
MM_RS06195	0.5223	0.4922	0.2729	0.0979	0.1596	0.1065	0.0587	0.1275
MM_RS06200	1.8157	1.9368	1.5339	0.2646	0.1837	0.209	0.1154	0.1911
MM_RS06205	0.3367	0	0.7831	0	0	0.0558	0	0
MM_RS06210	2.3769	1.8048	3.0191	0.5591	0.2844	0.3124	0.4867	0.5001
MM_RS06215	114.1089	153.9046	432.2438	365.7739	1.1625	2.7359	7.332	5.3089
MM_RS06220	11.2748	13.0302	25.6282	11.3415	0.8222	1.2273	3.1705	2.436
MM_RS06225	10.1789	6.2948	23.0742	9.9777	0.6863	0.782	2.7765	1.8818
MM_RS06230	0.6473	0.462	0.3199	0.0616	0.0418	0.0457	0.0923	0.0255
MM_RS06235	2.1482	1.4438	1.6343	0.3395	0.2954	0.4766	0.0679	0.192
MM_RS06240	1.1754	0.8587	1.0635	0.1033	0.1255	0.1954	0.1397	0.1006
MM_RS06245	2.4844	1.9078	3.786	0.4075	0.0241	0.0549	0.0814	0.0827
MM_RS06250	1.0242	0.385	0.8922	0.21	0.0711	0.0467	0.0907	0.0421
MM_RS06255	1.083	0.6368	3.4749	0.466	0.0858	0.1951	0.1111	0.1602
MM_RS06260	0.9196	0.9384	0.9492	0.4117	0.016	0.0364	0.1139	0.073
MM_RS06265	0.2896	0.1665	0.5317	0.2673	0.0099	0.015	0.0182	0.0453
MM_RS06270	5.2029	4.3713	1.7468	0.6364	0.2698	0.3256	0.2588	0.1518
MM_RS06275	22.8382	13.8952	7.1406	4.9403	1.1908	1.0996	1.0783	0.9197
MM_RS06280	41.7641	25.8382	9.396	5.0935	1.0202	1.246	0.5992	0.6972
MM_RS06285	2.3199	3.4518	1.4734	0.9968	0.1141	0.2752	0.3042	0.2693
MM_RS06290	8.0186	6.7137	4.7148	4.4212	0.272	0.3919	0.1843	0.2627
MM_RS06295	1.1495	0.7961	0.3895	0.1402	0.0117	0.0694	0.0054	0.0491
MM_RS06300	1.0218	0.7295	0.8576	0.4211	0.0771	0.2643	0.1158	0.1145
MM_RS06305	3.0755	4.9495	10.9812	4.9594	0.103	0.3012	0.2434	0.2501
MM_RS06310	2.6373	1.9883	7.7474	4.5584	0.0444	0.0654	0.2544	0.1866
MM_RS06315	13.4129	8.1807	11.0957	3.0636	0.4391	0.5289	0.6552	0.2418
MM_RS06320	377.235	279.2945	95.0379	83.3031	13.4871	20.266	23.5495	12.1537
MM_RS06325	10.1312	7.0634	16.0982	10.821	0.4107	0.8238	0.6155	0.911
MM_RS06330	104.8153	98.0076	32.7065	29.9696	2.234	4.9566	1.5253	2.6639
MM_RS06335	6.7758	4.5238	2.2101	2.721	0.3006	0.4711	0.1523	0.173
MM_RS06340	2.9877	1.8454	1.8943	0.6215	0.2043	0.2045	0.1536	0.1329
MM_RS06345	11.0341	11.649	5.97	6.6103	0.5278	0.6491	0.4064	0.7274
MM_RS06350	4.2092	2.5691	4.1948	3.2648	0.3536	0.3633	0.5985	0.4968
MM_RS06355	4.0567	3.0366	5.5442	4.7021	0.1844	0.3368	0.3402	0.5334
MM_RS06360	1.4954	1.1337	0.7305	0.215	0.0873	0.2075	0.088	0.1178
MM_RS06365	6.2205	5.6625	1.8845	0.4058	0.4854	0.7675	0.5994	0.5038
MM_RS06370	0.3723	0.4201	0.6133	0.1807	0.018	0.0401	0.0479	0.0488
MM_RS06375	0.4584	0.4792	0.4144	0.0715	0.0278	0.0809	0.0204	0.0698
MM_RS06380	1.0505	0.8739	1.3404	0.5265	0.0165	0.0651	0.0759	0.021
MM_RS06385	1.2684	0.9276	0.3685	0.3368	0.0195	0.0622	0.0786	0.0651
MM_RS06395	93.2378	73.562	14.9796	10.8289	13.6631	17.0702	2.2615	2.2962
MM_RS06400	6.8009	5.4057	4.9538	1.3603	0.1494	0.3842	0.285	0.1024
MM_RS06405	3.3386	2.936	3.0064	0.7937	0.0642	0.1514	0.1272	0.074
MM_RS06410	2.9212	1.9192	2.1519	0.6125	0.102	0.1443	0.1354	0.1587
MM_RS06415	45.9248	32.3987	59.1422	76.3886	0.2602	1.4383	0.3886	0.6849
MM_RS06420	103.8011	65.2734	111.0511	125.2779	1.3121	2.7669	1.6582	1.75
MM_RS06425	73.0209	52.9597	56.7729	26.752	1.6351	3.2597	2.0099	2.1178
MM_RS06430	43.9759	25.7382	37.135	17.0361	2.246	4.4608	2.5888	2.6492
MM_RS06435	87.5413	63.488	77.2851	49.6118	1.6286	2.6956	1.6243	1.587
MM_RS06440	8.8874	6.1263	4.741	1.6803	0.4179	0.8015	0.2884	0.3141
MM_RS06445	1.259	1.1831	2.077	1.1396	0.0609	0.1072	0.193	0.1992
MM_RS06450	10.7208	9.8754	7.5768	2.5967	0.2354	0.3927	0.4326	0.6419
MM_RS06455	1.8187	1.1963	1.708	1.4253	0.1335	0.1886	0.2564	0.226
MM_RS06460	2.8865	2.4814	3.3355	4.3122	0.0944	0.1703	0.1522	0.1651
MM_RS06465	0.9181	0.4698	0.9842	0.232	0.0196	0.0427	0.0329	0.0499
MM_RS06470	1.48	0.9436	1.3827	2.6004	0.0611	0.0502	0.0606	0.1962
MM_RS06475	1.3199	1.2123	0.8774	0.912	0.0364	0.0937	0.0905	0.1264
MM_RS06480	4.0662	2.7155	2.8026	3.5044	0.2056	0.1835	0.4611	0.5368
