gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS16025	40.763	41.3274	12.9103	7.7859	16.6462	24.8811	12.0272	14.0112
MM_RS16030	138.5197	187.8743	186.1219	96.7038	28.116	51.6793	40.2417	69.1097
MM_RS16040	1668.3312	3240.2621	1038.632	1634.2775	195.6526	449.5297	144.3917	232.7019
MM_RS16045	36.4055	89.1306	21.8549	9.018	8.7846	12.8139	9.0931	9.851
MM_RS16050	55.1677	59.5063	15.0184	16.4677	5.9582	17.7686	5.8248	10.0224
MM_RS16055	108.0161	194.4715	124.7791	97.9856	40.7171	71.9251	86.7536	93.6262
MM_RS16060	9.9415	8.176	7.5138	3.6251	6.9224	6.6011	4.3999	3.64
MM_RS16070	27.0097	28.8611	24.7735	27.4578	0	2.3018	1.7643	3.1277
MM_RS16075	69.7839	99.3931	50.7435	18.6274	31.2913	46.7709	24.5464	42.9423
MM_RS16080	12.6885	14.5089	20.1211	8.5538	6.8376	5.9533	9.2714	11.5565
MM_RS16090	2084.3571	3374.2432	71.2778	139.7792	113.6559	473.791	24.5177	16.6871
MM_RS16095	171.6232	670.0698	42.3399	23.7103	87.437	219.6303	35.8615	40.028
MM_RS16100	217.9721	310.8324	59.1272	44.1735	48.6218	89.876	37.5947	22.6735
MM_RS16105	93.7436	87.4281	96.0187	31.6276	18.5113	44.7411	24.0485	26.42
MM_RS16110	1123.5946	3594.4599	186.3422	424.5402	4295.6659	6913.1047	1270.0008	1657.6606
MM_RS16115	183.7018	2404.7566	50.0095	61.2663	53.7037	360.4914	35.877	35.47
MM_RS16125	143.8254	274.3705	55.9825	48.5184	48.9427	84.1187	30.2852	31.4626
MM_RS16130	61.646	61.1619	39.6726	35.0305	31.4632	58.0074	31.7982	58.2814
MM_RS16135	119.7273	151.7739	99.6484	125.513	24.8725	31.602	29.714	33.2087
MM_RS16140	91.3626	87.4445	137.8132	104.9258	52.9111	90.655	71.352	177.928
MM_RS16145	21.291	42.9717	37.1942	14.3832	5.5758	23.4255	14.9633	26.0843
MM_RS16150	632.8482	3339.8588	733.6145	900.9372	822.2068	3393.207	550.65	1313.6775
MM_RS16155	509.6398	3262.3248	725.9429	2378.5271	32.8204	552.4622	127.945	151.6217
MM_RS16160	55.0244	164.1379	54.0036	40.9233	15.8986	64.8304	23.3408	44.7147
