gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS06480	151.4689	135.6307	143.8042	237.3098	46.3161	35.7823	90.9988	113.379
MM_RS06485	453.2313	382.5853	423.9285	74.7503	177.9558	201.6011	85.1113	61.6102
MM_RS06490	682.4681	500.0788	665.7696	112.4907	289.8389	371.6261	129.7947	83.6138
MM_RS06495	3034.1267	1333.7628	2055.6943	376.9168	1069.9371	716.1766	400.3776	204.3194
MM_RS06500	544.2467	313.3434	481.6635	41.3927	137.4312	113.8127	38.6547	35.5201
MM_RS06505	6.0096	9.2108	3.4318	2.1914	1.7619	3.8169	2.1278	3.4577
MM_RS06520	117.9389	169.7207	105.1742	60.6281	34.7983	77.7257	60.2872	58.4668
MM_RS06525	39.8138	40.213	45.6228	24.5921	8.8097	9.3687	3.5463	8.8015
MM_RS06530	37.1846	36.9387	24.4264	9.009	8.3692	14.5736	6.0287	14.7739
MM_RS06535	90.9294	114.7259	51.4342	60.1411	8.3692	9.0217	8.8658	6.2868
MM_RS06540	28.1701	50.5583	6.6617	7.0611	8.8097	11.4507	2.837	3.4577
MM_RS06545	889.902	5444.6963	706.8228	3337.4428	2352.8652	19930.2752	3204.1241	12867.2437
MM_RS06550	885.9409	5442.2487	707.8871	3326.7776	2160.78	19780.6271	3203.3358	12765.7271
MM_RS06555	294.4728	269.5014	286.6564	318.9671	44.0485	74.6028	46.4566	64.4392
MM_RS06560	6.3852	12.5806	7.6711	8.035	5.2858	3.4699	1.7732	1.5717
MM_RS06565	26.2921	38.9365	28.8675	15.3396	4.4048	8.6747	3.5463	5.6581
MM_RS06570	37.9358	100.9432	126.7748	33.8446	9.6907	17.6965	21.6324	19.8033
MM_RS06575	425.1848	868.0621	2265.7455	336.7416	192.9322	273.775	404.6332	119.4483
MM_RS06580	570.3879	1101.3349	1908.2997	331.8718	111.0021	153.0225	450.3805	71.9833
MM_RS06585	179.8726	309.558	448.6443	66.7153	100.871	124.9163	324.8414	84.8711
MM_RS06590	139.5683	138.1596	276.9539	60.6286	72.2395	64.8871	314.9117	66.6396
MM_RS06595	172.3557	168.3342	340.9596	76.4547	71.799	64.5401	395.7674	90.5292
MM_RS06600	565.3225	635.2736	539.0448	454.5889	178.3963	268.6454	322.7136	249.2697
MM_RS06605	259.9163	304.4058	200.2557	310.932	87.2159	131.5091	98.2326	121.6486
MM_RS06610	78.5049	51.4457	620.7524	103.4817	17.6194	21.1664	62.0603	47.465
MM_RS06615	134.4654	185.1147	595.1148	358.1684	23.3457	67.316	83.6928	87.0715
MM_RS06620	11.268	26.9277	15.1403	6.3306	4.8453	6.5928	2.1278	6.2868
MM_RS06625	676.8634	823.7078	377.4031	416.1503	188.908	522.1881	152.7467	454.6283
MM_RS06630	819.7884	735.9517	404.4449	458.6961	418.082	776.6288	325.9957	621.3344
MM_RS06635	188.9276	173.208	45.4209	39.9318	37.8817	78.7667	14.5398	39.2922
MM_RS06640	51.0935	55.4895	23.0133	22.1573	7.9287	13.1856	6.3833	8.8015
MM_RS06645	48.077	49.863	14.5347	9.496	4.8453	7.9808	3.1917	5.3437
MM_RS06650	62.3912	82.9848	226.832	122.2282	1073.6574	1276.0651	2321.5954	888.1096
MM_RS06655	199.0805	1045.787	5388.9672	129.1982	51.6763	144.3745	1734.7493	53.6376
MM_RS06660	13121.7583	10316.0481	47932.0018	4110.5041	7361.2925	2802.5517	29088.5207	8311.5467
MM_RS06665	411.7367	539.6183	1262.7012	645.4822	18.9408	54.8244	48.2297	80.1561
MM_RS06675	37.1846	47.1773	154.8348	54.7844	14.536	39.5568	36.1723	119.4483
MM_RS06680	37.3138	68.4805	90.4381	40.1752	4.4048	6.5928	2.837	7.5441
MM_RS06685	58.9695	64.3309	138.3	69.3955	4.8453	12.8386	10.9935	14.1452
MM_RS06690	26.6677	42.9241	18.9758	9.009	4.4048	10.0627	6.0287	3.7721
MM_RS06695	20.2825	42.9089	31.6509	8.2785	2.2024	6.9398	10.2843	3.4577
MM_RS06700	97.493	98.6302	531.9297	533.9655	20.7028	19.7784	139.0151	102.7884
MM_RS06705	91.6468	98.3983	406.1638	421.5732	48.0128	72.4806	289.3783	208.4058
MM_RS06710	199.0767	224.4805	512.7374	129.0477	49.7748	83.2776	58.514	53.4374
MM_RS06715	161.5087	146.228	181.4818	47.2363	85.454	108.2608	61.7057	82.3564
MM_RS06720	584.8117	394.2673	629.6347	752.6162	1454.0396	1926.1404	890.4767	6034.0241
MM_RS06725	449.9993	346.1914	574.1162	655.7086	203.5039	279.7647	346.4738	314.6519
MM_RS06735	137.0649	128.4584	122.9393	62.8195	36.5602	47.5376	34.0445	36.1488
MM_RS06740	89.3613	108.5098	96.8979	60.8716	23.3457	29.4941	20.5686	36.1488
MM_RS06745	573.5437	517.1264	374.4701	178.232	105.2758	136.714	122.7021	90.8436
MM_RS06750	500.0471	814.8191	675.4594	525.2	99.99	166.5551	67.3798	101.531
MM_RS06755	181.8719	136.5133	102.0364	63.089	19.5646	42.5385	0	12.6335
MM_RS06760	120.9437	272.7296	138.2814	95.6901	23.7862	34.005	25.5334	41.4926
MM_RS06765	158.8795	172.5673	96.8979	47.9668	43.608	48.5786	20.2139	27.976
MM_RS06770	254.2823	257.2285	271.9198	108.1079	52.4177	78.4197	78.3733	52.8087
MM_RS06775	141.9774	163.9972	397.4846	99.0989	40.9651	59.6822	94.6863	57.5238
MM_RS06780	860.5018	915.9126	357.7149	158.0226	251.0762	385.8527	149.654	125.4207
MM_RS06785	348.9339	460.3155	232.3532	382.517	43.1675	89.5234	41.1371	66.0109
MM_RS06790	98.7457	125.5814	32.2993	29.2184	36.1197	55.8654	20.5686	25.4613
MM_RS06795	41.611	42.9691	148.6043	61.3758	0	25.113	34.9268	25.9847
MM_RS06800	96.9732	160.4028	194.8097	149.2571	45.3699	68.01	53.5492	52.8087
MM_RS06805	69.4863	90.7608	115.6719	49.1842	28.191	53.0894	47.5205	59.0955
MM_RS06810	204.3273	148.4961	238.6112	81.8114	44.0485	57.9473	69.1529	82.9851
MM_RS06815	39.0626	67.8454	65.2153	22.8877	7.4882	16.6555	15.2491	25.147
MM_RS06820	44.6891	58.8593	85.9969	60.8716	7.4882	11.1037	15.2491	13.8309
MM_RS06825	127.7045	115.0227	136.6713	91.7943	18.9408	38.1689	26.5973	22.9466
MM_RS06830	27.0433	26.0598	76.509	17.7745	8.8097	15.6145	22.3417	20.4319
MM_RS06835	499.5501	382.9735	153.2199	69.1501	96.9066	144.3478	33.3352	49.351
MM_RS06840	244.141	102.2069	124.1505	60.8716	26.4291	37.4749	34.0445	30.1764
MM_RS06845	311.3737	268.6731	273.5348	199.9023	94.7042	122.4874	114.5456	91.1579
MM_RS06850	40.1894	68.0656	7.873	5.6002	7.0478	16.3085	0	7.5441
MM_RS06855	229.8682	251.1629	695.4446	1257.6068	18.5004	24.2893	56.7408	61.9245
MM_RS06860	108.5489	88.9694	112.442	32.3837	34.7983	54.1304	20.9232	46.2076
MM_RS06865	34.5553	42.7017	33.1068	17.2875	5.2858	10.7567	13.476	13.5165
MM_RS06870	181.8821	152.7295	199.8457	50.8886	8.8097	12.4916	12.0574	14.7739
MM_RS06875	462.4835	1184.8645	321.8887	258.6502	48.2485	72.8866	36.5014	34.2628
MM_RS06880	57.0914	78.2417	31.3354	18.018	14.9765	22.9041	29.7889	23.5753
MM_RS06885	71.3643	58.3502	59.1481	31.4097	18.5004	24.2893	47.5205	41.1782
MM_RS06890	22.1605	28.0817	9.0842	6.8176	8.3692	19.7784	2.837	12.8878
MM_RS06895	214.0929	321.0931	176.1405	118.5778	68.2751	95.0752	74.4724	104.3601
MM_RS06900	84.1348	106.7105	50.8714	28.9749	41.4056	44.0677	118.8012	89.5862
MM_RS06905	13.5224	13.0342	22.8114	20.4529	5.2858	7.9808	9.2204	21.375
MM_RS06910	3.3804	4.6625	52.4864	6.3306	0	0.694	6.0287	2.5147
MM_RS06915	26.1036	33.2521	185.4396	43.5841	3.0834	6.5928	14.5398	10.3731
MM_RS06920	362.8312	379.6648	304.8248	142.683	63.4298	107.9138	59.2233	58.7811
MM_RS06925	65.3547	52.0907	110.4233	37.9839	41.4056	70.4389	25.1788	56.2664
MM_RS06930	129.207	237.2344	362.3579	77.9156	28.6315	32.2701	54.6131	38.6635
MM_RS06935	43.5698	39.7637	44.2093	52.593	6.6073	18.3905	8.5111	13.8309
MM_RS06940	106.5394	137.4486	118.4981	141.4655	70.037	80.5016	108.5169	82.0421
MM_RS06945	141.2262	162.6489	554.3369	240.321	25.5481	40.5978	52.4853	32.6911
MM_RS06950	315.1297	453.7183	675.2175	271.9742	184.563	265.1002	152.1364	168.7993
MM_RS06955	285.0948	314.9646	777.4041	138.5437	33.9173	61.0702	39.0093	34.5771
MM_RS06960	155.8747	228.549	450.1717	80.8375	33.4768	63.1521	46.4566	35.5201
MM_RS06965	94.6516	97.0504	105.7802	26.7835	19.3813	29.8411	23.4056	23.261
MM_RS06970	274.7717	385.261	203.6875	136.5958	78.4063	118.3235	69.8622	50.294
MM_RS06975	53.1878	38.8651	104.3672	43.3406	25.5481	31.2291	99.2965	74.1837
MM_RS06980	161.8843	152.8708	135.0499	71.099	40.5246	44.7617	51.4214	35.2058
MM_RS06985	105.5399	100.677	373.4608	225.7118	19.3813	43.7207	44.3288	50.294
MM_RS06990	74.8443	91.7955	293.1163	174.5797	23.7862	47.1906	63.1242	77.0127
MM_RS06995	760.5929	737.0986	108.6064	50.1582	51.5367	175.5768	34.3991	46.2076
MM_RS07005	10.163	12.6676	9.0842	2.6783	11.8931	12.8386	7.8019	25.4613
MM_RS07010	62.7255	73.0127	22.8114	37.7404	37.8817	53.7834	19.5047	33.3198
