gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS02945	41.392	37.3994	72.1134	42.084	40.5521	49.062	129.1932	107.6296
MM_RS02950	17.1816	14.5018	44.0271	22.545	31.1939	26.7611	52.0629	40.872
MM_RS02955	46.8588	62.5867	181.4221	86.4225	28.0745	31.2213	65.5607	36.7848
MM_RS02960	21.0865	20.9895	150.2995	31.563	21.8357	10.4071	42.4216	27.248
MM_RS02965	57.0116	51.1379	135.1177	97.695	31.1939	22.3009	32.7804	20.436
MM_RS02970	149.9483	151.124	90.3315	318.6359	121.6562	77.3098	61.7042	58.5832
MM_RS02975	162.444	188.1418	27.7067	69.138	93.5817	108.5311	42.4216	34.06
MM_RS02980	0	2.2898	3.0364	2.2545	9.3582	7.4336	9.6413	14.9864
MM_RS02990	44.5159	91.972	194.7062	50.3505	93.5817	112.9912	107.9824	92.6432
MM_RS02995	17.9626	43.1238	80.0838	8.2665	15.5969	26.7611	7.713	4.0872
MM_RS03000	57.0116	38.1626	34.5385	26.3025	31.1939	35.6814	21.2108	14.9864
MM_RS03005	5.4669	4.1979	5.3136	2.2545	12.4776	5.9469	34.7086	6.812
MM_RS03010	78.0981	91.5903	116.8996	120.9915	15.5969	32.708	48.2064	16.3488
MM_RS03015	8.5908	3.053	44.7862	9.018	0	4.4602	13.4978	6.812
MM_RS03020	2.3429	9.9223	72.4929	3.7575	3.1194	8.9204	42.4216	2.7248
MM_RS03030	24.9914	140.4385	1885.5754	105.21	34.3133	98.124	221.7495	25.8856
MM_RS03035	14.8386	11.8304	15.1818	6.012	274.5062	172.4603	82.915	117.1664
MM_RS03040	12.4957	34.3464	403.0759	24.7995	12.4776	16.354	52.0629	14.9864
MM_RS03045	14.0577	13.7385	98.6815	24.7995	0	8.9204	17.3543	5.4496
MM_RS03050	35.9251	39.6891	53.5157	24.7995	37.4327	43.1151	17.3543	42.2344
MM_RS03055	164.0059	78.9967	18.5977	22.545	71.7459	41.6284	30.8521	21.7984
MM_RS03060	200.712	304.9195	238.7333	314.1269	190.2827	267.6108	499.4184	147.1392
MM_RS03065	186.6544	199.9722	122.9723	156.3119	308.8195	524.8146	242.9603	237.0575
MM_RS03070	62.4785	69.456	33.0203	37.575	215.2378	196.2479	107.9824	104.9048
