gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS02220	6.0364	6.4944	5.4878	4.4999	6.3285	5.6846	5.0534	5.9616
MM_RS02225	4.8531	4.7425	4.4886	3.5908	4.9272	5.0694	5.0534	5.6454
MM_RS02230	4.9291	5.2853	4.6935	4.1779	4.1631	5.3049	5.2121	5.5646
MM_RS02235	5.984	6.2914	5.0651	4.451	5.6194	5.004	4.1492	5.2908
MM_RS02240	1.3968	2.5787	2.9109	1.3762	3.0819	2.3474	1.9869	0.262
MM_RS02245	3.0835	3.1245	2.3662	1.3762	4.1631	4.2231	1.9869	3.1781
MM_RS02250	3.6364	4.7007	3.3545	2.111	2.3905	0.262	2.5888	3.3833
MM_RS02255	2.7814	3.2476	2.666	2.111	3.5401	1.7952	0.262	3.3833
MM_RS02260	6.1359	5.9431	5.5476	6.9557	7.2783	6.8125	6.4467	6.9015
MM_RS02265	7.6437	7.366	6.2977	7.1591	8.3245	7.9951	7.9612	7.8277
MM_RS02270	5.399	4.5904	4.7145	5.1466	6.3834	7.1662	6.4782	7.0274
MM_RS02275	4.6432	3.9335	4.1291	3.6789	4.7709	4.7077	4.4339	4.7478
MM_RS02280	6.6326	6.9378	6.8983	6.1753	9.1786	9.0051	8.7754	9.4285
MM_RS02285	7.2658	7.2296	8.6321	8.6355	8.0122	7.8539	8.6836	7.9989
MM_RS02290	8.0012	7.7783	8.8554	8.7757	8.1294	8.2276	9.1334	9.071
MM_RS02295	7.0617	7.4628	9.0621	9.5379	7.5425	7.4743	9.2105	8.3636
MM_RS02300	7.6493	7.3458	8.2231	6.8279	6.2119	6.2332	6.4782	6.5703
MM_RS02305	4.5973	6.7096	6.2837	6.345	4.5954	5.8046	5.0534	5.7219
MM_RS02310	7.358	6.6116	8.0355	8.6052	5.5248	6.1144	6.7862	6.8682
MM_RS02315	6.1987	6.4635	7.6719	7.6816	6.8802	6.4694	6.9969	7.7749
MM_RS02320	4.9657	4.9351	7.6421	8.4339	5.6194	5.2495	8.4005	8.6149
MM_RS02325	7.2804	6.3734	5.5709	5.6572	6.3285	5.9506	5.485	5.1315
MM_RS02330	4.5499	4.2852	4.9634	4.451	5.1966	4.533	3.5752	3.5624
MM_RS02335	5.1986	4.7217	4.8727	4.1165	6.2119	7.1958	3.7933	6.3709
MM_RS02340	7.7626	7.5594	8.9492	8.8195	10.3164	9.7209	10.0617	11.105
MM_RS02345	11.1748	10.2995	9.5748	8.948	10.3718	10.533	9.243	9.0891
MM_RS02350	7.1516	7.9507	8.2413	7.7786	8.4712	9.2816	8.6494	8.9844
MM_RS02355	10.3404	10.1398	8.9896	9.6063	9.2245	8.6199	9.1134	7.72
MM_RS02360	8.5201	7.8939	8.1206	9.2641	9.1472	9.5626	9.2793	8.9087
MM_RS02365	8.6379	8.2273	7.9473	8.6625	9.0906	8.9147	9.1134	8.767
MM_RS02370	7.2804	7.1151	9.8445	9.068	8.7886	8.8087	10.4811	10.0003
MM_RS02375	8.2693	8.3772	10.795	10.5349	8.1132	8.6681	9.2011	9.2398
MM_RS02380	7.3852	8.2328	8.2718	8.048	7.0255	7.8068	7.4589	7.1843
MM_RS02385	10.6755	10.2024	8.5453	8.0724	12.7112	11.6447	9.6929	11.0844
MM_RS02390	7.7883	7.2074	8.5843	7.6973	8.3104	7.51	8.5416	7.9678
MM_RS02395	6.4122	6.56	7.3781	7.6868	5.9459	6.9577	5.4215	6.3945
MM_RS02400	11.1392	10.8701	10.7714	12.294	10.855	10.4542	10.6875	10.52
MM_RS02405	9.4444	9.1699	9.0764	9.8145	8.7368	8.5979	8.519	8.0591
MM_RS02410	7.9291	8.0053	8.0624	7.6387	6.5368	6.445	6.9526	6.9179
MM_RS02415	5.9295	5.6126	6.1513	5.7407	6.0171	5.5072	6.0018	5.5646
MM_RS02420	5.8339	5.4831	5.1754	4.8021	5.5248	6.0831	4.5575	4.8874
MM_RS02425	4.8916	4.5439	4.6935	4.451	5.7919	4.533	5.9122	5.7587
MM_RS02430	11.5671	12.5927	12.1876	13.9388	11.5312	11.7524	12.166	11.8183
MM_RS02435	4.3427	4.6355	4.1602	3.5908	7.4165	6.7341	5.4215	7.338
MM_RS02440	6.3719	6.0878	6.0308	5.9305	6.1498	6.2892	6.1658	5.6842
MM_RS02445	7.1033	7.0707	6.5169	6.3844	9.1151	8.7894	7.7577	7.7477
MM_RS02450	10.9921	11.3721	10.6414	11.1855	8.4964	9.1556	8.0995	8.2259
MM_RS02455	7.206	7.5418	6.6318	6.1295	7.0596	7.3083	6.0446	6.95
MM_RS02460	7.4185	7.2836	6.2837	6.9644	7.5665	7.7077	5.6604	6.485
MM_RS02465	7.9244	7.8776	7.495	7.3506	8.1294	8.6415	8.2893	7.9912
MM_RS02470	5.399	4.9169	6.8983	5.7203	6.6306	7.634	7.7318	8.2061
MM_RS02475	7.4446	6.5365	8.5628	7.9637	7.2192	7.7581	9.0039	8.6048
MM_RS02480	6.4254	7.935	7.4798	7.8079	7.5425	7.281	8.9875	8.1724
MM_RS02485	7.4251	7.2259	6.405	8.9102	5.0682	5.8046	6.4782	5.6056
MM_RS02490	7.9656	7.3892	6.8421	9.4399	4.1631	6.8125	7.1997	6.5703
MM_RS02500	4.0328	5.5668	5.6274	3.8402	3.8854	5.4096	3.9823	4.9524
MM_RS02505	8.2135	8.6427	8.3188	10.3889	8.5454	9.1367	8.9985	9.4483
MM_RS02510	3.5418	3.5149	6.0639	4.9144	2.3905	2.3474	4.4339	4.3246
MM_RS02515	6.6097	7.1348	7.6144	6.7495	6.3285	7.239	5.7144	6.2726
MM_RS02520	5.4255	5.6349	5.0487	4.3479	5.7082	4.623	4.4339	4.6726
MM_RS02525	7.0362	6.6228	6.7687	7.5662	7.5182	7.634	8.8556	8.2193
MM_RS02530	7.3717	7.3627	7.4362	7.7933	8.9152	8.9058	8.9029	8.7805
MM_RS02535	8.053	7.8032	7.653	8.4118	8.8089	8.7699	9.2338	8.2775
MM_RS02540	8.8084	9.0679	9.3831	9.9368	8.9611	8.9628	9.4159	8.5323
MM_RS02545	8.0783	8.3163	7.8052	8.0065	8.1294	8.3834	8.4806	8.0442
MM_RS02550	8.7389	8.8514	8.5468	8.6218	7.4934	8.0609	8.4411	8.1518
MM_RS02555	7.0362	6.6228	5.7444	6.544	8.694	8.5414	7.8809	7.952
MM_RS02560	8.6576	8.6632	8.2395	8.9348	7.9037	7.7972	7.2186	7.2885
MM_RS02565	5.4255	6.816	4.9278	5.1466	5.7082	5.2495	3.3172	4.5932
MM_RS02570	8.517	8.9063	7.3549	7.2039	8.0122	7.8723	6.2413	7.1151
MM_RS02575	15.4523	15.0606	14.3852	12.8891	14.0029	14.0964	14.5261	12.6984
MM_RS02580	7.5921	7.5239	8.8904	7.5489	6.7187	7.0251	8.4411	7.6532
MM_RS02585	8.4151	8.3871	9.4124	9.6542	8.1454	8.3311	8.9765	8.8672
MM_RS02590	7.3511	7.2442	6.4928	7.0239	8.1294	7.1052	6.6543	7.1432
MM_RS02595	7.1114	6.6172	5.5359	5.5686	6.8802	6.2615	6.5393	6.631
MM_RS02600	7.0785	7.083	6.0883	7.1206	6.085	4.533	5.355	4.9524
MM_RS02605	6.5747	6.5774	5.9969	6.2906	4.3955	6.0183	5.2853	4.5932
MM_RS02610	8.1153	7.7011	6.9959	7.2756	7.1886	7.1512	6.5393	6.4405
MM_RS02615	5.8339	6.0215	5.703	5.6136	5.9459	6.3949	5.6043	5.7587
MM_RS02620	5.814	6.0384	4.6504	4.0523	4.5954	5.6423	5.1349	4.3246
MM_RS02625	7.5862	7.611	5.7946	5.8945	6.085	6.5403	5.9577	5.4342
MM_RS02630	8.3578	8.3505	9.0814	10.5061	9.2906	9.1098	8.993	8.5163
MM_RS02635	7.2948	7.1811	7.8884	9.0456	5.4235	5.1919	5.6043	6.0234
MM_RS02640	7.4575	7.9078	8.5843	9.5937	6.2119	6.4934	6.6543	6.6507
MM_RS02645	6.7937	7.5358	7.8534	7.8223	7.1575	7.8723	7.8809	8.1792
MM_RS02650	5.814	5.7823	7.0298	5.5221	7.5425	6.9918	4.2986	6.885
MM_RS02655	3.725	4.3944	3.0527	3.7618	7.2491	5.5072	5.485	6.5494
MM_RS02660	5.5268	5.9609	5.0651	5.3197	3.5401	4.623	2.5888	3.3833
MM_RS02665	4.5008	5.1522	4.0315	4.1165	4.3955	4.334	3.3172	3.3833
MM_RS02670	3.6364	4.0043	4.3873	3.2878	5.0682	5.3582	4.1492	4.5932
MM_RS02675	6.9293	6.9733	5.9969	5.7407	7.7023	7.4001	6.3814	6.8513
MM_RS02680	5.551	5.7417	4.8913	5.4983	5.5248	5.3582	4.7768	5.1315
MM_RS02685	6.1035	6.5065	4.3608	4.0523	4.9272	5.1919	5.2121	5.388
MM_RS02690	2.3918	2.479	1.0633	1.3762	3.8854	2.3474	1.9869	2.6452
MM_RS02695	8.2286	7.8939	6.6207	7.3834	7.8848	8.5241	6.2413	7.0572
MM_RS02700	0.262	7.2514	0.262	0.262	8.3104	7.8258	8.1296	0.262
MM_RS02705	5.9295	6.451	7.4267	7.8175	7.0596	5.9848	7.4106	7.72
MM_RS02710	4.5499	4.8226	6.3524	6.6232	3.8854	5.4592	7.3776	6.0533
MM_RS02715	6.4254	5.6013	7.8768	8.6837	6.2714	6.7541	7.8926	8.1239
MM_RS02720	7.3852	7.2976	8.71	10.0423	7.3352	7.7778	9.1234	9.243
MM_RS02725	7.952	7.4845	9.5229	10.0526	6.7608	6.8315	8.4961	8.0955
MM_RS02730	7.1196	6.4944	8.7851	10.3881	6.5844	6.6297	8.0687	7.7927
MM_RS02735	9.356	8.9975	9.6707	10.5936	12.5644	12.4569	14.1126	13.5663
MM_RS02740	9.6107	9.9569	10.0691	13.3895	9.0487	9.8144	9.8993	10.2222
MM_RS02745	8.8109	8.0329	8.1324	7.5604	8.5088	7.8815	7.9834	8.239
MM_RS02750	4.3974	4.3944	5.2494	4.6372	4.7709	4.8634	5.4215	6.0533
MM_RS02755	4.7309	5.1366	4.2783	4.1779	5.5248	5.4096	6.6543	5.3402
MM_RS02760	0.262	5.3941	0.262	5.6996	8.581	7.5334	6.4467	6.1113
MM_RS02765	5.7316	4.803	4.2205	4.2369	9.5286	8.5414	7.6089	6.934
MM_RS02770	6.3305	6.0715	5.1754	5.5686	5.4235	5.6846	2.5888	4.8193
MM_RS02775	4.5008	4.7425	2.834	3.3962	4.7709	4.7077	3.7933	3.1781
MM_RS02780	5.4255	5.1979	4.8538	4.7626	6.0171	4.8634	3.3172	4.8874
MM_RS02785	5.9295	6.0384	5.2919	5.7609	6.8415	6.6724	5.9122	6.3945
MM_RS02790	1.8302	0.262	1.3816	1.3762	0.262	1.7952	2.5888	3.3833
MM_RS02795	6.3022	6.0215	7.4106	7.1128	6.3285	6.145	8.0267	7.4434
MM_RS02800	8.3371	7.9988	9.2311	8.4339	8.1132	8.2768	9.5702	8.0882
MM_RS02810	5.399	4.9881	4.4133	3.5908	3.8854	4.1028	3.5752	4.1128
MM_RS02815	5.229	5.8507	6.9479	6.8374	3.8854	4.1028	5.8167	4.8874
MM_RS02820	8.3647	7.9055	7.5191	7.1891	7.2192	7.2947	6.9969	6.7082
MM_RS02825	5.7734	5.9251	5.3735	4.8405	5.9459	5.7657	6.3131	5.6842
MM_RS02830	4.3974	4.136	4.9981	4.451	3.5401	3.8269	4.2986	4.9524
MM_RS02835	5.7102	5.381	6.6646	6.4479	6.7608	7.0737	5.8653	6.885
MM_RS02840	11.6285	11.5607	10.6372	11.5004	11.0565	11.1031	10.2333	9.6816
MM_RS02845	3.0835	2.1237	1.81	0.262	2.3905	3.2755	0.262	1.735
MM_RS02850	3.6364	2.5787	3.459	3.1703	6.6753	4.334	2.5888	4.8874
MM_RS02855	5.7316	6.634	4.4389	3.8402	3.5401	3.9715	4.6713	4.1128
MM_RS02875	2.9407	2.6714	2.666	2.3572	4.3955	3.8269	3.0006	4.3246
MM_RS02880	8.6464	8.464	8.1088	7.981	8.5928	8.6891	8.3756	7.8787
MM_RS02885	6.7524	6.4191	5.0152	5.0185	6.8802	6.7739	5.4215	5.2908
MM_RS02890	6.3165	5.4582	5.0487	4.4004	7.8656	6.8869	5.6043	5.5224
MM_RS02900	7.1196	6.8258	5.4756	5.5686	6.3834	6.2892	3.9823	4.7478
MM_RS02905	5.1034	4.6793	4.6721	4.2935	4.9272	4.334	4.967	4.5091
MM_RS02910	4.6432	5.2568	3.5086	4.0523	4.1631	3.8269	0.262	3.1781
MM_RS02915	5.372	5.1676	5.0487	4.8021	7.1575	6.7341	6.0861	6.3226
MM_RS02920	7.952	7.9967	7.5919	6.9023	6.2714	6.3692	4.967	5.6454
MM_RS02925	4.0328	3.8591	4.5129	3.9144	4.9272	4.8634	6.5393	5.0743
MM_RS02930	2.6008	1.8139	3.6475	2.9004	0.262	2.7316	0.262	1.735
MM_RS02935	7.1907	8.4655	7.4425	9.0124	5.1966	5.3582	4.5575	5.1315
