gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS02825	0.745903410253237	0.328617179237766	0.605578043984824	57.0663676108699	raw_counts / DESeq2 median-of-ratios (via riborex)	0.059	0.047	0.249	0.639	12.428	9.997	14.286	28.973	12.428	9.997	14.286	28.973
MM_RS10565	0.682785741464801	0.328469408724924	0.605578043984824	820.194313156659	raw_counts / DESeq2 median-of-ratios (via riborex)	0.307	0.612	12.716	37.561	64.711	133.656	775.331	1650.135	64.711	133.656	775.331	1650.135
MM_RS08940	0.595750890590379	0.328454240598557	0.605578043984824	87.3092391852369	raw_counts / DESeq2 median-of-ratios (via riborex)	0.09	0.065	0.457	1.131	19.241	14.048	26.858	51.211	19.241	14.048	26.858	51.211
MM_RS04605	0.593166702040064	0.32827050476531	0.605578043984824	2163.56613867635	raw_counts / DESeq2 median-of-ratios (via riborex)	3.047	4.342	8.007	19.834	653.001	942.964	469.828	883.517	653.001	942.964	469.828	883.517
MM_RS12850	0.621475338354809	0.329637765609516	0.607032799783022	143.102082481386	raw_counts / DESeq2 median-of-ratios (via riborex)	0.049	0.058	0.266	0.617	10.465	12.38	15.153	27.512	10.465	12.38	15.153	27.512
MM_RS04095	-0.753307005704369	0.330168126489221	0.607583391843514	1108.21410012234	raw_counts / DESeq2 median-of-ratios (via riborex)	2.271	1.84	22.753	25.527	487.754	391.433	1405.33	1155.181	487.754	391.433	1405.33	1155.181
MM_RS17190	0.795606450297979	0.330408190945652	0.607599376346837	182.929987995547	raw_counts / DESeq2 median-of-ratios (via riborex)	0.256	0.446	2.846	7.176	53.802	97.399	160.413	319.555	53.802	97.399	160.413	319.555
MM_RS04265	0.742954842336752	0.330742848205134	0.607782687066348	709.063885608502	raw_counts / DESeq2 median-of-ratios (via riborex)	0.375	0.609	10.471	32.379	78.833	130.454	642.084	1482.614	78.833	130.454	642.084	1482.614
MM_RS06895	0.500945091025185	0.330970770184645	0.607782687066348	453.990173437227	raw_counts / DESeq2 median-of-ratios (via riborex)	0.219	0.198	1.3	3.054	46.571	42.539	76.75	139.371	46.571	42.539	76.75	139.371
MM_RS16250	0.725304107040351	0.331219576754752	0.607814541270426	75.8624240658804	raw_counts / DESeq2 median-of-ratios (via riborex)	0.052	0.138	1.403	3.544	10.97	28.642	80.453	160.786	10.97	28.642	80.453	160.786
MM_RS05395	-0.593727385801105	0.33177591655212	0.60841030507393	312.237284302557	raw_counts / DESeq2 median-of-ratios (via riborex)	0.674	0.35	5.907	6.814	143.715	73.776	355.347	315.676	143.715	73.776	355.347	315.676
MM_RS09430	0.725817542654811	0.334002452300472	0.612065903517822	105.686083463205	raw_counts / DESeq2 median-of-ratios (via riborex)	0.216	0.231	0.672	1.797	45.333	49.887	39.278	81.17	45.333	49.887	39.278	81.17
MM_RS12425	0.764960006803445	0.33510421941355	0.613386037551602	157.97496612868	raw_counts / DESeq2 median-of-ratios (via riborex)	0.073	0.168	1.147	3.538	15.342	36.768	69.75	157.901	15.342	36.768	69.75	157.901
MM_RS05750	-0.595307153541721	0.335190009096173	0.613386037551602	368.085634655077	raw_counts / DESeq2 median-of-ratios (via riborex)	0.376	0.504	2.514	2.874	80.535	108.469	150.321	129.741	80.535	108.469	150.321	129.741
MM_RS07350	1.02516455915975	0.336374752356199	0.614274363697845	74.9658282401882	raw_counts / DESeq2 median-of-ratios (via riborex)	0.137	0.189	1.846	6.151	29.628	39.838	108.399	278.967	29.628	39.838	108.399	278.967
MM_RS08385	-0.653092089818493	0.336377202969345	0.614274363697845	206.593928361028	raw_counts / DESeq2 median-of-ratios (via riborex)	0.125	0.133	2.277	2.721	26.506	28.744	140.234	121.965	26.506	28.744	140.234	121.965
MM_RS00930	0.598107770518456	0.336250047689788	0.614274363697845	104.314095963905	raw_counts / DESeq2 median-of-ratios (via riborex)	0.057	0.049	0.372	0.891	12.115	10.429	21.567	39.973	12.115	10.429	21.567	39.973
MM_RS12995	-1.06481720509566	0.33664967794544	0.614344721532123	1233.3961392369	raw_counts / DESeq2 median-of-ratios (via riborex)	1.972	1.66	34.007	21.187	412.428	361.647	1854.101	922.064	412.428	361.647	1854.101	922.064
