gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS11770	-5.07692094342517	1.33853060209277e-22	3.51498136109563e-19	962.777957396066	raw_counts / DESeq2 median-of-ratios (via riborex)	0.351	0.031	9.771	0.499	74.482	6.737	581.888	22.195	74.482	6.737	581.888	22.195
MM_RS11765	-5.34102681967472	1.23106247069813e-19	1.61638502402665e-16	1183.53961377299	raw_counts / DESeq2 median-of-ratios (via riborex)	0.408	0.032	6.201	0.268	87.107	6.815	374.052	12.322	87.107	6.815	374.052	12.322
MM_RS11775	-4.60393650162956	2.8800198555499e-19	2.52097738022468e-16	677.763411098572	raw_counts / DESeq2 median-of-ratios (via riborex)	0.173	0.02	10.091	0.656	36.838	4.347	586.294	29.859	36.838	4.347	586.294	29.859
MM_RS16525	4.77796278024434	9.61798191356858e-18	6.31420512625777e-15	8930.64845702236	raw_counts / DESeq2 median-of-ratios (via riborex)	0.905	6.411	5.077	222.172	193.106	1351.962	296.1	10301.388	193.106	1351.962	296.1	10301.388
MM_RS11110	-4.33570871785717	2.46755594142021e-17	1.29596038043389e-14	1436.31499483472	raw_counts / DESeq2 median-of-ratios (via riborex)	5.654	1.048	54.028	4.533	1203.268	224.106	3216.103	207.44	1203.268	224.106	3216.103	207.44
MM_RS05760	-3.99353644274456	1.04618341410845e-15	4.578796075748e-13	1264.42005387065	raw_counts / DESeq2 median-of-ratios (via riborex)	1.654	0.207	22.02	2.316	352.329	44.461	1304.459	105.488	352.329	44.461	1304.459	105.488
MM_RS11085	-4.00076634557979	1.42350574243154e-15	5.34018011375032e-13	758.79358816185	raw_counts / DESeq2 median-of-ratios (via riborex)	1.926	0.453	41.32	4.241	410.629	95.556	2425.82	190.114	410.629	95.556	2425.82	190.114
MM_RS05000	5.96345244417009	3.89172312496051e-15	1.27745811576829e-12	664.567353880346	raw_counts / DESeq2 median-of-ratios (via riborex)	0.083	6.659	0.912	103.507	17.766	1432.527	55.571	4515.955	17.766	1432.527	55.571	4515.955
MM_RS11020	-4.09888875722926	1.38102319946957e-14	4.02951880200787e-12	776.228810592737	raw_counts / DESeq2 median-of-ratios (via riborex)	2.225	0.54	44.119	4.26	473.015	112.343	2609.815	196.899	473.015	112.343	2609.815	196.899
MM_RS11000	-3.55199520708171	3.76100812316385e-13	9.87640733142826e-11	1599.56198944724	raw_counts / DESeq2 median-of-ratios (via riborex)	1.382	0.24	26.866	3.819	293.14	50.907	1586.379	172.197	293.14	50.907	1586.379	172.197
MM_RS11005	-4.15496422758887	1.97327745534515e-12	4.7107514524876e-10	1505.42624243165	raw_counts / DESeq2 median-of-ratios (via riborex)	1.21	0.355	43.412	4.238	258.252	74.331	2608.635	195.753	258.252	74.331	2608.635	195.753
MM_RS11015	-4.35786213159597	3.39962532670386e-12	6.97235197951204e-10	1219.27637313419	raw_counts / DESeq2 median-of-ratios (via riborex)	1.098	0.288	35.237	3.221	233.58	60.188	2167.035	144.496	233.58	60.188	2167.035	144.496
MM_RS11100	-3.92222176890757	3.45165939579804e-12	6.97235197951204e-10	761.680246890585	raw_counts / DESeq2 median-of-ratios (via riborex)	1.374	0.26	19.903	2.291	292.867	55.541	1197.452	104.977	292.867	55.541	1197.452	104.977
MM_RS11070	-4.50274250820114	4.63784760564796e-12	8.69927700887968e-10	366.917903505751	raw_counts / DESeq2 median-of-ratios (via riborex)	7.143	1.641	395.171	25.779	1511.417	343.679	22457.192	1167.577	1511.417	343.679	22457.192	1167.577
MM_RS11080	-3.63406895673331	8.60299675120785e-12	1.50609796457812e-09	764.800153464546	raw_counts / DESeq2 median-of-ratios (via riborex)	1.404	0.285	31.609	4.132	299.76	60.024	1851.078	187.235	299.76	60.024	1851.078	187.235
MM_RS11095	-3.9836161773026	2.16681230213198e-11	3.55628069087411e-09	1018.6188430365	raw_counts / DESeq2 median-of-ratios (via riborex)	1.934	0.386	39.152	4.35	411.859	81.573	2364.406	201.765	411.859	81.573	2364.406	201.765
MM_RS03825	5.71440894239467	3.45840367091457e-11	5.34221649401275e-09	883.199076863192	raw_counts / DESeq2 median-of-ratios (via riborex)	0.058	14.661	2.069	196.368	12.11	3091.752	126.115	8941.086	12.11	3091.752	126.115	8941.086
MM_RS11760	-4.90898367548956	6.04952820199389e-11	8.82558947690887e-09	934.712333063453	raw_counts / DESeq2 median-of-ratios (via riborex)	0.628	0.104	13.666	0.767	135.029	21.765	810.719	34.768	135.029	21.765	810.719	34.768
MM_RS03790	4.78111828587536	7.35634491527588e-11	1.01672430250076e-08	2853.9514178418	raw_counts / DESeq2 median-of-ratios (via riborex)	0.111	2.782	1.756	80.805	23.898	579.169	104.204	3792.989	23.898	579.169	104.204	3792.989
MM_RS00730	4.70223436912324	9.57408774167244e-11	1.19721687664914e-08	6511.8072012815	raw_counts / DESeq2 median-of-ratios (via riborex)	14.631	312.625	95.281	4052.762	3072.115	66275.32	5591.424	184027.007	3072.115	66275.32	5591.424	184027.007
MM_RS11055	-3.88158219064364	9.15213647474026e-11	1.19721687664914e-08	587.241845043238	raw_counts / DESeq2 median-of-ratios (via riborex)	0.704	0.23	61.024	7.249	150.391	48.073	3655.532	320.909	150.391	48.073	3655.532	320.909
MM_RS11090	-3.99069805003979	1.41082432955989e-10	1.68401122246558e-08	981.448633922393	raw_counts / DESeq2 median-of-ratios (via riborex)	1.923	0.488	53.534	5.785	411.865	102.322	3198.641	263.912	411.865	102.322	3198.641	263.912
MM_RS11735	-3.06808540544122	1.52873405821191e-10	1.74541549428891e-08	3420.30635267267	raw_counts / DESeq2 median-of-ratios (via riborex)	1.078	0.33	26.212	5.176	229.817	70.084	1543.069	231.71	229.817	70.084	1543.069	231.71
MM_RS03795	5.20517491603334	1.79547428605547e-10	1.96454811465903e-08	889.509817432286	raw_counts / DESeq2 median-of-ratios (via riborex)	0.056	1.765	0.346	25.436	12	368.879	21.932	1184.535	12	368.879	21.932	1184.535
MM_RS00015	-3.50277148834712	3.46172948630514e-10	3.63620065241491e-08	1110.56106568634	raw_counts / DESeq2 median-of-ratios (via riborex)	1.057	0.136	17.08	2.673	225.366	28.973	1031.302	121.237	225.366	28.973	1031.302	121.237
MM_RS11075	-3.40651502207131	3.81028266091787e-10	3.84838548752705e-08	263.260840562233	raw_counts / DESeq2 median-of-ratios (via riborex)	0.868	0.158	15.267	2.355	185.112	32.954	894.675	105.546	185.112	32.954	894.675	105.546
MM_RS18200	7.4946658979355	8.04418328723282e-10	7.82371307861977e-08	1271.70408610072	raw_counts / DESeq2 median-of-ratios (via riborex)	0.242	79.643	8.051	2822.759	51.11	16845.398	508.589	134797.892	51.11	16845.398	508.589	134797.892
MM_RS09785	10.8167323143537	1.18673982863379e-09	1.11299242499726e-07	109.742218461521	raw_counts / DESeq2 median-of-ratios (via riborex)	0.074	0.181	0	1.413	15.499	39.032	0	66.194	15.499	39.032	0	66.194
MM_RS11025	-4.10798067986042	2.48134904410207e-09	2.24690434131449e-07	671.08948933795	raw_counts / DESeq2 median-of-ratios (via riborex)	1.015	0.183	41.575	4.025	218.025	38.425	2457.363	182.195	218.025	38.425	2457.363	182.195
MM_RS11065	-3.75491214693873	3.70129525587686e-09	3.23986711397754e-07	603.579748185464	raw_counts / DESeq2 median-of-ratios (via riborex)	0.726	0.213	32.304	4.149	155.454	44.526	1930.589	185.015	155.454	44.526	1930.589	185.015
MM_RS11105	-4.17000055123456	4.12670633190584e-09	3.49571962180153e-07	570.038450238949	raw_counts / DESeq2 median-of-ratios (via riborex)	1.502	0.281	24.496	2.406	322.551	60.146	1473.774	107.327	322.551	60.146	1473.774	107.327
MM_RS03765	6.84424571317086	6.46826270793686e-09	5.30801808470069e-07	2992.16211046861	raw_counts / DESeq2 median-of-ratios (via riborex)	0.023	3.819	0.751	195.069	5.061	797.33	49.955	9018.278	5.061	797.33	49.955	9018.278
MM_RS04990	6.3746792058925	8.06392516271698e-09	6.41692953857418e-07	2045.18026198325	raw_counts / DESeq2 median-of-ratios (via riborex)	0.059	5.478	0.381	69.91	12.809	1176.559	25.059	3196.023	12.809	1176.559	25.059	3196.023
MM_RS03905	-4.27864922293521	8.67194905519445e-09	6.69780535851195e-07	1373.78942133891	raw_counts / DESeq2 median-of-ratios (via riborex)	0.446	0.047	14.988	1.322	93.687	10.035	890.905	58.457	93.687	10.035	890.905	58.457
MM_RS00020	-4.06948043288911	2.00930201023194e-08	1.50499420765326e-06	638.663959357835	raw_counts / DESeq2 median-of-ratios (via riborex)	0.744	0.092	12.283	1.269	159.798	19.935	733.997	56.514	159.798	19.935	733.997	56.514
MM_RS18300	-3.36765708130219	2.0632060729443e-08	1.50499420765326e-06	1075.7114781734	raw_counts / DESeq2 median-of-ratios (via riborex)	7.809	1.425	668.163	118.151	1663.064	299.866	40738.949	5344.69	1663.064	299.866	40738.949	5344.69
MM_RS03900	4.29135577952653	3.78404080149677e-08	2.68564625533257e-06	120.486961921424	raw_counts / DESeq2 median-of-ratios (via riborex)	0.16	0.732	0.475	15.039	34.138	156.702	27.548	641.573	34.138	156.702	27.548	641.573
MM_RS11745	-2.76850427915313	5.46948417742017e-08	3.77970143418562e-06	608.718906076507	raw_counts / DESeq2 median-of-ratios (via riborex)	1.314	0.406	35.647	8.346	278.527	84.359	2072.344	373.891	278.527	84.359	2072.344	373.891
MM_RS06995	2.97396617371195	6.10610827206534e-08	4.111446236524e-06	528.899740451446	raw_counts / DESeq2 median-of-ratios (via riborex)	0.725	2.083	5.271	64.894	154.419	435.083	304.147	2869.141	154.419	435.083	304.147	2869.141
MM_RS01025	-2.99557364091877	6.96680985996907e-08	4.57371067306969e-06	1470.80657380796	raw_counts / DESeq2 median-of-ratios (via riborex)	1.621	0.44	50.401	11.268	344.156	93.397	3048.861	511.894	344.156	93.397	3048.861	511.894
MM_RS00025	-3.69182891445016	7.54970729938454e-08	4.73667007720138e-06	717.047785019891	raw_counts / DESeq2 median-of-ratios (via riborex)	0.795	0.085	9.64	1.396	170.153	17.779	592.896	62.87	170.153	17.779	592.896	62.87
MM_RS11040	-3.33095194797487	7.57578610976611e-08	4.73667007720138e-06	270.128668096702	raw_counts / DESeq2 median-of-ratios (via riborex)	2.126	0.409	7.306	1.299	453.555	88.067	440.223	57.584	453.555	88.067	440.223	57.584
MM_RS12765	-3.28466698552035	9.38027657350259e-08	5.72851308884135e-06	594.981650870181	raw_counts / DESeq2 median-of-ratios (via riborex)	1.837	0.323	28.474	5.305	392.077	68.113	1733.604	240.324	392.077	68.113	1733.604	240.324
MM_RS12790	-3.00902140934288	1.21712145403004e-07	7.26400213246112e-06	928.27402125207	raw_counts / DESeq2 median-of-ratios (via riborex)	3.526	0.985	55.805	11.867	745.461	209.002	3322.963	532.229	745.461	209.002	3322.963	532.229
MM_RS04995	5.24028226610034	1.5441514791921e-07	9.0109817430188e-06	388.388750808845	raw_counts / DESeq2 median-of-ratios (via riborex)	0.036	6.313	1.187	83.913	7.551	1351.114	73.522	3863.418	7.551	1351.114	73.522	3863.418
MM_RS03780	5.77836180760658	2.22231731212117e-07	1.26865331774569e-05	2284.10362971419	raw_counts / DESeq2 median-of-ratios (via riborex)	0.023	2.036	0.535	68.173	4.9	425.467	35.939	3132.558	4.9	425.467	35.939	3132.558
MM_RS03830	5.73209307753617	2.4554910205442e-07	1.36139352569538e-05	2712.57165921809	raw_counts / DESeq2 median-of-ratios (via riborex)	0.083	11.679	1.038	112.029	17.332	2475.612	65.79	4998.497	17.332	2475.612	65.79	4998.497
MM_RS05945	-3.07702876749805	2.48845732038759e-07	1.36139352569538e-05	317.23167022193	raw_counts / DESeq2 median-of-ratios (via riborex)	0.3	0.049	3.67	0.7	63.323	10.566	214.26	31.588	63.323	10.566	214.26	31.588
MM_RS02320	-3.24933111708146	3.09230156745611e-07	1.65722120737546e-05	273.730841093485	raw_counts / DESeq2 median-of-ratios (via riborex)	0.118	0.012	0.59	0.113	25.192	2.482	35.933	5.082	25.192	2.482	35.933	5.082
MM_RS11030	-4.39520438352804	3.36035452424372e-07	1.73025313346353e-05	936.02217052571	raw_counts / DESeq2 median-of-ratios (via riborex)	0.698	0.188	18.872	1.709	150.425	39.807	1164.519	75.058	150.425	39.807	1164.519	75.058
MM_RS02110	3.2953626107922	3.33968263386655e-07	1.73025313346353e-05	844.211800538694	raw_counts / DESeq2 median-of-ratios (via riborex)	0.112	1.89	2.601	41.045	23.761	403.126	150.985	1766.059	23.761	403.126	150.985	1766.059
MM_RS10710	-2.51674900865665	3.53427092524175e-07	1.78480681724708e-05	1172.31698085251	raw_counts / DESeq2 median-of-ratios (via riborex)	3.673	1.771	41.538	11.759	781.351	372.9	2434.353	539.862	781.351	372.9	2434.353	539.862
MM_RS09975	3.36749948205576	4.74958327426963e-07	2.35328409023246e-05	182.851746955584	raw_counts / DESeq2 median-of-ratios (via riborex)	0.625	2.725	4.642	82.087	132.992	575.997	276.045	3577.836	132.992	575.997	276.045	3577.836
MM_RS09940	-2.87269241609686	4.84531907166305e-07	2.35626071892355e-05	284.698991735135	raw_counts / DESeq2 median-of-ratios (via riborex)	0.133	0.041	3.003	0.707	28.119	8.855	179.531	31.959	28.119	8.855	179.531	31.959
MM_RS12785	-2.64606700481335	5.75240321286606e-07	2.74651106127023e-05	492.923183140122	raw_counts / DESeq2 median-of-ratios (via riborex)	7.152	1.422	65.255	17.701	1516.872	307.638	3883.748	805.422	1516.872	307.638	3883.748	805.422
MM_RS19375	4.29887667897273	6.72981021069311e-07	3.15580028808573e-05	2547.76077663444	raw_counts / DESeq2 median-of-ratios (via riborex)	10.85	170.914	266.966	7568.798	2284.157	35617.486	15119.739	364773.474	2284.157	35617.486	15119.739	364773.474
MM_RS01325	2.82746476351681	7.31894685333164e-07	3.31371628221533e-05	1781.91509855961	raw_counts / DESeq2 median-of-ratios (via riborex)	0.17	2.686	3.848	48.103	36.24	571.387	231.248	2134.894	36.24	571.387	231.248	2134.894
MM_RS11725	-2.64215139947513	7.25770602828517e-07	3.31371628221533e-05	947.563615774984	raw_counts / DESeq2 median-of-ratios (via riborex)	3.232	1.219	101.366	25.742	689.499	254.587	5896.415	1180.975	689.499	254.587	5896.415	1180.975
MM_RS12725	-3.74307596726212	9.88861632345935e-07	4.32791774423404e-05	223.528254095188	raw_counts / DESeq2 median-of-ratios (via riborex)	0.35	0.071	3.662	0.541	74.275	15.267	228.103	23.482	74.275	15.267	228.103	23.482
MM_RS04225	-2.81405565833416	9.87608692827277e-07	4.32791774423404e-05	1533.34071057389	raw_counts / DESeq2 median-of-ratios (via riborex)	2.25	1.868	255.362	63.683	478.017	394.777	15381.377	2937.592	478.017	394.777	15381.377	2937.592
MM_RS14720	9.03752318654621	1.08876281072711e-06	4.68703465732685e-05	84.8509802716698	raw_counts / DESeq2 median-of-ratios (via riborex)	0.123	0	0	0.575	26.658	0	0	24.428	26.658	0	0	24.428
MM_RS02375	-2.36010710415038	1.22741475794709e-06	5.19869541027267e-05	836.85087692071	raw_counts / DESeq2 median-of-ratios (via riborex)	0.532	0.29	11.266	3.468	113.29	61.141	653.653	156.824	113.29	61.141	653.653	156.824
MM_RS11045	-3.54246778429299	1.27868122277195e-06	5.32025054969859e-05	375.903663095553	raw_counts / DESeq2 median-of-ratios (via riborex)	0.371	0.192	44.204	6.601	79.636	40.967	2657.482	304.67	79.636	40.967	2657.482	304.67
MM_RS09105	-2.53330322761858	1.29663379733705e-06	5.32025054969859e-05	1904.96622928792	raw_counts / DESeq2 median-of-ratios (via riborex)	7.316	2.122	68.317	19.211	1548.26	449.675	4004.788	872.599	1548.26	449.675	4004.788	872.599
MM_RS12650	4.21074909162005	1.35633701163479e-06	5.47960152700454e-05	143.471216274104	raw_counts / DESeq2 median-of-ratios (via riborex)	0.029	0.847	0.503	16.142	6.284	181.044	30.156	714.289	6.284	181.044	30.156	714.289
MM_RS11060	-3.73257538247985	1.44583039246983e-06	5.7526524403421e-05	734.581299301032	raw_counts / DESeq2 median-of-ratios (via riborex)	0.357	0.144	27.483	3.523	76.916	30.113	1633.614	157.716	76.916	30.113	1633.614	157.716
MM_RS11730	-2.88600126066793	1.51646360191228e-06	5.89967590007915e-05	5610.48960906386	raw_counts / DESeq2 median-of-ratios (via riborex)	1.649	0.747	88.171	21.9	351.761	157.187	5383.795	985.543	351.761	157.187	5383.795	985.543
MM_RS06020	2.44829464650594	1.52771500839826e-06	5.89967590007915e-05	557.794269279033	raw_counts / DESeq2 median-of-ratios (via riborex)	0.507	2.521	3.209	27.669	107.662	536.414	185.874	1237.348	107.662	536.414	185.874	1237.348
MM_RS04805	-2.83872275178632	1.67758873037851e-06	6.38456232749851e-05	250.181894084709	raw_counts / DESeq2 median-of-ratios (via riborex)	0.387	0.069	3.157	0.737	82.131	15.185	185.07	31.982	82.131	15.185	185.07	31.982
MM_RS12770	-2.63227726822255	1.74502171903586e-06	6.54632433455453e-05	1531.80990582754	raw_counts / DESeq2 median-of-ratios (via riborex)	1.158	0.195	7.776	1.933	246.562	41.591	446.188	85	246.562	41.591	446.188	85
MM_RS13735	-3.34362588351381	2.03058257821076e-06	7.51029556391755e-05	383.348687142968	raw_counts / DESeq2 median-of-ratios (via riborex)	0.395	0.072	5.531	1.008	83.315	15.162	337.778	44.579	83.315	15.162	337.778	44.579
MM_RS16090	4.14576198274389	2.09551083264539e-06	7.64279367573166e-05	1190.5022936127	raw_counts / DESeq2 median-of-ratios (via riborex)	0.098	1.413	1.663	59.471	20.602	293.723	105.528	2729.3	20.602	293.723	105.528	2729.3
MM_RS02105	3.12962965645382	2.23039051095613e-06	8.02329518050795e-05	880.616888986605	raw_counts / DESeq2 median-of-ratios (via riborex)	0.379	4.673	3.628	54.979	80.11	1004.455	216.28	2385.35	80.11	1004.455	216.28	2385.35
MM_RS11050	-3.57677749966346	2.72105592589391e-06	9.40196429131237e-05	408.968083064043	raw_counts / DESeq2 median-of-ratios (via riborex)	0.49	0.207	34.092	4.797	105.491	44.355	2012.949	212.06	105.491	44.355	2012.949	212.06
MM_RS04540	-2.99462885533987	2.70748666860134e-06	9.40196429131237e-05	165.874101568173	raw_counts / DESeq2 median-of-ratios (via riborex)	0.688	0.266	6.812	1.48	147.068	56.388	405.032	64.919	147.068	56.388	405.032	64.919
MM_RS11740	-2.9468921569985	2.70565223708319e-06	9.40196429131237e-05	899.101778968519	raw_counts / DESeq2 median-of-ratios (via riborex)	0.943	0.428	35.847	8.328	201.766	90.194	2172.117	378.305	201.766	90.194	2172.117	378.305
MM_RS05025	3.68803373176066	2.7853547679945e-06	9.49914496201762e-05	4604.12785874865	raw_counts / DESeq2 median-of-ratios (via riborex)	0.288	4.204	7.298	153.011	60.369	888.412	427.307	6888.759	60.369	888.412	427.307	6888.759
MM_RS12125	-2.69459393241329	3.14828232936574e-06	0.000105992171755313	1846.10339637391	raw_counts / DESeq2 median-of-ratios (via riborex)	24.51	2.877	512.006	132.829	5240.045	622.426	30224.973	5829.459	5240.045	622.426	30224.973	5829.459
MM_RS11010	-4.35289908140207	3.18971311935871e-06	0.000106027679132101	234.31104971077	raw_counts / DESeq2 median-of-ratios (via riborex)	0.91	0.314	46.439	3.871	196.768	64.503	2775.316	179.458	196.768	64.503	2775.316	179.458
MM_RS02100	3.67085133748999	3.24083620763245e-06	0.000106380448515535	3048.20094739019	raw_counts / DESeq2 median-of-ratios (via riborex)	0.256	3.993	2.549	50.475	53.919	869.917	146.292	2144.234	53.919	869.917	146.292	2144.234
MM_RS03805	4.29221216341687	3.96636282230886e-06	0.000128588503350408	111.64884663487	raw_counts / DESeq2 median-of-ratios (via riborex)	0.02	1.196	0.242	8.717	4.233	250.334	14.909	390.59	4.233	250.334	14.909	390.59
MM_RS05270	-2.31467100214839	4.11414936162011e-06	0.000131753124678224	2743.56750520964	raw_counts / DESeq2 median-of-ratios (via riborex)	3.159	0.796	29.835	9.95	669.301	169.056	1755.93	441.848	669.301	169.056	1755.93	441.848
MM_RS10855	-2.99530599054202	4.721782859203e-06	0.000149390382991169	152.661919112469	raw_counts / DESeq2 median-of-ratios (via riborex)	0.112	0.018	6.392	1.37	23.922	3.757	381.012	61.988	23.922	3.757	381.012	61.988
MM_RS03700	2.89161884712656	4.94596603491407e-06	0.000154620319139099	945.801170875346	raw_counts / DESeq2 median-of-ratios (via riborex)	0.264	2.34	2.589	35.717	56.383	504.182	158.841	1600.152	56.383	504.182	158.841	1600.152
MM_RS01320	2.77778903558124	5.1273943842457e-06	0.000158373068281283	407.600656494915	raw_counts / DESeq2 median-of-ratios (via riborex)	0.475	5.47	5.007	57.443	101.412	1170.987	295.053	2501.031	101.412	1170.987	295.053	2501.031
MM_RS03890	-2.67447358594566	5.1866275217785e-06	0.000158373068281283	131.703029455227	raw_counts / DESeq2 median-of-ratios (via riborex)	0.115	0.038	0.894	0.234	24.471	8.045	52.632	10.379	24.471	8.045	52.632	10.379
MM_RS15820	-2.4175861003588	5.50209657328185e-06	0.000166074777028025	390.460252612627	raw_counts / DESeq2 median-of-ratios (via riborex)	0.091	0.027	0.679	0.2	19.224	5.853	39.278	8.943	19.224	5.853	39.278	8.943
MM_RS15745	-3.22477068715306	5.65203739912301e-06	0.000168661934205648	6224.13934250614	raw_counts / DESeq2 median-of-ratios (via riborex)	1.515	0.35	29.325	5.991	324.246	74.479	1819.325	273.535	324.246	74.479	1819.325	273.535
MM_RS11035	-4.30087674953363	6.54633893244112e-06	0.000193153775692027	351.013302204561	raw_counts / DESeq2 median-of-ratios (via riborex)	3.595	1.553	98.244	9.535	775.769	323.088	6118.443	442.103	775.769	323.088	6118.443	442.103
MM_RS00010	-2.66053034580608	7.25215705747203e-06	0.000211601827032462	2403.37202767957	raw_counts / DESeq2 median-of-ratios (via riborex)	1.071	0.31	23.105	6.413	227.882	65.895	1393.261	298.655	227.882	65.895	1393.261	298.655
MM_RS04190	2.86874235521958	8.70925725821419e-06	0.000251324280879895	382.497844190514	raw_counts / DESeq2 median-of-ratios (via riborex)	0.896	3.144	12.529	137.851	191.536	668.677	713.998	6132.36	191.536	668.677	713.998	6132.36
MM_RS16550	-2.70360621490381	9.4087179233046e-06	0.000268557535506499	443.006800178509	raw_counts / DESeq2 median-of-ratios (via riborex)	0.19	0.069	5.309	1.424	40.592	14.567	318.244	63.579	40.592	14.567	318.244	63.579
MM_RS11150	-2.42319397158618	1.03128035367819e-05	0.000291198086963326	282.21380208061	raw_counts / DESeq2 median-of-ratios (via riborex)	0.335	0.115	3.171	0.996	71.023	23.837	187.356	44.07	71.023	23.837	187.356	44.07
MM_RS12780	-2.3863393661318	1.06173349499472e-05	0.000296607676367675	809.608478167137	raw_counts / DESeq2 median-of-ratios (via riborex)	13.103	4.718	292.187	86.766	2778.558	1016.025	16817.628	3842.363	2778.558	1016.025	16817.628	3842.363
MM_RS07375	-2.62759035369196	1.08349709510337e-05	0.000299501407551732	658.521082713692	raw_counts / DESeq2 median-of-ratios (via riborex)	0.44	0.137	3.903	1.151	93.447	29.309	236.986	50.61	93.447	29.309	236.986	50.61
MM_RS03800	4.86392591217544	1.18846546286442e-05	0.000325094823487705	282.99955364129	raw_counts / DESeq2 median-of-ratios (via riborex)	0.021	0.884	0.297	17.591	4.355	184.054	18.998	816.508	4.355	184.054	18.998	816.508
MM_RS09130	-2.59883594380296	1.20665122333943e-05	0.000326666609534982	2729.40984708573	raw_counts / DESeq2 median-of-ratios (via riborex)	2.835	0.654	72.62	19.091	599.552	139.36	4235.616	888.135	599.552	139.36	4235.616	888.135
MM_RS07125	-2.35647430247198	1.33091970699204e-05	0.000356632158220519	437.252169737715	raw_counts / DESeq2 median-of-ratios (via riborex)	0.218	0.052	2.31	0.751	46.359	11.024	135.747	32.846	46.359	11.024	135.747	32.846
MM_RS00030	-4.46028298587552	1.47909667461032e-05	0.000392334128032999	729.605935797757	raw_counts / DESeq2 median-of-ratios (via riborex)	1.008	0.092	23.933	2.042	218.385	19.644	1471.093	90.557	218.385	19.644	1471.093	90.557
MM_RS05045	-2.77600378520133	1.62249375657226e-05	0.000426066860475875	526.67831043311	raw_counts / DESeq2 median-of-ratios (via riborex)	0.412	0.222	14.756	3.82	87.878	47.455	885.459	164.826	87.878	47.455	885.459	164.826
MM_RS03785	4.79564393841834	1.66437571998728e-05	0.000432737687196692	1529.77491240349	raw_counts / DESeq2 median-of-ratios (via riborex)	0.144	8.755	0.806	50.271	31.012	1833.238	53.424	2330.644	31.012	1833.238	53.424	2330.644
MM_RS12860	-3.20725974260223	1.74180291421764e-05	0.000448428867915248	324.97723861579	raw_counts / DESeq2 median-of-ratios (via riborex)	0.21	0.055	2.721	0.573	44.847	11.713	168.57	24.67	44.847	11.713	168.57	24.67
MM_RS05040	-2.32948825300015	1.88218904955663e-05	0.000479866839236477	964.417573264944	raw_counts / DESeq2 median-of-ratios (via riborex)	0.477	0.202	9.507	3.333	101.399	42.729	570.89	147.204	101.399	42.729	570.89	147.204
MM_RS12775	-2.53745786384389	1.95159194940909e-05	0.000492776967225795	1012.8547789751	raw_counts / DESeq2 median-of-ratios (via riborex)	3.309	0.896	37.539	10.189	699.474	192.059	2169.226	447.803	699.474	192.059	2169.226	447.803
MM_RS17315	5.45767451281583	2.01881221556685e-05	0.000504895321721766	937.719471073178	raw_counts / DESeq2 median-of-ratios (via riborex)	0.007	1.634	0.992	79.457	1.587	341.886	60.806	3759.787	1.587	341.886	60.806	3759.787
MM_RS03280	-3.95725828764432	2.1534620995958e-05	0.000533489761654583	3712.18010305804	raw_counts / DESeq2 median-of-ratios (via riborex)	1.994	0.477	64.183	9.052	426.451	102.141	4194.06	408.857	426.451	102.141	4194.06	408.857
MM_RS05575	-3.54756223335123	2.66666132513211e-05	0.00065445351773803	6157.19677078788	raw_counts / DESeq2 median-of-ratios (via riborex)	1.501	0.445	122.507	22.114	320.686	94.551	7872.086	981.094	320.686	94.551	7872.086	981.094
MM_RS14705	2.18562653498653	3.00733578623953e-05	0.000725197942534421	1207.90170436877	raw_counts / DESeq2 median-of-ratios (via riborex)	1.743	2.679	20.51	149.845	369.612	570.288	1193.492	6612.587	369.612	570.288	1193.492	6612.587
MM_RS16605	-2.01126321734141	3.01015139894333e-05	0.000725197942534421	950.79520775034	raw_counts / DESeq2 median-of-ratios (via riborex)	0.845	0.292	6.392	2.511	179.414	62.71	371.055	113.392	179.414	62.71	371.055	113.392
MM_RS10225	-2.07743657557283	3.0696366380828e-05	0.00073280598287322	447.315320172264	raw_counts / DESeq2 median-of-ratios (via riborex)	0.316	0.081	2.837	1.08	67.166	17.152	165.224	48.157	67.166	17.152	165.224	48.157
MM_RS12865	-3.3406706127118	3.2577050601889e-05	0.00077069671063568	182.518376767399	raw_counts / DESeq2 median-of-ratios (via riborex)	0.096	0.025	1.841	0.348	20.433	5.462	112.879	14.693	20.433	5.462	112.879	14.693
MM_RS06700	-2.8452762626849	3.30739395505122e-05	0.000775465761246831	723.729983280222	raw_counts / DESeq2 median-of-ratios (via riborex)	0.566	0.092	8.667	2.18	119.232	19.961	525.589	96.708	119.232	19.961	525.589	96.708
MM_RS09395	-2.47541064749499	3.55666978465295e-05	0.00082653228800873	840.998189846013	raw_counts / DESeq2 median-of-ratios (via riborex)	1.996	0.728	117.022	36.774	421.736	151.412	7025.048	1662.671	421.736	151.412	7025.048	1662.671
